Feature1,Feature2,Feature3,Feature4,Feature5,Class
0.0729,0.5548,0.2789,1.9343,3.3564,1 
2.059,0.1517,2.3309,1.6087,4.2485,1 
0.9083,1.2076,3.5145,3.3026,3.3957,1 
1.2506,0.5324,2.2822,1.8831,2.9644,1 
-1.4159,-2.2232,2.5556,2.7636,2.229,1 
-1.1577,-0.4727,0.7013,2.4236,2.5907,1 
-0.3623,1.4826,2.1838,2.9717,2.0322,1 
-0.4587,-0.5098,0.9394,2.0792,2.0299,1 
0.1024,1.4007,3.2464,3.915,1.8676,1 
0.4911,0.5935,1.846,1.2885,2.1511,1 
-2.5073,0.8039,1.4317,1.5518,3.6364,1 
-1.3164,0.1359,1.0793,1.7776,3.4058,1 
-0.9909,0.7468,1.0629,0.6332,3.7405,1 
0.2022,0.048,2.8286,1.14,2.6991,1 
-2.7846,-0.6067,2.9805,2.6299,2.8538,1 
0.5811,-0.258,2.6643,2.4042,2.0755,1 
0.6011,0.2545,2.4416,1.7466,1.8503,1 
0.3506,0.9906,4.2881,0.9452,2.1912,1 
0.0359,1.5843,2.7222,2.2489,1.2409,1 
-0.2905,0.8163,1.354,2.2829,2.4071,1 
1.2155,-0.478,1.4368,0.7653,0.3887,1 
-0.0287,0.2787,4.438,2.151,2.2341,1 
-1.054,0.0871,1.6071,2.5736,1.4518,1 
-0.5706,-0.6786,0.3595,2.7108,2.7426,1 
0.1738,-1.3198,0.2009,1.4286,1.7282,1 
-0.9724,2.8178,2.11,2.3429,0.756,1 
0.449,-0.9575,2.5159,2.1782,3.07,1 
-0.6401,0.2626,2.3163,3.0148,1.5585,1 
1.7963,-1.3288,0.8401,1.0235,0.5045,1 
-0.0187,-0.8736,0.2535,2.1127,1.4443,1 
-2.0805,-0.6224,2.5077,1.7435,0.8992,1 
1.1336,1.9691,0.4345,2.0519,1.7743,1 
-0.4346,-1.2207,0.954,2.4185,1.2962,1 
-1.1351,-0.3543,1.7648,1.4723,2.3494,1 
-1.3615,1.5904,2.3136,1.0614,1.8396,1 
-1.1332,1.0851,3.1825,3.3597,3.8265,1 
-0.8742,2.1944,0.6879,1.6926,0.2979,1 
1.3793,0.1489,2.0309,2.6556,2.9048,1 
-0.1174,-0.7434,1.4039,3.2071,2.2703,1 
1.0792,0.999,2.3472,1.4911,3.0431,1 
0.6589,-2.3335,2.7228,2.6491,1.3678,1 
0.8477,-0.9106,1.4518,2.2014,1.9492,1 
-0.4903,-0.7296,2.2526,0.4075,3.3784,1 
-0.7558,1.069,2.4819,1.663,0.5029,1 
1.0095,1.0336,1.0924,2.7944,2.0194,1 
-2.0414,-1.2137,-0.7559,1.6306,0.9784,1 
0.4067,0.125,1.9141,2.9576,2.8769,1 
0.9496,0.4495,2.5278,0.7042,0.4059,1 
0.5289,1.203,1.9885,2.9539,2.6792,1 
-1.1223,0.6179,2.3302,0.5339,2.7725,1 
0.0249,-0.1481,1.4215,0.839,0.5093,1 
-0.5896,0.7246,3.2869,1.7056,2.7417,1 
-0.4554,-0.2481,0.285,3.834,3.3307,1 
0.2608,-0.7083,0.8214,0.6131,1.821,1 
-1.2433,-0.095,3.7693,1.0113,2.7117,1 
-1.1362,-1.5467,3.0205,-0.1161,2.0985,1 
1.6928,-1.7942,2.1347,0.782,2.0022,1 
2.991,-0.2059,1.7444,1.8322,4.159,1 
0.6363,-0.7819,2.2861,1.4606,-0.895,1 
2.1805,0.1419,0.8553,1.9831,2.729,1 
-0.1957,0.9468,2.3754,0.6678,2.386,1 
-0.5654,-0.8294,2.1935,1.3449,2.3724,1 
0.3659,0.4928,4.1772,3.2164,0.4987,1 
-1.3586,-0.1228,4.186,1.5724,2.1939,1 
0.8937,0.2132,1.534,0.9968,2.7744,1 
0.3204,0.0519,2.2384,0.4655,1.9312,1 
1.2886,2.5539,0.5398,2.3637,0.6625,1 
-0.0642,-0.7852,2.4727,2.4525,1.5046,1 
1.4001,-0.8688,0.9765,0.4374,3.3757,1 
