Feature1,Feature2,Feature3,Feature4,Feature5,Class
* 
6.8999,0.2088,2.8952,0.8193,2.2735,1 
5.6029,-0.6614,0.9564,1.4189,1.6436,1 
5.2941,-1.797,1.6105,2.4491,1.5261,1 
6.1638,-1.2298,2.9867,1.1839,0.2418,1 
5.6962,-0.0214,2.5018,4.6584,3.0861,1 
4.8368,0.5528,4.2895,1.9582,1.2496,1 
5.1744,-1.5746,2.2632,1.4995,0.8239,1 
5.3556,-0.9878,2.8851,1.8125,2.9813,1 
5.8755,1.1166,2.134,2.4943,2.9073,1 
6.8584,-0.7019,2.4418,1.1418,3.5676,1 
5.8544,0.1908,2.9178,1.8788,3.1616,1 
5.1845,-1.3921,1.8449,2.8066,0.3648,1 
5.7044,-0.6823,2.9674,1.1734,1.7859,1 
5.1871,-1.1481,1.692,2.7521,3.1732,1 
5.5435,1.0654,3.1833,0.787,1.4913,1 
5.3552,-0.0528,1.9237,1.6013,2.413,1 
3.915,-1.6876,4.0241,1.4517,2.83,1 
5.9542,0.7156,1.2152,1.5163,1.6422,1 
6.6318,-1.1235,1.3691,1.0155,1.1676,1 
3.5293,0.0322,2.3827,1.963,1.1774,1 
6.9509,1.2104,0.8216,3.9461,3.5084,1 
6.6242,0.2051,2.2227,1.5803,2.2455,1 
4.0168,3.1378,1.0052,2.7325,-0.2264,1 
3.5781,-0.029,2.0916,1.2769,2.7726,1 
4.1722,0.4975,2.2973,0.8066,1.4435,1 
4.2414,-0.8563,2.2809,1.1826,3.9428,1 
4.5713,-0.3871,0.7561,1.9717,1.0441,1 
5.175,-0.9906,2.5387,2.6487,1.9592,1 
4.2011,2.3396,0.9733,2.2655,0.9041,1 
6.7488,0.4802,4.8467,3.1523,1.7074,1 
5.4954,0.6319,3.4094,1.4499,2.7514,1 
5.1014,0.14,0.6491,3.5489,2.6807,1 
6.1426,0.4898,0.4748,1.7437,0.9664,1 
4.9581,0.2294,2.1529,1.9426,3.3152,1 
3.6615,-0.0493,2.524,2.435,0.8368,1 
4.2503,-0.2145,2.2219,1.8997,2.6813,1 
4.5791,-0.8622,0.9978,0.4787,3.0138,1 
6.1376,0.7473,1.3847,2.7496,3.0715,1 
7.0108,0.7246,0.6752,2.8811,2.4871,1 
3.5531,0.7464,2.3771,1.8327,2.8987,1 
5.0468,-0.0918,2.8644,1.7018,1.6788,1 
5.2429,-1.1395,2.6335,1.7125,3.6428,1 
5.5221,0.8752,2.1893,2.3418,3.4091,1 
2.8536,1.2138,4.1013,2.028,3.1734,1 
5.715,-0.0358,1.4868,-0.3296,2.982,1 
5.1192,-0.4867,1.9293,3.1362,2.3052,1 
6.2066,-0.6774,1.8469,1.5304,1.1806,1 
3.8829,1.3483,2.0436,1.851,2.8949,1 
6.349,0.4014,3.369,2.3851,3.6854,1 
3.8895,0.3265,1.1639,4.4903,2.9284,1 
5.5331,0.7671,3.2132,2.7084,1.8806,1 
5.2096,0.521,2.8135,2.9656,1.7327,1 
5.5154,0.3093,2.3728,0.7495,1.9021,1 
3.3686,0.6367,3.2537,2.4092,1.8487,1 
6.0894,0.1504,3.2849,2.2165,2.9899,1 
7.1687,-0.073,2.0681,-0.2512,1.208,1 
4.3752,-0.3907,0.3793,2.275,2.68,1 
5.7759,0.0011,2.6707,0.5745,3.5272,1 
