Feature1,Feature2,Feature3,Feature4,Feature5,Class
* 
2.0405,10.7685,3.4356,0.5586,1.835,1 
1.5929,8.0653,1.9629,2.1782,2.3711,1 
2.2714,9.2568,0.9509,0.3699,0.7233,1 
1.5245,8.6508,3.1287,0.5763,0.1027,1 
1.9898,9.0216,0.8542,4.0173,3.0231,1 
4.2686,10.2355,1.8608,2.656,1.0403,1 
2.9295,11.3236,1.6842,1.9337,2.3727,1 
0.3819,9.5823,1.8823,3.2921,2.1655,1 
2.3177,9.633,-0.2805,2.3957,1.4411,1 
3.8378,9.5983,2.575,1.1609,1.9371,1 
2.0928,10.3919,1.4218,2.6319,1.7908,1 
2.6568,10.5121,1.5774,1.1257,2.3147,1 
1.8494,11.5911,1.2622,3.4815,2.5459,1 
2.9116,9.8028,0.9335,5.0013,1.912,1 
2.5227,8.0793,0.6172,2.2097,1.807,1 
2.1046,10.0379,2.1938,2.8652,1.1562,1 
1.629,10.6016,3.3026,1.1655,3.7886,1 
2.5174,11.7909,2.331,1.4952,1.6856,1 
1.6999,10.359,0.9947,-0.99,1.6769,1 
3.0583,11.1897,-0.7312,2.6297,3.0487,1 
1.9002,10.8997,3.2574,3.1989,2.1817,1 
3.1645,9.7374,1.2684,2.7415,1.8072,1 
0.5384,9.5052,1.9748,2.1043,2.2117,1 
2.3604,9.3467,2.6212,0.8684,2.2529,1 
2.5129,11.8113,2.3178,3.7188,2.2775,1 
3.6222,8.6782,0.7938,1.5911,1.3295,1 
0.1318,9.747,4.1217,1.8229,1.1959,1 
1.8459,10.0627,0.2437,1.7797,1.6425,1 
1.242,9.5324,3.0668,2.7277,1.238,1 
2.6963,9.5945,2.9054,2.4534,0.8892,1 
1.4099,12.0096,4.0034,1.3219,3.4646,1 
1.727,9.823,1.456,2.0502,1.9864,1 
2.1345,9.1299,3.0707,1.0689,1.0448,1 
-0.4172,11.2456,0.4539,0.8556,0.5048,1 
2.2364,9.2774,2.8305,1.6719,2.4447,1 
1.9547,10.8254,2.7539,1.525,1.597,1 
3.3861,10.1394,1.1283,1.1441,4.4366,1 
1.1652,9.5467,1.8318,2.2406,1.8879,1 
2.4885,11.8705,1.3278,1.8108,3.0292,1 
0.8,8.6531,1.4191,0.3903,2.2808,1 
2.1793,9.4355,0.9831,2.8154,2.4601,1 
2.0681,9.4318,1.6929,1.7663,1.4856,1 
2.1863,9.806,2.8977,1.8593,2.3313,1 
0.8324,10.142,2.4849,2.1398,2.2472,1 
1.5918,11.0996,0.2278,2.7195,2.3957,1 
2.1079,9.0795,4.2648,0.5052,0.7306,1 
1.7842,10.8678,2.0274,2.4574,2.6807,1 
1.7378,11.3729,1.5758,2.1144,1.6763,1 
2.0588,10.4161,2.551,1.8715,3.2002,1 
3.5406,9.188,2.651,1.5598,1.4451,1 
2.236,10.1875,1.9193,2.0622,2.3329,1 
1.8204,7.7144,1.7346,2.1656,0.8629,1 
2.2407,7.9654,2.1862,2.1432,3.4069,1 
2.7578,10.1194,2.9308,0.9704,3.0676,1 
3.5693,7.9218,2.3667,2.7047,3.2363,1 
1.9118,10.322,1.7213,3.3111,2.1089,1 
1.0639,8.2857,0.6148,2.1003,2.4833,1 
2.7858,10.7737,1.4112,1.4027,0.3988,1 
0.0556,8.6771,-0.0463,-0.3813,2.0944,1 
2.4768,11.3375,2.7526,2.1549,2.1139,1 
3.4873,9.9266,1.169,2.7213,1.5947,1 
1.9168,9.6117,2.272,2.0406,3.3334,1 
2.7688,10.8091,4.5844,0.2446,0.6262,1 
4.389,9.3894,-0.3149,0.1435,1.6155,1 
1.4492,9.6743,1.5897,2.6884,2.3587,1 
0.6556,9.9204,1.6206,2.6729,1.8431,1 
2.2587,8.3558,2.1718,-0.0983,3.3452,1 
2.6055,10.8662,2.4796,1.8484,2.5533,1 
2.6486,10.1765,2.7552,1.7147,2.0656,1 
1.9876,8.8747,1.0559,2.3517,1.0749,1 
0.8546,11.5537,3.2954,0.5721,2.5872,1 
1.9121,9.7973,-1.0057,0.8981,0.4833,1 
3.6836,8.25,1.0678,1.6745,1.3379,1 
2.7728,9.4837,2.3369,1.5852,4.9227,1 
1.4732,11.1469,0.9559,2.0429,1.7307,1 
2.3628,11.7376,3.5165,3.2222,1.7701,1 
3.2962,11.1812,2.6645,1.3867,2.2895,1 
0.0491,9.7696,2.9828,1.4367,2.0304,1 
2.2281,8.8798,0.6959,1.9004,3.1089,1 
1.1227,9.7429,4.0797,1.1322,2.104,1 
2.4323,9.8941,3.0893,-0.6211,2.9018,1 
2.9402,11.0784,3.5259,0.8109,3.1989,1 
3.814,10.1452,0.3824,1.1886,3.4667,1 
2.2389,9.7048,1.7362,3.141,2.184,1 
2.4655,9.3864,1.5328,2.3319,1.5974,1 
2.2782,10.7399,2.8317,3.4176,2.3905,1 
1.7529,8.8979,1.3251,2.4083,2.2692,1 
3.8389,10.1146,2.7337,2.7813,2.059,1 
2.2439,11.466,1.2295,2.1574,1.5989,1 
2.232,9.1323,2.9288,2.5353,0.7666,1 
3.276,11.6745,1.0222,3.4794,1.44,1 
1.4059,9.8339,1.6111,2.6336,2.5365,1 
3.6096,11.3643,1.9123,3.1014,3.1605,1 
0.3862,9.7574,2.7322,-0.1811,3.065,1 
1.5145,11.1183,2.9826,0.7315,1.9098,1 
1.7553,9.5891,2.2452,1.4043,1.2215,1 
0.7925,6.5735,2.596,0.1196,2.0249,1 
3.0835,7.998,1.8383,1.9852,2.4119,1 
2.4311,11.3362,2.4596,2.367,3.6231,1 
2.5471,8.115,1.9433,1.6154,1.4724,1 
1.3595,9.045,2.8136,2.3692,-0.2958,1 
2.0637,8.8337,1.1292,3.4328,2.396,1 
1.7352,10.6467,1.4917,2.0035,2.1685,1 
2.4721,9.8324,2.4082,1.7899,2.283,1 
2.1502,11.0501,2.4393,3.4913,3.2345,1 
2.3542,10.2787,2.2236,3.892,3.8332,1 
0.7807,8.6885,0.8535,3.3025,1.1296,1 
-0.2821,10.4504,2.0677,2.3015,2.6129,1 
1.0021,11.2907,2.0807,2.001,2.1486,1 
3.2467,10.7696,2.758,1.4507,1.7019,1 
3.8835,10.445,1.6656,0.6776,2.49,1 
0.9414,9.0837,2.3326,1.9339,3.3574,1 
1.7682,10.0122,1.639,3.1144,1.5513,1 
1.0417,9.3417,4.0059,1.263,1.9156,1 
2.1188,9.6468,0.2975,1.0906,2.3953,1 
3.1965,9.7249,2.6315,1.4728,0.7624,1 
2.4279,10.186,3.7285,1.3129,3.069,1 
2.4594,8.5048,2.3698,2.8733,2.4628,1 
1.1763,9.0879,2.4986,1.9557,0.8549,1 
1.9987,11.0115,1.5632,1.6641,3.1618,1 
3.3502,11.3374,3.5161,1.9719,-0.2694,1 
0.8897,9.2681,2.5876,1.9409,3.1288,1 
3.028,9.8246,0.878,1.3994,3.1668,1 
0.377,9.8288,1.949,2.296,1.4676,1 
2.8863,9.683,0.9275,-0.1839,2.2758,1 
0.9002,10.449,0.7717,1.7474,2.8358,1 
3.3382,10.1475,3.401,2.1647,3.8361,1 
3.5898,10.122,1.9851,1.89,3.4764,1 
-0.524,10.3801,2.5044,1.7705,1.7089,1 
0.6549,10.7785,2.9466,1.3724,2.2131,1 
2.5967,10.029,2.4855,1.9103,2.8861,1 
1.1397,9.6739,2.7318,3.8715,3.6584,1 
