Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
* 
0.1953,0.3402,0.8745,3.4979,2.5407,0.7169,0 
-0.3107,0.5584,2.6928,1.2664,2.4143,0.1228,0 
-1.3624,1.3759,3.7896,0.752,2.4493,1.8713,0 
1.0154,-0.3358,4.1137,1.9325,1.32,1.1234,0 
-0.8718,-1.4508,2.2818,1.1243,2.2145,0.4106,0 
0.902,-0.8891,2.6505,1.7682,2.3285,0.8582,0 
1.0618,0.9504,1.4175,4.341,3.001,2.7946,0 
-0.4092,0.9257,2.0641,2.9467,2.1996,1.9311,0 
-1.4951,0.819,1.1185,2.1574,2.3269,2.8716,0 
1.9254,-0.2043,1.8793,1.8761,0.297,3.4115,0 
0.2057,-0.552,-0.0739,1.6128,3.7554,1.0923,0 
-0.6537,-1.0833,0.488,1.9579,2.5202,2.6768,0 
-1.6531,2.1595,1.9908,2.1759,1.2879,1.6467,0 
0.4537,-0.1237,2.4172,1.0036,1.8419,0.3966,0 
-0.6081,-0.7042,2.5659,2.7787,2.4331,2.9685,0 
0.696,0.9161,0.7499,0.1183,1.1882,0.4774,0 
0.7301,-0.6902,0.4879,-0.2932,2.6234,0.3826,0 
2.6789,0.0926,3.5193,1.3767,1.6136,3.5479,0 
0.7265,-0.8602,3.6457,1.6453,-0.1181,0.899,0 
-0.1089,-1.6479,1.3721,1.7193,0.7909,-0.8748,0 
0.3135,-0.5927,3.0265,0.7513,1.8117,2.6303,0 
0.9573,-1.5548,2.7128,2.8259,1.6514,0.836,0 
0.4255,-1.9899,3.7953,3.8388,2.8454,-0.2541,0 
-1.1355,0.929,1.2609,2.1976,1.3963,1.6425,0 
-0.768,0.1751,2.0057,2.0187,1.3114,2.5094,0 
-0.0201,0.7687,0.8058,2.5352,2.0817,2.636,0 
0.0022,0.7755,1.1706,2.1377,1.1509,1.7842,0 
0.3,0.7736,3.548,2.0164,2.7418,1.0965,0 
1.5123,-1.1937,2.9859,1.5065,0.9969,2.5666,0 
-0.0121,-0.7016,4.3229,1.8898,1.9132,1.8108,0 
-1.4,0.3919,1.012,1.0811,0.961,1.0915,0 
0.1915,-0.3836,2.8198,1.1489,1.7929,2.24,0 
2.7525,-0.033,1.6868,1.4929,2.0197,1.1658,0 
1.3219,-1.3148,0.5962,1.3106,4.1961,-0.085,0 
0.651,-1.9597,1.962,0.5529,1.9216,1.5302,0 
-0.9558,-1.2974,2.8917,1.6441,1.8529,2.0732,0 
-0.9112,2.1816,3.4135,1.2451,0.3826,1.1148,0 
-0.4778,-2.8251,2.0781,0.8032,2.1828,3.7694,0 
0.0292,0.7656,2.0491,2.2306,1.9625,0.6534,0 
-0.7512,0.5706,1.8726,1.7755,0.9008,0.3184,0 
-2.6861,0.3656,0.324,2.9731,1.2718,0.3046,0 
-0.134,-1.097,2.2105,0.2816,2.0427,2.0123,0 
-0.1226,-1.0205,1.7282,2.2144,2.5012,3.2576,0 
0.2137,-1.4692,2.7071,2.3809,2.4997,2.5692,0 
-0.512,0.0288,3.2707,2.2627,1.5611,0.2634,0 
-1.4936,-0.5465,2.41,2.6923,2.4743,1.3749,0 
0.7843,0.4429,2.5491,2.8035,1.2757,1.4267,0 
0.7706,0.0382,2.8327,2.4411,2.3681,1.7699,0 
-0.8341,0.2967,0.0665,4.0092,2.651,0.9693,0 
1.1176,-0.7163,1.4629,1.8241,1.7364,2.3769,0 
2.8234,-0.2909,4.6977,0.5103,1.5941,2.6002,0 
-0.5693,-0.8232,2.4369,2.327,2.8968,2.1613,0 
1.1185,0.199,1.6992,1.2657,2.7013,3.322,0 
0.1432,-1.4565,1.8216,0.7988,1.9286,2.2062,0 
1.4645,-0.3491,2.9533,1.589,1.0847,1.6103,0 
-0.5441,-0.6464,2.9545,1.9136,3.0439,4.4115,0 
1.7465,0.6308,1.7162,2.2408,2.7213,2.1586,0 
1.2664,-0.3171,2.5201,2.449,1.589,1.28,0 
0.5444,-1.0243,3.0436,2.0985,2.3239,0.7357,0 
0.499,0.0289,3.1125,2.1109,2.3376,4.1618,0 
0.3476,-0.3444,1.0024,0.9812,1.7252,2.4601,0 
-1.3083,-0.6458,2.7062,0.7157,3.487,3.743,0 
0.1826,-1.1607,1.5388,2.5711,3.6256,1.93,0 
-0.3701,-0.1848,-0.7452,1.313,0.6923,3.5506,0 
-0.2511,-2.0675,1.9371,1.6214,1.8643,3.1817,0 
0.4069,-0.1777,1.8298,1.0488,2.2787,1.7943,0 
-1.6027,0.1257,1.0813,2.4765,1.8908,0.5493,0 
-0.9063,1.9417,2.5276,3.9325,0.9206,2.5313,0 
0.0289,-2.3283,2.9035,1.1258,1.6623,1.5906,0 
-0.2481,-0.2587,2.405,3.3026,0.3366,1.4977,0 
1.312,-1.044,0.7885,0.573,0.7207,0.8001,0 
-0.3536,1.0164,1.423,2.2629,2.0234,1.0603,0 
1.0736,0.4514,1.8229,1.2184,3.2086,1.0605,0 
-0.1874,0.6878,1.4242,1.602,0.8911,0.9696,0 
-1.7151,-0.7325,3.5312,2.7059,1.0266,2.3308,0 
-0.849,0.3343,1.6332,2.5693,2.2814,2.1408,0 
0.9906,-1.18,1.8704,1.5505,2.7795,1.3781,0 
-0.363,-0.2765,2.2881,2.9516,2.6836,1.5576,0 
-0.7994,0.0611,0.9076,2.1266,2.2448,3.5237,0 
0.0879,0.9544,1.5855,3.5009,3.5918,2.3333,0 
-1.4339,0.0911,1.0242,2.1093,2.5093,1.6958,0 
1.4766,0.0989,-0.2156,2.7365,0.3329,1.5486,0 
-0.5631,0.3002,2.477,3.7903,1.9162,3.1083,0 
0.1717,-0.8351,1.9664,4.195,2.5932,2.9398,0 
-0.5439,1.9398,1.2601,2.7378,0.8484,-0.6299,0 
0.632,-0.5373,2.3514,1.627,1.2814,3.5173,0 
-0.3613,-0.402,2.4885,2.6176,1.6845,2.7136,0 
0.9164,-0.797,2.3653,2.5278,2.0327,3.1533,0 
