Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
* 
0.9488,-0.0957,1.4534,1.4235,1.2303,2.0301,1 
0.7233,0.6137,3.2327,0.5446,2.0975,0.6195,1 
0.6938,0.1767,1.63,0.8812,2.187,2.4227,1 
-1.1092,0.3501,1.883,1.3283,2.3283,0.6392,1 
-0.0581,0.4773,1.2139,1.8677,0.8013,1.8827,1 
-0.7089,-0.3737,1.6757,2.2839,1.3492,2.7326,1 
-0.4431,-0.7588,1.358,0.7891,3.4031,2.2045,1 
0.7578,1.353,2.0496,0.4516,0.9331,2.381,1 
-1.2168,-1.0115,1.3586,0.2759,2.2573,3.4106,1 
-0.1236,-1.3359,2.5667,2.3181,1.3383,2.1553,1 
-0.3564,0.1376,2.6187,1.1609,0.2861,2.9863,1 
1.5447,-0.9726,0.4596,3.6957,1.1963,2.2168,1 
0.991,0.2348,1.7755,2.4495,2.2294,0.8923,1 
-0.1677,-0.484,2.6824,2.8639,2.2459,2.126,1 
-0.1667,-1.0257,2.9728,1.3709,0.8445,2.5203,1 
0.1573,0.2581,3.025,2.5604,1.7397,2.2042,1 
1.6319,-0.7406,1.6324,2.478,0.9456,0.5948,1 
-1.8403,0.6635,0.8757,1.2832,2.374,2.163,1 
-0.7104,-0.6021,1.9376,2.1776,1.7035,2.922,1 
-1.286,0.0063,0.5202,2.2784,1.881,0.6697,1 
-0.6406,0.4829,1.4526,3.3712,2.1881,1.5074,1 
1.7902,-2.0292,3.4495,2.9221,1.4464,2.9331,1 
1.6317,0.6647,1.1621,1.4512,1.6285,2.7872,1 
-0.7629,0.7196,1.7233,1.0753,3.1871,2.3482,1 
0.3751,-1.3545,1.1596,4.1473,0.4584,1.0629,1 
-1.0479,1.2906,1.1611,1.0357,3.6656,2.6239,1 
1.6538,1.4751,5.2572,1.3857,2.1303,1.4831,1 
0.9002,0.1611,1.964,2.6754,1.8421,1.6351,1 
-1.1978,-0.3869,1.5626,0.2017,2.3626,1.787,1 
1.1332,-0.2387,0.967,2.3156,0.6319,2.2574,1 
-2.1764,-0.1347,2.303,1.0337,1.9802,2.8287,1 
-0.0863,-0.7469,1.3379,1.4151,1.8197,2.8363,1 
-0.3918,1.6905,1.779,0.4182,1.6687,3.7843,1 
0.3857,-0.2739,2.3112,2.8761,1.4108,2.8058,1 
0.2789,-0.9224,1.743,1.1774,2.046,1.3703,1 
0.5489,-0.9864,1.9222,3.3719,2.7627,3.9193,1 
0.5708,-1.1505,-0.1772,3.5037,2.3686,1.2614,1 
-1.325,0.4679,0.461,1.7658,0.7365,4.602,1 
-0.4557,0.584,1.9139,5.6331,2.1202,1.8857,1 
-0.2021,-0.9002,2.1626,2.9537,0.586,1.4031,1 
2.0404,0.3204,1.6161,1.2732,1.3599,1.3383,1 
0.8471,0.1321,2.0761,0.9751,1.4014,1.2963,1 
0.0636,-1.1837,1.935,2.0798,3.11,0.4768,1 
-0.233,1.4925,0.8849,1.4571,0.9054,1.7014,1 
-0.2495,0.7551,2.6929,3.263,0.8968,0.6766,1 
1.2253,0.4092,0.7271,1.7765,1.3902,2.3275,1 
-0.1194,0.0661,2.4669,2.3737,2.2873,2.4612,1 
2.0925,-0.8821,3.0398,3.0023,2.8954,1.4261,1 
-0.0257,-0.7992,2.6787,2.0686,2.0539,1.4708,1 
0.1266,0.1996,2.9129,1.4314,3.2705,1.2989,1 
-0.2568,0.4235,3.6216,2.5934,1.4342,2.1231,1 
1.0927,0.4531,1.4186,1.7245,0.6078,2.8126,1 
-0.9516,1.3062,1.2825,2.0369,3.2815,3.7721,1 
-1.4231,-1.1277,2.7109,2.3293,5.0235,4.5608,1 
-0.6843,0.0172,3.759,2.4487,2.9616,2.3282,1 
-0.1851,-1.0603,3.1774,1.9679,1.6582,3.0576,1 
-0.0716,-1.2388,3.2121,1.5334,2.3387,2.8427,1 
-0.9077,-0.7978,1.2357,2.3746,3.1992,1.084,1 
0.6413,-0.0711,0.964,1.1624,2.1836,1.6047,1 
0.0308,-0.7201,1.5646,3.2975,3.9557,2.5317,1 
