Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
* 
-0.3916,-0.6837,2.4472,2.8648,0.5718,2.3582,1 
-0.0375,0.099,2.6279,1.4281,2.6906,1.6011,1 
0.7443,0.4503,3.0379,2.2699,2.5022,3.9835,1 
0.4294,1.4492,1.9362,1.7739,2.4118,1.407,1 
-0.6273,0.8481,4.0985,2.189,2.7066,1.5473,1 
-1.3364,-1.8037,0.9416,4.995,2.334,1.3301,1 
0.7099,-0.9145,2.0858,0.1415,1.1548,3.4552,1 
-1.9444,1.6231,3.2202,2.0682,1.1286,0.4058,1 
-0.7625,0.5771,2.6094,0.7247,0.2424,-0.5104,1 
-1.2494,0.786,1.3676,1.4764,0.9692,1.2787,1 
-1.4424,-1.38,2.9896,0.685,2.9786,0.6019,1 
-1.3929,-1.4047,1.1402,2.652,2.0433,1.2674,1 
-0.4327,0.3099,2.5245,2.2373,-0.1889,-0.6594,1 
-0.3228,1.3393,2.4586,3.1142,1.9247,1.1715,1 
-0.6969,-0.0026,1.5081,1.4118,2.4851,-1.0321,1 
0.5687,-0.6232,0.852,0.4359,0.9222,2.5044,1 
-1.3067,0.8348,2.3771,1.7027,2.4981,1.3958,1 
0.3893,1.8192,2.0245,2.4556,1.4158,2.9201,1 
-1.0755,-1.8972,1.3608,3.0232,2.8767,0.8677,1 
-0.6362,1.2598,1.5887,1.3032,2.1626,1.8789,1 
2.3896,0.103,-0.1779,1.7427,2.5938,2.4291,1 
0.4748,0.2346,2.8022,1.0892,1.6803,3.0922,1 
-2.0693,-0.0541,2.4805,1.6402,2.2757,3.1186,1 
-1.7444,-0.5665,1.1893,0.654,0.374,0.6307,1 
0.6802,1.2828,1.0966,1.6688,2.2074,1.4983,1 
-1.3386,-1.0414,2.4122,0.9934,1.8604,1.6334,1 
0.5075,-2.0221,2.3688,1.6414,1.9554,1.885,1 
3.2402,-0.2607,1.0241,2.4355,1.7712,3.3788,1 
-0.7517,-1.3839,2.2408,2.1297,3.8446,1.7456,1 
-1.8661,0.8643,2.0924,2.123,3.1596,2.9264,1 
-0.7549,-0.1181,2.6155,2.1555,1.0627,1.8788,1 
0.2089,-1.1624,1.0569,1.7159,4.0728,0.7261,1 
-0.1302,-1.4746,4.6302,2.2801,1.267,3.5281,1 
-0.775,1.2362,1.9257,2.6784,2.0669,3.2446,1 
0.3841,0.7031,3.7512,2.2301,3.6406,2.2407,1 
0.0097,2.3983,2.0828,1.4108,2.21,3.9834,1 
-0.4441,0.6083,0.3751,0.9499,3.2167,3.2896,1 
0.2414,-0.2437,2.4297,1.2043,3.7285,0.797,1 
1.3415,-1.0602,2.5533,2.2828,2.1538,1.1583,1 
-2.5013,0.6029,1.8423,0.8818,2.8193,0.6983,1 
-0.1419,-1.6737,1.742,1.5661,1.595,2.5728,1 
-0.3425,-1.0763,2.0794,1.6022,1.3459,0.5572,1 
-0.279,0.4966,3.6152,1.6933,1.5679,3.4209,1 
-0.9414,-1.1925,1.6657,2.2113,2.6114,3.5148,1 
0.1501,-0.6817,0.6655,3.3839,2.5643,1.5292,1 
-0.691,-0.7824,2.817,3.1969,0.8807,3.3202,1 
-0.0991,1.3113,1.0912,2.0024,3.0288,1.7595,1 
-0.1703,-2.4271,3.9252,0.0523,4.0321,3.1216,1 
-1.0415,1.0232,2.2477,2.6892,0.9131,3.0175,1 
-0.095,-1.9861,1.1508,0.0945,1.1277,1.5364,1 
-1.0595,-0.1447,1.7501,1.5781,1.1183,2.6216,1 
-0.2356,0.4538,2.1731,3.5095,1.6759,1.898,1 
-1.8615,-1.5681,1.2276,1.6768,2.2378,2.3663,1 
0.7985,2.4152,3.3807,1.4162,2.4819,2.6343,1 
0.6442,1.9922,1.835,0.8759,3.6859,1.9139,1 
1.8569,1.5255,1.8955,0.2593,1.8816,3.1332,1 
-0.5619,-1.7576,4.4614,1.5156,2.5419,2.6165,1 
-2.0953,-1.9464,2.9141,1.5336,0.2051,1.4111,1 
0.1819,-0.9223,1.0908,3.815,1.3083,1.6873,1 
-1.1103,0.4703,-0.1668,2.103,1.4828,1.2709,1 
-1.2664,-0.7152,0.9938,2.0248,2.6401,3.3592,1 
0.3475,-0.3163,2.1389,2.9719,2.6965,1.3356,1 
-1.1681,-1.6271,1.7701,1.8581,2.1125,3.4934,1 
0.9087,-0.4468,3.156,1.4708,3.5356,3.5176,1 
0.8328,-0.1751,1.234,3.1005,3.5442,2.4172,1 
-0.5593,1.5679,1.2038,2.1836,1.5976,1.183,1 
-1.7532,-1.3636,1.058,1.1983,1.7667,2.4143,1 
1.7577,0.4649,2.3257,3.8849,2.5067,3.317,1 
1.8387,-1.2812,0.9914,0.9929,1.6382,-0.284,1 
1.4565,-0.5308,2.2384,2.4876,2.9156,0.9933,1 
-1.6188,-1.2354,1.2469,1.7899,0.4299,0.7577,1 
0.4907,0.0293,2.2294,3.1494,0.7963,1.6976,1 
0.674,0.8057,3.5218,0.8919,1.6768,2.2337,1 
1.0177,-0.5062,4.2964,-0.1581,-0.1364,2.1598,1 
0.9804,0.1812,1.2442,1.6637,0.7529,1.3123,1 
0.4171,-0.111,2.5999,1.3572,2.7899,0.9984,1 
-2.483,-1.2229,-0.5154,1.9918,0.226,2.2548,1 
0.2807,-0.3119,3.2706,1.7339,2.0592,1.2693,1 
0.4547,-0.3571,2.4978,1.9046,1.6228,2.0352,1 
-1.3281,-0.7014,1.647,1.1656,2.394,2.7223,1 
-0.7049,-0.2903,1.3333,2.817,2.186,3.3413,1 
0.676,0.9058,2.676,2.0527,1.3913,1.308,1 
-1.1109,0.1838,2.3163,4.706,1.3731,0.7096,1 
1.1742,0.7325,2.4471,3.4054,-0.0593,1.4709,1 
1.5526,0.6464,2.0419,3.5543,3.9929,1.0814,1 
0.4774,0.7152,2.1193,1.6309,1.8755,1.7554,1 
-0.7167,0.1576,1.9456,1.0087,3.0534,4.192,1 
-1.2394,2.2327,1.7923,3.1799,-0.5039,1.3788,1 
-0.0635,1.3727,1.8674,1.1954,3.0441,2.6596,1 
0.6111,-0.451,4.1313,0.4812,1.3083,3.0117,1 
-1.5167,-1.6463,1.3034,3.5026,1.6912,2.7289,1 
