Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
* 
0.7187,1.7468,-0.6022,2.206,2.1271,3.6517,1 
-0.7328,-0.2732,2.2575,2.9788,0.7065,2.6322,1 
2.0243,-1.4079,4.0685,1.1451,2.1036,0.4752,1 
-0.495,0.4681,3.1938,0.6377,3.4533,1.4371,1 
0.5512,-0.2054,1.7235,2.7842,1.7388,1.481,1 
-0.8423,-0.6492,2.4566,2.4713,2.1223,0.6152,1 
-0.0019,0.6157,0.7471,2.4466,2.9763,2.3517,1 
0.4155,-0.2845,2.5551,2.0523,1.64,0.8684,1 
-0.9593,-1.0316,2.9479,2.014,3.7616,2.0724,1 
-0.1379,-2.0062,2.6738,2.273,0.6746,2.1478,1 
-0.1666,0.0651,0.9937,1.5997,3.1302,1.7034,1 
-0.0608,-0.546,1.5188,0.9072,1.0179,2.9127,1 
-0.1637,1.0468,-0.3805,1.7146,1.5964,2.9511,1 
-1.291,0.6473,2.0692,4.1519,2.7432,1.5091,1 
-0.3912,1.1057,2.1689,2.8287,1.0117,-0.0389,1 
-0.6634,-1.5732,2.2096,3.0609,0.8711,2.6658,1 
1.0348,-0.2355,1.0587,1.4438,1.992,2.2494,1 
-0.0838,0.4206,2.0155,1.5549,2.7068,1.4378,1 
0.6385,0.2422,2.1153,1.1927,3.1852,1.5998,1 
0.7394,0.1073,1.224,3.3194,-0.1668,3.2777,1 
0.9787,-0.7704,1.7951,2.1153,1.3024,1.4383,1 
0.271,-0.0456,0.7531,3.856,0.6983,1.7228,1 
0.5516,-0.1778,2.3233,1.3547,1.1463,3.2719,1 
-0.2752,0.3093,1.6057,2.1926,2.2224,2.2702,1 
0.3322,0.1928,2.5474,3.9745,1.0154,1.1565,1 
0.2252,0.7115,2.2526,1.3423,2.3925,0.5716,1 
-0.2262,0.207,2.7244,2.2025,2.253,1.4059,1 
-0.5896,-0.0049,1.8201,3.3843,1.6575,2.4412,1 
-0.5,1.2491,1.8006,2.4727,-0.5503,1.6792,1 
-2.3852,0.5627,0.4808,0.07,2.2915,1.8169,1 
0.2865,-0.1217,3.2331,1.2577,1.2995,1.6616,1 
0.3098,0.7127,1.4343,3.6082,1.093,1.9355,1 
0.6486,0.0468,3.274,1.5654,1.1059,1.3313,1 
-1.0323,-0.006,0.8179,0.9867,0.9437,0.1143,1 
-1.4907,-0.5168,1.7886,3.3356,4.1667,4.3773,1 
0.2757,-0.3361,1.5811,2.6475,1.3021,2.6023,1 
-2.0275,0.8833,3.5356,1.9447,2.8068,2.1661,1 
0.1679,0.0547,2.5182,3.0759,1.2434,3.1452,1 
-0.3588,0.3768,1.3212,2.9863,2.0418,3.2188,1 
1.1609,-1.388,1.6203,0.9396,1.7433,1.0646,1 
0.4473,-0.776,0.7756,1.9494,2.2047,2.4144,1 
1.0992,0.8658,3.0445,1.0083,0.3142,2.101,1 
-0.3585,1.3515,3.5822,3.5908,3.0112,2.3709,1 
-0.5282,-0.7602,2.4662,3.6115,2.1749,2.1402,1 
0.2072,0.6769,0.9394,0.976,2.2847,3.9816,1 
-0.1456,0.9932,2.1654,0.9924,1.7836,2.4608,1 
1.6656,-0.4056,0.7353,1.6764,2.6519,2.84,1 
1.3616,-0.9224,2.0283,1.393,3.4948,-0.0978,1 
0.4141,0.1163,2.5157,1.4337,3.2895,1.9841,1 
0.4878,-0.3947,0.8807,2.076,1.9011,2.9843,1 
-1.6331,-1.5622,0.6344,2.6222,4.4216,2.1667,1 
1.0961,0.9425,1.8208,2.2407,4.0047,2.082,1 
0.8735,-2.7635,2.0748,2.5129,4.0508,1.5253,1 
-0.7233,-0.7139,0.4253,2.9158,3.584,2.7441,1 
0.1756,0.2406,2.253,2.6222,1.1279,1.1067,1 
0.5404,-0.2916,2.6561,3.5572,0.9673,2.1742,1 
0.1904,0.1584,2.7535,1.5669,3.0563,1.6754,1 
0.7823,-0.7614,2.7753,2.4314,3.3154,1.8507,1 
-3.0073,-0.9805,1.0201,1.1161,4.2147,2.4661,1 
0.9464,0.908,1.2482,0.9809,1.3077,2.6424,1 
-0.7422,1.5455,3.4505,1.4953,2.8808,0.8253,1 
0.5982,0.5186,2.2442,1.0018,1.6887,1.7064,1 
-0.491,-0.5892,3.5027,1.8502,1.8121,0.5365,1 
0.5438,-1.3268,0.73,4.0983,3.8561,3.2836,1 
2.1743,1.5553,2.4462,2.5124,1.0602,1.6005,1 
-1.6735,1.4866,1.22,3.591,1.5188,2.8872,1 
0.864,0.899,1.378,2.5183,2.2726,2.4933,1 
0.0361,2.0702,2.7429,1.6747,3.322,3.1092,1 
0.1214,-0.9847,2.055,2.0637,1.5308,2.6131,1 
-0.4405,0.3701,4.1022,0.2972,3.2113,0.5288,1 
-0.2627,-0.4803,1.6284,2.3053,1.673,1.9226,1 
-1.6866,-0.3581,1.2196,0.818,1.0116,3.6954,1 
-0.379,0.5927,1.4154,1.8897,2.935,3.8001,1 
-1.6107,1.658,4.4665,1.9348,2.2957,0.7554,1 
0.6019,-0.3965,0.77,3.6794,2.2916,1.7317,1 
1.4234,-0.4997,-0.3272,1.3816,2.4456,1.4291,1 
1.6896,-0.0104,2.0013,0.6166,0.8592,2.3539,1 
1.7987,0.5583,-0.555,2.2663,1.6714,0.7605,1 
-1.1101,-0.7029,2.5665,1.9896,1.496,0.7153,1 
1.4438,-0.6011,1.9705,2.315,1.6979,1.0395,1 
-0.2436,-0.3459,1.9792,0.7476,3.9202,2.1086,1 
-0.2423,-0.2074,0.1689,-0.2507,1.1996,2.7905,1 
-1.1304,-0.3054,3.2696,2.9245,0.4465,2.5749,1 
-1.9243,1.2029,2.7001,1.8628,1.6251,2.855,1 
1.1175,0.6696,2.5592,1.1066,2.7528,1.0715,1 
-0.5525,-1.7723,3.7872,2.4761,2.9695,3.6924,1 
0.5907,0.0701,1.2311,2.796,-0.6799,2.2759,1 
0.031,0.8717,0.5925,-0.112,3.5448,2.8907,1 
-1.7133,0.233,0.8024,1.472,2.7012,0.8493,1 
-1.0063,-0.4799,3.401,1.5727,2.1383,1.7651,1 
-0.4098,-0.5876,1.9473,2.254,-0.2264,2.1251,1 
0.2968,1.3651,2.0685,2.6617,1.7394,2.4025,1 
-0.5803,-0.2099,1.9183,2.0708,2.4867,0.7845,1 
-1.8157,-1.0105,0.8374,1.8591,-1.0505,2.0652,1 
-0.9498,-0.1866,1.294,2.3443,1.9899,2.0896,1 
-0.9502,0.9824,4.3687,3.6853,3.902,1.332,1 
-0.1132,-0.4092,1.6866,2.1311,2.2863,0.9881,1 
0.51,1.0724,0.493,1.1899,2.5622,3.4155,1 
-0.7433,0.2046,2.9998,3.0046,1.3325,0.8971,1 
1.0321,-0.2357,1.9258,4.6952,1.9687,0.4521,1 
* 
0.3922,10.5314,2.4146,1.6976,-0.5237,1.9663,1 
0.1385,10.7206,4.0081,2.1565,0.5391,0.1763,1 
1.0328,9.3564,3.0114,0.8859,4.2005,0.711,1 
1.2692,9.5258,1.2198,2.5576,2.6542,2.2046,1 
-2.1595,10.477,3.2232,1.9375,2.5228,1.4174,1 
0.3522,9.9867,0.9744,3.2805,2.2787,1.0767,1 
0.0811,11.0486,3.7414,2.6268,1.9023,3.4895,1 
0.6148,9.7315,3.2838,2.5906,2.7711,2.0663,1 
0.0799,8.0337,3.1276,2.8977,2.9493,1.8219,1 
-0.441,11.1856,2.7135,0.0928,1.2615,1.2612,1 
0.0851,8.4738,1.5394,2.8934,1.1604,1.6098,1 
