Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
* 
5.7469,-0.8078,2.6295,2.1067,2.919,0.916,1 
5.7729,0.72,2.9038,2.887,2.5319,1.5395,1 
4.7425,-2.5047,1.3862,1.2355,2.4483,2.1259,1 
4.6618,0.6224,1.6794,1.6944,1.8216,2.1497,1 
4.565,0.0876,1.947,2.6703,0.4461,1.7029,1 
5.1037,1.2185,1.452,2.5307,1.5726,2.3973,1 
6.3401,-2.2667,0.9597,2.1447,1.4139,2.8998,1 
6.4649,0.8979,2.973,1.286,1.3727,2.7875,1 
7.2328,1.8749,1.9793,0.6831,3.6019,1.948,1 
5.3351,-0.0215,3.0831,1.5591,2.8946,1.898,1 
5.6854,-0.3981,0.6437,3.559,1.8064,1.5604,1 
5.435,-1.393,1.6985,0.8656,1.0518,1.2716,1 
3.9143,1.129,1.4352,2.0117,1.8783,0.9972,1 
3.7372,0.8374,1.3674,0.8018,1.0938,1.8905,1 
4.6489,0.3135,2.668,2.4428,0.4517,0.8764,1 
4.4108,0.9481,2.9012,0.5329,1.1876,1.5266,1 
4.3709,2.0486,3.5127,1.3918,2.796,2.2733,1 
5.2406,-0.5526,1.9549,2.2021,2.8808,2.764,1 
4.7453,-0.3099,1.6898,2.6214,0.4745,0.4158,1 
4.6609,1.8044,2.012,3.6803,2.1253,1.7062,1 
6.0724,2.1024,3.5217,1.7556,2.353,2.234,1 
5.1481,1.4147,1.8104,1.7721,2.9602,2.7769,1 
4.6395,1.7302,2.2061,3.5087,2.4865,1.2884,1 
4.4312,1.276,1.8112,3.4009,1.8685,0.7484,1 
4.6908,0.8111,3.83,1.5805,1.3401,2.7218,1 
5.9922,0.8731,3.376,2.7782,1.9273,1.1535,1 
5.3959,-1.151,0.9208,2.6678,4.2964,1.5821,1 
3.5155,0.2188,2.7605,2.8046,1.7603,0.9536,1 
5.4101,-0.808,2.3001,1.6252,1.427,3.8457,1 
4.9768,-0.08,2.1223,1.7467,0.9578,3.9874,1 
6.2074,0.6054,0.9914,1.656,2.0764,1.7514,1 
7.175,1.3528,1.8719,1.0615,3.1281,2.0516,1 
5.593,0.5972,2.3932,1.5415,1.3542,0.63,1 
4.6901,-0.2658,0.9976,3.5827,1.0955,2.4074,1 
4.9919,0.5579,-1.3697,2.4099,3.7111,2.6777,1 
5.1007,0.7398,0.4863,3.3081,3.7065,1.2264,1 
6.0706,1.0964,0.4443,1.2336,3.4002,-0.2887,1 
4.6474,1.0301,2.1737,2.4594,-1.0439,0.7681,1 
4.9088,-0.727,2.7598,2.2637,2.4979,3.8196,1 
5.9685,0.6224,1.7696,3.6824,1.9874,3.0921,1 
4.7837,-2.347,3.2201,1.8195,1.79,2.1746,1 
5.6544,0.659,1.5266,1.7104,2.0816,3.6534,1 
5.672,-0.4719,-0.0787,3.5686,-0.6377,0.4913,1 
3.2251,-0.4333,2.1564,1.9691,2.4846,2.1514,1 
5.4444,0.8635,2.015,2.3093,0.8478,2.5782,1 
5.5939,0.7742,1.6231,0.9417,2.0006,2.5024,1 
5.1669,-0.187,3.4365,1.1468,2.6959,2.7221,1 
4.7907,-0.5838,2.6012,3.533,2.4472,1.0892,1 
5.594,-1.0997,1.718,1.9923,1.679,3.0742,1 
3.5682,1.2327,0.9053,1.4817,2.6831,1.7102,1 
2.9452,-0.542,4.295,1.2149,0.9395,1.2065,1 
4.72,-1.5843,2.1478,1.1117,2.3108,3.2683,1 
3.4133,-0.2857,2.7812,2.1618,0.778,2.5585,1 
5.0676,1.417,1.1126,1.0529,2.4489,0.6729,1 
3.7221,-0.6614,3.3988,0.9853,2.5589,2.994,1 
5.8842,-0.0815,1.4819,2.2757,1.3357,1.662,1 
4.3724,-2.3266,0.9172,2.6391,3.1876,2.2781,1 
2.6221,-1.1448,1.7379,1.5505,3.2926,1.8171,1 
4.6112,-1.4751,1.0922,1.4201,1.9451,0.5985,1 
2.9454,0.5645,2.3048,0.0634,1.0798,0.9781,1 
4.7559,-0.8049,3.3034,1.8706,2.5973,0.1922,1 
4.9935,-0.6456,0.4449,1.3387,1.8331,2.1838,1 
5.5793,-0.3154,2.9947,3.395,4.0087,1.1172,1 
4.2442,-0.2904,2.2621,2.1712,1.6625,1.6449,1 
4.8959,0.2383,-0.4446,0.6488,2.3787,2.3876,1 
5.2731,0.6594,1.8737,1.9337,3.2546,3.0255,1 
4.0774,0.0028,0.6518,0.5361,1.9542,2.678,1 
4.3356,-0.7371,2.5808,3.2423,1.8731,2.1463,1 
6.5264,-0.2809,2.3485,0.4519,0.7918,3.2012,1 
5.0258,-0.0523,1.144,1.043,1.3477,-0.0241,1 
3.5178,-0.2859,-0.7711,0.7858,4.1498,3.5325,1 
3.904,-1.3034,1.2987,3.3212,1.1633,-0.2171,1 
5.8314,0.7324,1.7981,2.8088,1.4516,1.0399,1 
5.5967,1.1756,2.5935,2.1938,1.3915,1.5522,1 
4.8026,-0.8292,1.5549,3.776,3.4928,2.4823,1 
4.5036,-1.2679,3.4307,3.2388,3.9727,1.163,1 
5.056,0.4443,2.5914,3.1026,2.1926,2.5774,1 
4.1636,-0.2749,0.8705,2.0065,1.6578,1.6639,1 
4.6095,-0.2521,0.5278,2.1462,1.6486,2.4883,1 
5.7005,-0.1493,3.4146,2.3414,1.4253,0.3339,1 
3.8966,-0.49,2.8297,3.0535,2.2725,1.2561,1 
4.2914,-1.0083,1.9423,1.0105,1.6031,0.9017,1 
4.6708,-0.7079,2.0702,1.7515,-0.7502,3.2452,1 
5.2508,-0.434,2.7726,1.9087,1.4236,-0.1612,1 
4.7982,-0.9361,2.0478,1.9339,0.4523,2.205,1 
5.6281,0.5263,1.2962,1.3852,2.4078,2.9855,1 
4.5461,2.3605,1.8829,2.7588,2.7936,1.3043,1 
4.3115,-0.7006,1.7679,2.8679,1.5904,3.0982,1 
3.7391,1.4142,2.1615,1.5389,2.6278,0.7961,1 
6.9055,-0.0607,2.0724,1.3039,1.7693,2.6954,1 
3.9921,0.433,1.949,3.9018,0.6175,1.7869,1 
5.757,-0.3758,2.0773,1.9071,3.0939,2.9375,1 
3.127,-1.6461,3.2982,2.6684,1.8533,1.7272,1 
5.2917,0.0719,3.1882,1.8601,0.3513,3.7007,1 
6.9577,-0.1782,1.9053,1.3771,1.2583,2.7364,1 
3.3471,-0.6124,1.6508,1.7203,1.251,3.4741,1 
4.3263,-0.1581,1.1408,2.9113,3.6611,3.2631,1 
5.6051,-0.5223,1.768,2.1461,1.0732,1.7315,1 
6.0308,0.4723,2.6381,1.0804,3.5596,3.1403,1 
4.0013,-0.8255,0.5126,2.4058,1.2597,1.9351,1 
* 
3.6243,1.3882,1.4718,0.927,2.8654,-0.3015,1 
3.7448,1.2388,2.319,1.7506,3.4621,-0.0601,1 
1.6776,1.6159,3.1338,0.9001,1.8276,1.1221,1 
2.0422,2.5828,0.8994,3.1447,2.9016,2.5025,1 
2.9009,1.3163,1.8771,1.0642,1.7321,2.5304,1 
1.3083,1.6032,1.3128,1.1548,1.3288,1.9873,1 
0.8827,2.2344,3.6598,2.742,1.8082,1.1124,1 
1.2528,3.6925,2.0508,1.363,2.1909,4.1003,1 
2.1202,2.6172,2.3002,1.6478,0.8575,1.6507,1 
1.7911,2.5866,2.839,2.9311,2.2856,2.8851,1 
1.2456,3.2529,2.5129,1.7019,2.4885,1.9244,1 
3.1316,3.5198,4.1856,0.6035,0.5559,1.4955,1 
2.16,2.8762,2.3156,-0.0222,1.6938,2.828,1 
2.2301,2.762,1.7777,1.7992,2.1866,2.4101,1 
2.1983,2.119,1.3293,2.3776,2.1218,3.1295,1 
3.1989,2.1852,1.6247,1.3613,2.4235,2.0773,1 
1.6561,2.0436,1.38,2.698,1.5529,3.2245,1 
2.4035,2.5936,0.9051,2.1694,2.7406,1.0463,1 
1.7338,2.0326,0.6269,2.3152,2.8462,1.1405,1 
2.3505,0.6877,1.9613,0.3842,3.1214,2.4089,1 
1.9754,1.2248,3.2738,3.9671,0.142,3.2362,1 
3.6277,2.338,0.8007,2.8633,1.8191,1.3961,1 
0.7699,2.5505,2.7928,1.3765,2.5206,0.8557,1 
2.8019,2.0466,1.8134,1.8983,2.8689,2.7504,1 
2.5295,2.1377,2.0778,2.6184,2.2325,2.6826,1 
1.6899,-0.4348,3.0388,4.187,2.4414,1.8998,1 
1.8636,1.8809,2.0174,0.878,1.4829,1.003,1 
2.2488,1.7034,2.4952,1.8253,2.9863,2.2135,1 
4.1907,0.1036,1.3531,2.9015,4.5283,1.7514,1 
2.0437,1.7737,3.3315,1.7127,2.6801,1.6802,1 
0.7274,2.3135,2.5032,3.2932,1.8896,1.3826,1 
2.5628,2.2407,2.2807,1.9269,3.1603,2.3695,1 
3.9047,3.1111,2.659,0.3726,2.6023,2.4203,1 
2.811,3.0444,1.5991,2.824,1.4377,3.9549,1 
0.668,0.2393,0.3493,1.1094,0.8809,3.9561,1 
1.6735,0.6573,3.1144,1.4135,0.7631,2.8758,1 
2.6234,1.565,3.4075,2.1291,3.6169,2.5027,1 
3.5588,2.1094,0.7803,4.4494,1.4542,1.8012,1 
1.2996,1.7966,2.2427,2.2018,2.661,3.7922,1 
1.8795,0.7669,0.8177,1.3342,0.3258,2.825,1 
1.5018,1.689,1.9981,0.6034,1.1387,2.6747,1 
2.6185,1.5568,3.8105,0.6943,1.655,1.7692,1 
-0.7931,3.9375,2.3663,0.9554,4.0512,2.5857,1 
2.4295,1.393,2.1062,0.4743,2.795,1.6256,1 
