Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
* 
2.8497,10.0272,2.7406,3.0338,1.9423,2.5945,1 
2.004,9.5112,1.8993,0.9821,0.4864,1.7977,1 
1.3976,10.9468,3.4852,1.0386,2.3057,1.3668,1 
2.236,9.3707,2.5458,4.7959,1.6227,3.5354,1 
1.604,10.119,3.5686,3.3137,2.1939,0.9678,1 
1.7883,8.3565,0.8524,1.4568,2.7509,1.9542,1 
0.9879,11.3107,0.1185,-0.1182,0.5686,2.1372,1 
0.9519,9.5459,1.6415,2.9276,1.783,1.4073,1 
0.7373,8.852,2.9449,0.9826,1.8847,2.6281,1 
1.2082,8.9014,1.6436,2.9614,3.2164,3.2144,1 
1.7055,9.0196,1.0657,3.175,2.9366,3.459,1 
2.9287,9.0521,-0.0821,1.8827,3.0407,2.265,1 
1.983,10.7154,2.7517,1.7894,2.4021,2.1322,1 
2.266,8.5612,0.5444,3.7296,0.4756,2.0455,1 
2.6743,11.0649,1.9434,1.9037,1.5231,3.882,1 
1.7749,9.7637,1.9551,3.8091,0.7522,2.8958,1 
1.2746,10.6454,2.0776,3.4528,3.128,2.2819,1 
1.8832,9.0417,1.5679,2.19,1.3669,1.8454,1 
1.8401,9.6531,2.3491,1.5955,0.3359,0.6093,1 
0.2405,8.0323,2.6511,2.319,2.3768,0.1215,1 
2.7409,10.536,2.145,3.533,1.2807,2.2659,1 
0.9271,11.5847,3.3,3.4775,1.0876,2.1325,1 
3.3253,9.598,3.2041,1.6698,1.9793,3.1232,1 
2.8774,9.0928,1.9677,2.252,1.7719,0.1042,1 
1.8552,8.904,1.4628,2.1328,1.9756,0.5417,1 
3.7452,7.6037,3.4571,1.1882,2.5317,1.9166,1 
3.1283,9.1169,2.9028,1.0434,1.3939,2.8873,1 
2.06,8.7886,3.0246,2.2,2.2615,4.7578,1 
2.5437,9.1765,2.9592,3.9411,-0.1697,1.3028,1 
1.291,9.4462,3.842,3.2536,2.5941,0.8069,1 
4.4629,9.3826,0.2584,1.7462,0.8302,2.4468,1 
1.122,11.3513,2.0927,1.6508,0.8727,1.3552,1 
-0.2333,9.5963,2.7252,1.8423,3.0688,2.6576,1 
3.08,10.2367,2.3344,1.4553,3.7134,2.6221,1 
3.6635,10.9696,1.5509,1.2936,2.9906,0.0546,1 
3.6227,9.6356,1.8927,2.2547,0.9354,-0.1325,1 
1.652,9.0966,1.5097,3.1164,2.8182,2.1004,1 
2.3582,9.7407,2.3677,1.5179,1.0595,1.2954,1 
1.2685,10.0843,1.8139,1.2078,1.7977,1.927,1 
1.0912,10.1641,3.7414,2.0241,2.7607,0.6732,1 
1.5382,10.1764,1.6658,3.2049,2.5938,1.5277,1 
1.0954,8.5694,2.8306,1.3961,3.7442,2.2497,1 
2.2861,9.7856,3.2448,-0.088,0.8007,1.4086,1 
1.9911,7.7909,2.6968,0.5311,2.5289,0.0108,1 
1.976,10.9496,1.1431,1.0119,1.5956,1.3907,1 
2.7337,11.1571,1.5387,1.3501,1.3629,2.3605,1 
1.9631,9.4507,2.8701,2.8699,1.4083,0.9339,1 
1.2084,8.6575,3.4645,3.0637,1.849,1.284,1 
1.979,10.577,0.6031,1.9764,0.6082,1.5509,1 
0.8811,10.2996,0.6281,0.7141,3.5038,1.7358,1 
0.2028,9.6513,2.8505,3.3771,1.3799,1.9112,1 
0.7929,8.9117,3.6727,0.5285,3.0897,2.7504,1 
0.0702,10.6565,4.0602,2.2074,2.4675,4.0761,1 
2.1564,9.61,2.1134,1.3236,2.3883,2.7076,1 
0.8557,10.7358,4.8969,2.2604,2.993,1.283,1 
2.0634,10.3363,1.1557,2.1815,2.4382,1.5835,1 
2.1335,10.9222,2.3318,2.6684,0.4029,0.4867,1 
2.4427,9.8541,2.2443,1.2388,0.1977,2.54,1 
4.1495,9.8898,2.0139,3.2544,2.6609,3.3906,1 
3.2964,10.3702,3.331,1.7794,3.6944,3.537,1 
3.1606,9.7136,0.8685,2.8255,0.6222,3.3048,1 
2.3997,10.4046,2.1411,0.9254,2.9464,3.6638,1 
2.6214,10.1759,1.1479,2.0342,1.0958,2.4647,1 
2.2517,9.8369,2.9846,1.6124,1.4495,1.9389,1 
2.9068,8.4727,1.1024,2.5528,2.9839,2.3256,1 
2.8883,10.2995,2.3539,1.6209,0.4085,2.1807,1 
2.5105,9.216,2.1277,2.25,2.9175,1.4674,1 
3.1657,9.4823,2.0244,2.0974,2.5376,1.0009,1 
3.4164,10.3365,0.6909,1.2094,1.9315,3.4908,1 
1.9785,10.6457,1.1867,2.3189,1.1535,2.3977,1 
1.2471,9.0233,-0.4005,1.7266,1.5182,2.6689,1 
1.5526,12.9185,3.8635,3.53,4.2701,3.2585,1 
0.3471,8.3804,2.2464,1.7097,4.3858,1.5849,1 
3.1537,10.4092,-0.4255,-0.0503,2.7547,1.3406,1 
1.5747,11.0788,0.7844,0.4243,1.3903,1.7648,1 
1.249,8.5203,0.8901,2.0628,1.1105,2.7079,1 
1.7764,9.2629,1.5405,1.477,2.4622,2.2549,1 
1.2365,9.2553,1.7107,5.3583,2.8961,3.6299,1 
1.9814,9.3826,1.0585,2.566,2.5317,1.4623,1 
2.5287,10.2311,2.3126,1.5679,4.3043,1.7653,1 
3.7379,9.582,2.5671,2.1555,0.7885,2.6995,1 
2.2447,11.4187,0.9886,1.5407,2.6939,2.8681,1 
1.1178,9.6629,2.7336,2.4586,1.324,0.9784,1 
1.9021,11.262,2.1181,0.0164,3.8926,2.9304,1 
0.9999,11.5014,1.8197,4.1998,3.1077,2.1847,1 
1.9846,8.3005,2.7937,2.3927,1.8581,1.6433,1 
3.0654,8.9,0.9595,2.4949,2.3386,0.6228,1 
1.977,10.4617,1.0902,1.6115,2.0993,0.5195,1 
1.8085,11.192,1.0865,0.5174,2.0776,1.2238,1 
2.2746,10.7139,1.1124,1.5015,0.9221,1.3903,1 
3.1952,9.5011,4.0614,0.5189,2.9421,1.4121,1 
1.9019,8.5049,1.6808,1.6495,1.4934,0.6563,1 
0.9951,10.4248,4.4914,2.8326,-0.6106,0.7291,1 
2.249,8.8618,2.3964,1.473,1.7975,2.0614,1 
1.7496,10.4558,1.4661,2.9378,1.9605,1.8731,1 
0.6721,11.3926,0.8872,1.7426,2.0221,2.9578,1 
2.0718,7.6219,2.8634,4.4336,-0.0497,1.6032,1 
2.6357,9.0298,4.8931,1.7192,1.5804,1.6248,1 
3.1579,9.7642,1.0463,1.4923,2.2469,2.3833,1 
4.9802,9.4734,1.9322,0.4975,0.0098,1.699,1 
1.7652,9.5997,1.9186,2.7896,2.907,1.6382,1 
3.2227,10.2737,0.8507,1.2629,2.8298,3.245,1 
1.6712,9.2526,1.3031,3.7126,0.8049,2.7414,1 
0.3415,11.2223,-0.0697,2.5343,0.9464,1.8291,1 
2.5545,9.8525,2.8146,1.4144,3.7247,3.2996,1 
1.8905,11.2746,1.0548,0.3671,1.6632,1.207,1 
0.4547,8.9489,1.1627,3.5906,0.567,3.297,1 
1.9136,9.389,0.6261,3.5658,3.3097,1.8274,1 
3.4419,9.9257,0.2402,2.2567,1.9356,2.1638,1 
2.0735,10.9933,0.566,1.5804,1.0166,1.1364,1 
3.0692,12.0049,1.094,0.8343,0.5206,2.192,1 
2.1374,11.7641,0.5601,4.0756,0.3758,1.6116,1 
2.4108,10.689,3.0891,2.984,2.756,0.6425,1 
1.9856,10.2168,2.768,2.6903,2.417,1.3955,1 
1.1954,9.4966,2.9672,2.0768,2.5341,2.0324,1 
2.0422,9.8569,2.3485,1.5244,0.6183,1.5872,1 
2.7591,9.775,1.4681,1.3837,1.3948,1.3776,1 
0.6762,9.1444,-0.0078,0.77,1.036,1.3395,1 
1.2803,9.6879,2.3299,2.8291,2.5206,2.3545,1 
3.4778,10.1929,2.0004,2.9492,0.8938,2.3363,1 
1.2975,10.0285,2.5443,3.2541,2.3295,2.2889,1 
2.7575,8.6087,3.9264,2.7448,1.4127,1.3084,1 
3.2638,10.577,1.4013,0.4487,1.4332,0.9379,1 
3.3371,10.2289,1.1991,0.7496,1.9631,2.3154,1 
2.8085,9.9566,1.9383,2.4818,1.2282,1.8053,1 
2.4188,10.7859,1.706,1.1983,1.2103,2.0305,1 
2.4063,9.316,2.2317,2.6002,1.8176,2.1389,1 
2.2117,9.996,2.4318,4.5154,2.0053,3.3171,1 
1.3393,11.1097,2.0256,3.2611,2.7603,1.3826,1 
3.6206,7.6578,1.5238,1.9977,2.4146,1.4737,1 
0.6099,8.5115,1.9599,1.8726,2.6883,2.3258,1 
1.1801,11.1386,1.5314,3.2224,3.3907,1.662,1 
3.4382,10.8326,3.7318,0.6038,1.0304,1.5705,1 
3.205,9.1821,1.9549,1.5925,2.3245,2.726,1 
4.9195,10.6256,1.3268,3.328,3.7038,1.2581,1 
0.89,9.7747,0.6654,1.2496,2.4309,2.2644,1 
2.0883,12.1022,0.7498,1.83,0.5141,2.4714,1 
3.6425,10.5771,1.3218,3.7423,3.2549,2.8384,1 
1.3702,10.1341,1.0813,2.7781,1.4867,1.5172,1 
1.8927,11.6888,2.2894,3.5525,2.4275,2.5767,1 
3.2985,9.5858,1.6038,1.7893,1.7972,1.2479,1 
1.2374,10.2453,0.6251,1.4072,2.7436,1.3804,1 
1.7614,10.9673,1.9544,1.5156,2.959,2.5574,1 
1.885,9.907,4.1804,-0.0977,2.4301,2.491,1 
2.6337,11.1975,1.3495,1.409,3.0556,1.9061,1 
