Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
* 
1.1663,9.4579,1.1398,1.4982,3.0134,2.7439,1 
0.4069,10.0878,2.0332,0.4305,2.1811,0.9223,1 
4.0084,9.7988,1.28,2.5132,1.7439,1.8208,1 
1.771,10.171,1.037,1.8915,-0.4639,3.4883,1 
3.1652,11.4616,1.5292,2.0504,1.7064,1.2295,1 
2.0721,9.3726,1.5204,3.1929,1.8079,2.4227,1 
0.6423,9.5799,1.1667,1.8171,1.6249,2.8263,1 
2.1826,10.5658,1.929,1.2862,3.0606,3.1892,1 
2.1167,10.5416,-0.1524,2.4569,1.0014,1.032,1 
2.3097,10.7045,1.1613,1.572,2.0994,1.7409,1 
1.0711,10.3135,1.9471,2.705,2.0589,2.7588,1 
1.78,10.0463,3.4782,2.5459,3.5668,0.581,1 
0.7209,9.2564,1.8496,0.6351,1.4334,1.0056,1 
1.7907,8.4435,2.006,2.4068,1.5699,3.3055,1 
2.4933,8.9658,1.2898,0.5803,2.961,2.3742,1 
1.7923,8.3884,3.278,1.7214,2.6898,1.4953,1 
2.6314,9.6456,1.4814,2.7582,2.9344,0.1787,1 
1.8174,10.2478,2.0548,0.2365,1.3456,1.3422,1 
2.1536,10.8436,0.5238,2.903,1.5946,3.7314,1 
1.1015,10.6983,2.1599,0.6952,1.5184,2.5129,1 
1.7223,9.6082,1.8643,2.1163,2.5472,0.906,1 
2.581,10.9494,2.9176,1.2538,1.3772,1.4672,1 
2.0536,10.2426,3.1038,3.103,0.3638,2.7351,1 
2.2077,9.9315,2.8501,1.2782,2.9144,0.959,1 
3.0465,7.174,3.0842,2.2203,3.6296,3.5597,1 
-0.4703,10.5714,1.6093,-0.1132,1.6136,0.3705,1 
1.0987,9.6057,1.6278,1.7145,1.849,2.671,1 
1.1825,10.1117,3.3497,1.3776,2.1794,0.8351,1 
2.1849,9.9397,2.2681,2.0117,3.0946,1.9478,1 
1.5788,8.4867,1.2952,2.7323,2.3115,2.1787,1 
0.0355,8.5451,1.5814,1.6691,1.3329,1.7726,1 
2.9201,9.9793,1.0264,2.711,2.7745,3.7086,1 
1.7962,9.5092,1.8732,1.8114,2.5778,0.9723,1 
1.5485,9.7814,2.9509,2.1195,2.372,3.2669,1 
3.4223,10.8857,2.3773,-0.4501,0.7114,2.9359,1 
2.2162,12.9342,1.3643,1.7084,1.7843,2.7817,1 
2.1324,9.3241,1.0224,1.2611,0.9885,2.1413,1 
1.7307,11.1327,3.385,1.1271,0.7188,1.9622,1 
0.974,9.3608,0.9027,3.2819,1.6568,1.3598,1 
0.4571,9.3183,2.7988,2.3742,2.9215,1.4072,1 
1.5974,10.0285,3.1667,0.6908,0.8653,0.7599,1 
1.4589,8.4309,3.2114,-0.0934,1.8904,1.8819,1 
4.3409,10.9528,1.2408,2.677,1.8361,1.4639,1 
1.7527,11.1416,1.0964,3.3376,1.8452,0.7728,1 
1.7353,10.0034,3.1916,2.6726,2.7725,1.9483,1 
1.9119,12.5561,2.0206,1.8415,1.0577,1.0782,1 
3.478,9.544,0.9945,1.075,3.1747,0.4724,1 
2.5568,9.2202,1.0338,1.4945,3.8997,2.2588,1 
0.511,11.2071,2.808,2.57,0.968,3.6112,1 
1.1989,10.0818,3.4492,2.706,2.7228,0.5343,1 
3.9676,9.9835,1.4701,4.7617,0.6435,1.7393,1 
3.0556,10.6259,1.9905,2.6224,2.6882,3.2868,1 
2.532,8.9923,4.0297,-0.4623,2.3792,2.4827,1 
1.4359,8.0109,2.7416,2.9967,0.9614,0.4783,1 
0.5856,10.0472,0.5197,1.6728,1.487,1.4884,1 
2.9331,10.2894,1.3432,0.0266,0.2637,1.3041,1 
0.7807,12.3669,3.185,1.389,2.8017,1.3112,1 
1.9231,10.2406,2.163,1.8704,1.442,2.4425,1 
3.0592,9.2496,3.5189,3.2652,2.6582,3.5031,1 
0.7506,10.1485,2.0117,0.0487,-0.0547,2.9737,1 
2.5816,8.7496,2.9331,2.186,2.7391,4.0376,1 
2.0938,9.9087,1.6128,1.5858,1.7539,1.7157,1 
2.7093,9.7432,0.3363,-0.0329,2.398,2.9684,1 
2.0866,8.7502,1.6797,-0.1769,3.5223,1.5646,1 
0.4485,10.1357,2.1916,1.0452,0.9123,1.5265,1 
1.8465,8.8103,0.5135,0.1306,1.7334,1.5641,1 
2.9032,10.1943,2.918,2.5242,0.7297,0.0429,1 
2.133,10.7416,2.9661,2.151,2.5489,0.7155,1 
2.8754,9.4574,3.6004,3.9127,0.6478,2.5122,1 
0.5818,10.0536,1.3991,3.0894,2.9503,2.558,1 
1.4269,9.5163,1.756,3.0376,1.5957,2.2503,1 
2.0486,10.9807,1.7232,2.2893,1.4311,1.2151,1 
1.206,9.6005,2.181,-0.0484,0.4739,3.1803,1 
1.106,11.0085,3.2991,1.7918,3.457,0.5755,1 
1.5271,10.7579,1.2628,0.297,1.5439,2.1023,1 
1.9404,10.4309,3.5927,3.19,2.2806,1.7856,1 
1.5888,10.1393,2.5958,1.7689,3.0547,0.3573,1 
1.6431,8.9254,1.4742,2.4542,3.1048,1.7665,1 
1.3515,9.8887,5.5575,0.5185,2.8018,2.4411,1 
2.8409,10.2304,1.7938,2.2137,2.7335,2.4802,1 
2.6204,10.5369,1.1205,1.5529,3.1582,0.5863,1 
1.1761,9.4076,2.1012,1.5099,1.8279,3.0958,1 
2.9158,9.9868,3.2379,2.9171,1.9458,3.3914,1 
1.3979,9.4244,1.3653,4.5064,2.7197,1.8046,1 
2.152,10.036,3.9164,1.7466,1.1233,0.9523,1 
0.9148,10.4437,1.2607,2.9425,0.6709,2.9856,1 
0.5295,11.1672,3.1914,2.4124,2.3306,2.6764,1 
3.0076,8.0667,2.307,1.469,1.2112,3.7012,1 
3.9981,8.917,2.7347,3.4148,0.2772,2.3263,1 
2.38,10.3957,3.8719,2.403,1.2509,1.645,1 
0.3789,11.1669,3.5821,0.9002,1.7151,0.924,1 
3.4648,11.9546,2.8704,0.9569,2.107,2.1381,1 
2.7402,9.036,2.3115,1.0102,1.2541,1.8584,1 
3.4879,11.077,1.0873,0.4961,1.6416,1.5905,1 
0.96,8.9002,2.1246,1.8818,1.1006,1.8883,1 
2.9016,9.975,1.9688,0.8152,0.4449,4.2967,1 
2.376,9.4601,2.2443,2.9888,3.099,-0.5086,1 
3.0897,9.8717,1.1018,2.6912,2.9906,1.3915,1 
3.3866,11.035,2.1626,1.9264,1.3621,1.4763,1 
3.5045,7.5299,1.5667,1.4284,2.4376,2.4716,1 
2.777,11.2855,1.3965,1.8624,2.2228,1.9518,1 
3.8226,8.8561,1.8165,1.7294,2.3551,1.8091,1 
2.8935,11.6435,0.6944,1.8388,1.2947,1.2701,1 
3.5391,12.2092,0.7606,2.6911,2.7195,1.2723,1 
1.7943,9.0222,3.4238,1.8257,1.6929,3.1886,1 
2.6868,10.085,1.4042,0.9626,4.3945,1.5982,1 
1.2014,10.8445,3.5774,0.7196,-0.9506,2.0515,1 
2.5119,10.5028,2.9833,1.1923,2.502,1.7109,1 
2.4481,9.8125,2.8981,1.5369,3.2923,1.5591,1 
0.7224,9.3796,3.1904,2.8052,1.5774,2.9156,1 
0.6472,9.6875,2.0454,-0.3417,2.1733,2.1371,1 
1.0824,9.5065,3.2103,2.4745,1.508,2.6969,1 
1.3987,9.912,2.1935,0.9814,1.8205,1.5789,1 
1.4571,10.1833,0.6502,0.7712,1.2152,2.0261,1 
0.4522,10.0456,1.435,3.6503,2.8931,3.3926,1 
3.2297,10.2045,1.5048,1.9316,2.6138,2.1816,1 
4.1426,8.9305,2.3086,0.943,3.3687,0.9546,1 
0.9688,9.731,2.9958,2.039,2.6306,3.7637,1 
1.3696,10.1809,2.1246,1.0736,2.6745,2.3042,1 
3.9268,9.8649,1.6195,2.0419,2.0644,0.9598,1 
2.5441,9.1527,3.7068,1.5949,2.2344,2.6169,1 
1.8312,9.2988,0.8131,2.7071,1.1579,1.0006,1 
0.834,10.9372,2.6486,2.6799,2.7614,0.9209,1 
2.3479,10.5223,2.4327,1.8984,1.5615,2.2999,1 
3.586,10.8994,3.3289,2.359,2.8197,2.6,1 
0.8216,9.1644,1.0042,2.9451,1.5111,1.6953,1 
1.5469,10.6513,1.5402,3.5702,3.9973,1.0738,1 
0.8045,11.3289,3.5192,1.9234,1.9453,1.5462,1 
0.7927,9.5548,0.6079,3.7398,2.5576,2.3966,1 
1.5484,9.8089,1.2073,0.1689,1.9519,4.5579,1 
2.0456,10.3515,2.6198,1.8341,0.1356,2.2672,1 
1.4511,11.6144,1.2244,1.2759,3.0263,3.9207,1 
2.5439,10.0779,1.4682,1.9998,1.8885,1.219,1 
1.6924,10.9157,2.6464,3.8292,3.576,1.2713,1 
1.8775,8.9836,1.2244,2.1021,2.0794,3.6006,1 
2.8244,9.8859,2.5797,0.9452,1.6532,1.8604,1 
1.4982,8.8179,2.0296,2.3371,2.0658,1.4084,1 
1.9083,10.7695,3.0872,3.5749,2.6722,-0.1444,1 
1.5274,11.9315,1.7169,2.2185,1.082,0.5324,1 
1.4451,12.4334,2.3648,-0.6571,3.0364,2.2406,1 
2.8339,9.4703,0.4221,2.2744,0.9071,1.8178,1 
1.2846,9.1007,0.7981,3.5245,2.4088,0.9127,1 
3.613,10.8882,2.9912,1.8338,3.1473,1.0635,1 
2.4249,8.0926,3.2611,1.5704,0.1865,2.9709,1 
0.9939,8.8004,2.8052,0.6801,2.1032,2.4214,1 
3.1572,9.3508,2.5341,2.8718,3.2429,1.9986,1 
0.8035,9.0293,2.9334,0.66,1.7738,2.118,1 
3.4003,10.2587,1.2695,2.3551,1.0257,1.205,1 
2.4455,10.1147,3.4188,1.0456,1.7106,0.5351,1 
1.679,10.7011,3.7203,1.4032,2.4772,-0.7673,1 
1.2925,11.1568,2.5937,2.6824,1.2705,2.9825,1 
2.1501,10.2458,4.9044,2.0321,4.9056,0.9107,1 
0.5262,10.8095,3.4387,0.766,1.7045,1.7133,1 
0.6545,10.6533,0.3382,2.1397,1.8866,1.8974,1 
1.4858,9.9376,2.4692,3.369,0.9793,1.6299,1 
3.096,9.6509,1.1127,0.6275,2.7952,-0.1831,1 
2.2917,11.313,1.7507,2.3673,3.1506,3.5364,1 
2.6953,10.5818,1.5028,2.2966,1.5497,2.1246,1 
2.2038,10.5095,2.4659,1.4453,2.7678,1.2577,1 
0.9608,9.6065,2.2921,1.9613,2.1405,1.8612,1 
0.9244,11.112,2.866,2.3748,1.5005,1.861,1 
0.1115,10.4389,3.044,2.8215,3.367,1.7987,1 
1.903,10.8994,0.7927,1.9422,0.2,2.2118,1 
1.6993,8.5786,3.0884,0.1945,0.2702,1.8521,1 
1.4198,10.5287,0.4627,1.8847,2.3723,3.4686,1 
3.8777,11.1505,1.667,0.9095,1.6159,0.7594,1 
0.3373,8.5843,0.957,2.2185,2.1735,2.0369,1 
2.3987,9.9641,4.8207,3.3164,3.3583,1.3074,1 
0.3564,7.659,4.1606,2.7664,2.5573,2.8145,1 
1.6399,9.8227,3.0433,1.7066,2.5169,0.5678,1 
2.2566,7.3236,2.1157,2.058,4.2777,0.1098,1 
2.1629,9.7529,1.2459,3.0765,1.2497,2.61,1 
3.5157,9.9503,1.0965,2.3064,0.3058,2.397,1 
2.7535,10.2384,1.4959,-0.0369,1.4269,1.8384,1 
3.5384,11.3084,2.5656,2.1369,1.7759,1.1718,1 
1.3917,10.2173,1.6397,1.025,1.5105,1.7296,1 
1.4847,9.8326,1.1843,2.1138,0.0531,2.3918,1 
3.5132,10.5912,0.9337,1.5676,2.5241,2.0073,1 
2.5627,11.9777,2.7836,1.2579,1.9062,0.9053,1 
2.5008,9.64,2.0393,1.2089,1.9597,-0.9597,1 
2.1437,10.865,0.9172,2.2666,3.783,1.8905,1 
0.7355,9.9658,3.092,1.3475,2.7862,3.3965,1 
2.4672,10.1972,0.4438,1.5487,3.2472,3.9164,1 
2.4335,9.1684,1.1859,1.2137,1.7029,3.6752,1 
2.9721,11.5839,1.9229,0.8881,1.2808,2.0595,1 
