Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
* 
1.111,0.5038,4.2161,1.2572,1.7418,1.5007,1.2221,0 
-0.6959,-0.2612,2.4238,1.8574,2.102,0.6958,2.3844,0 
1.0085,-2.0604,1.2694,2.3941,1.5316,2.5741,1.0806,0 
1.6427,-0.4222,2.1212,0.6078,2.4144,1.6575,0.3864,0 
2.1201,0.2619,1.5159,1.1764,0.8489,0.9929,1.8162,0 
-0.9746,0.4841,1.8736,2.5956,1.9507,2.5816,2.4911,0 
-0.7745,-1.2344,4.2699,2.7769,1.5394,2.2792,2.0463,0 
-0.0316,0.0116,0.8071,1.6637,2.1699,2.127,1.7489,0 
-0.7437,0.0217,3.2902,1.285,4.0477,3.0252,4.363,0 
0.4477,-0.8907,0.9771,1.6332,3.8018,1.8168,0.4389,0 
-0.0498,-0.9843,3.1617,2.7263,1.7604,2.0286,1.5098,0 
0.8874,-0.8104,3.1545,1.9344,3.4421,0.7667,2.4415,0 
0.062,1.0596,1.7948,1.5705,3.6683,1.2204,1.6125,0 
2.3544,-0.1453,2.6331,2.3627,1.5653,2.5613,2.5674,0 
0.1869,-2.4942,-0.1095,3.1823,0.6926,1.2832,1.1537,0 
1.8639,1.5353,1.0388,0.6913,4.3575,1.371,1.476,0 
0.2987,0.9317,1.9093,2.2016,3.0224,1.0186,2.7233,0 
-0.1849,-1.3431,0.6033,1.3342,1.3574,2.0002,1.4144,0 
-0.8887,-0.4121,3.3099,1.479,0.9508,2.5029,3.537,0 
0.3889,-0.9612,1.8282,2.527,2.6061,2.0386,2.4269,0 
-1.0235,-1.9287,1.977,3.568,2.684,2.4908,2.52,0 
-0.4794,-0.0234,2.2536,3.8741,-0.386,1.4778,2.121,0 
-0.9303,0.9754,3.1349,2.4028,1.5059,2.0278,1.0729,0 
-0.8602,0.2058,2.8082,-0.5405,1.631,1.1043,1.9477,0 
-0.4391,-0.3701,2.0043,0.9276,3.4793,1.5425,0.0388,0 
0.1928,-1.3611,2.4667,1.1513,1.8166,3.5381,1.9694,0 
-1.9489,-1.5513,1.1217,3.3805,1.9791,2.8561,1.7992,0 
-0.6694,-1.7171,2.4902,1.1088,2.2879,1.8711,2.6699,0 
1.1654,-0.6372,2.969,1.6019,1.2437,1.5994,3.5269,0 
1.1497,0.1415,1.4331,2.6105,3.6118,1.0818,1.8973,0 
-0.1845,1.2444,2.048,2.3747,2.2426,3.6099,1.7965,0 
-0.2629,1.6031,2.3416,1.001,3.3048,0.8578,1.6064,0 
-1.1099,0.071,1.9575,3.0877,-0.3085,1.2211,0.4726,0 
0.1405,-0.3469,1.5538,0.2769,1.7697,3.4271,0.685,0 
-1.9237,-0.0749,1.7632,3.3752,1.2336,2.23,1.6143,0 
0.7379,0.5016,2.2199,3.187,0.1439,1.5205,2.9789,0 
0.8584,0.0449,0.2631,1.0919,0.8958,1.006,1.2317,0 
-0.1075,0.3155,3.3459,2.9872,3.3502,3.0089,1.7615,0 
0.7012,-0.9328,0.6205,1.5462,1.3993,0.4921,3.2375,0 
-2.2134,0.4797,1.3929,1.3161,1.5385,4.1282,2.0194,0 
