Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
* 
0.8188,-1.0436,2.3509,2.9216,1.9126,-1.1289,1.0303,1 
0.9347,0.0439,3.4252,1.4429,2.9268,0.7164,3.0963,1 
-1.9325,0.479,3.3446,1.8246,1.9173,1.1115,1.6992,1 
0.9084,-0.6456,0.6764,3.678,2.2992,2.1095,3.0441,1 
0.1497,-0.2525,2.847,2.5058,2.3926,2.1418,0.8568,1 
0.6398,-0.5914,1.5358,1.2021,3.3108,3.1748,1.9495,1 
0.719,-0.5964,2.2562,2.7743,1.3414,2.4218,1.529,1 
2.158,-0.0116,0.8381,3.2208,2.1428,2.2372,2.3701,1 
2.0592,0.72,1.1332,1.6533,1.3658,3.3313,1.2325,1 
0.9032,1.9542,0.5858,1.6198,2.1573,2.5285,2.6296,1 
-1.3909,0.5862,3.4358,2.9989,2.6584,3.1096,4.4793,1 
-0.1279,-0.0849,2.9098,0.8111,1.5263,3.1423,2.0084,1 
1.1653,-1.1031,0.8087,0.3814,2.267,-0.1708,0.9851,1 
0.0563,0.2658,2.3447,1.7824,3.8346,3.3496,2.2679,1 
1.7794,-0.0214,1.2458,3.0361,2.4053,2.4119,0.7751,1 
2.0548,0.3654,2.5675,2.665,0.489,-0.3942,1.5017,1 
-0.6683,1.1698,0.8712,2.3215,3.8021,1.2302,2.009,1 
0.6038,0.2821,2.8449,2.92,1.1383,2.7864,1.8212,1 
0.002,-0.5534,2.7324,0.4661,2.087,3.335,3.4313,1 
-0.0543,0.238,1.4085,1.5668,2.5118,1.8208,1.067,1 
0.2211,0.1682,1.5779,1.1956,2.02,1.0595,1.9444,1 
-1.7609,-1.0314,1.4544,2.6888,0.8416,2.1467,1.6922,1 
-0.8667,1.2744,0.3246,1.2804,2.1994,4.0717,0.7123,1 
0.5977,-0.1741,2.4993,0.5698,2.8022,3.495,2.3286,1 
1.9787,-0.2811,1.3981,2.21,2.1669,1.6781,1.3486,1 
-1.1869,0.5175,2.847,1.9418,2.1785,3.0306,1.2357,1 
-0.7984,0.4583,3.505,2.3428,3.3941,1.1297,1.2262,1 
1.5143,0.2161,2.5089,1.8386,1.4211,1.8908,2.0512,1 
-0.5828,-0.0421,2.422,0.9767,0.0622,3.0988,1.5492,1 
1.5029,-2.2699,2.4128,2.2103,2.1918,1.1769,1.0685,1 
-0.0549,-1.0475,1.1992,2.3741,1.5092,2.4205,2.9138,1 
-0.6652,0.0716,0.8129,3.0631,2.8719,0.5952,2.4765,1 
0.2208,-0.6202,2.7265,3.2163,0.6709,1.5896,1.2057,1 
1.4684,-0.2644,2.2862,2.0281,1.6968,2.2248,1.7755,1 
0.738,0.361,1.6544,1.4898,3.2634,1.7276,0.4526,1 
0.0167,-0.2808,0.8933,2.6029,2.2437,3.2228,2.0443,1 
0.1597,-0.1314,1.2934,2.316,0.7833,2.2528,0.945,1 
-1.2264,1.8359,0.0442,3.5725,2.1023,2.4637,3.1284,1 
-0.0544,-0.9659,3.3778,2.8787,2.7603,2.3786,3.8386,1 
-0.4807,0.1626,2.7245,1.1154,0.2912,3.0479,1.7857,1 
1.718,-0.3303,1.7999,2.7074,1.7761,0.6804,1.9205,1 
1.5419,0.6234,0.3567,3.5509,1.5514,0.6768,2.9309,1 
-1.2845,-0.1316,0.7439,1.3269,0.4819,0.2206,1.2965,1 
1.7558,-1.2048,2.4798,2.0516,2.6078,1.35,1.5687,1 
0.6214,-1.6899,-0.2321,2.7043,0.4763,1.0268,2.3888,1 
1.0035,3.3652,2.4355,3.0288,1.581,1.4546,0.9886,1 
-0.655,0.7675,3.8357,0.5134,2.014,2.0737,0.2753,1 
-0.0535,0.5551,0.9446,1.7012,3.1351,2.2936,2.8256,1 
0.2281,1.2445,1.264,0.5378,2.4548,2.3407,1.3434,1 
-1.1385,0.0912,1.03,2.4408,1.6772,1.7229,3.5656,1 
-0.3717,-1.7121,1.4162,3.1431,1.8311,1.6785,2.8391,1 
-1.0677,1.5783,4.8259,1.4043,2.8616,0.7424,2.2724,1 
0.2884,0.0231,2.4229,3.1843,3.0686,0.6707,-0.228,1 
-1.3893,-0.687,3.5146,1.8319,1.4271,-0.1559,-0.7847,1 
-1.0745,2.395,2.1952,1.834,3.1523,1.273,2.463,1 
1.2989,-0.2903,1.7435,1.3969,0.8976,2.2536,2.2488,1 
2.896,-0.3361,-0.5494,1.7953,1.4006,2.3618,2.5168,1 
