Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
* 
0.2244,0.6615,1.4202,2.4078,2.4665,0.0253,2.2755,1 
-1.5758,1.5684,1.2752,2.3059,3.1639,0.9509,1.0234,1 
-0.6391,1.6974,0.7139,1.8108,1.9261,1.8395,1.8912,1 
-0.697,-1.0058,1.6075,-0.1378,3.7609,1.2258,1.4698,1 
-0.7935,0.2919,0.778,0.431,2.4,1.9544,1.0841,1 
1.119,0.1974,2.2751,1.1209,0.9018,1.7832,0.9679,1 
-0.1684,0.5569,2.8128,1.8729,1.8477,2.071,2.02,1 
-1.1203,-1.7272,2.8888,1.5622,1.3584,2.4275,2.8305,1 
1.086,-0.1376,0.593,3.1593,1.0086,2.1074,1.4552,1 
0.6179,2.908,3.6692,2.4939,1.7278,2.5976,1.8941,1 
-0.0958,1.4868,1.6502,3.1948,2.1907,1.9059,1.8624,1 
0.182,0.1638,1.1036,2.6049,3.473,2.9558,2.1506,1 
1.0618,-0.7346,1.3074,1.0629,1.0719,1.1639,2.0302,1 
-0.1344,-0.4147,2.6229,1.7885,3.056,3.5904,1.4798,1 
1.8915,-0.2172,1.9135,2.7791,0.3865,0.7597,1.8688,1 
-0.0827,-1.7476,2.5605,1.4754,2.2868,1.4776,3.2507,1 
-0.8287,-0.8827,0.0637,1.9843,2.7627,3.5069,1.9705,1 
0.4871,-0.8484,2.6838,2.7016,2.2432,0.959,0.868,1 
0.7976,-1.7885,3.5217,0.4244,2.704,-0.0538,2.309,1 
1.1568,0.9578,3.8227,3.8479,1.6483,0.4663,1.7356,1 
-1.5627,0.379,0.8202,1.3138,0.8939,1.7054,1.9744,1 
0.2806,1.5555,2.2175,2.1623,2.2982,3.9021,3.8378,1 
-0.1966,0.3069,1.8589,2.2271,2.1324,3.0284,2.1142,1 
2.0957,1.1816,1.8795,1.3206,2.6309,4.6184,1.5324,1 
0.6146,1.659,2.8273,2.0719,1.9888,1.5936,0.3977,1 
0.1358,-0.5302,2.2861,2.3042,0.5035,1.4316,2.6571,1 
0.7342,-1.2821,2.4696,2.5033,0.8959,2.0608,1.6466,1 
-1.0493,-0.7002,2.7029,1.6149,0.453,2.7439,2.1155,1 
-1.3984,-1.6036,1.6864,1.4347,1.6246,2.3354,2.0812,1 
-1.3048,0.1808,2.4717,3.479,1.7935,3.3049,1.2373,1 
-1.7499,0.7211,0.876,2.8487,1.0242,2.595,2.6038,1 
0.2261,-0.4068,0.6106,2.3917,1.4945,1.6973,2.7066,1 
-2.077,-0.4907,2.4579,2.4133,0.5394,2.879,1.8128,1 
2.0623,0.7521,2.9291,2.6276,0.2251,2.3205,2.0698,1 
-1.9207,-0.8509,1.5394,1.4044,1.0848,1.4449,0.712,1 
1.7462,-0.8336,1.217,1.6123,1.4592,0.1495,1.674,1 
-1.8985,-0.1619,1.3834,2.4438,2.1486,3.2043,1.2591,1 
-0.5185,1.9356,4.1648,2.2723,1.9583,1.3961,1.0569,1 
-0.8364,-0.8,1.4784,1.5626,1.6496,2.573,1.2366,1 
-1.4136,0.4019,1.7452,2.3482,0.8444,0.4701,0.982,1 
0.4444,-0.8471,1.597,2.6998,1.1832,1.4313,2.2875,1 
1.0429,-0.5166,2.1684,4.1313,0.8314,2.0446,3.3148,1 
-0.271,-0.4339,1.2737,2.3025,3.2704,2.307,3.7558,1 
0.4343,0.9892,3.9497,0.0399,0.7704,1.0411,0.9505,1 
1.9797,0.0246,3.026,2.2245,2.0461,-0.3834,0.9082,1 
-0.976,-1.9468,4.4731,1.4857,0.8217,2.4237,2.0496,1 
-0.9435,-0.4819,3.1086,2.5958,2.1153,2.3315,2.169,1 
-2.15,0.9526,1.4315,2.232,1.6291,2.3571,0.3958,1 
0.894,0.7503,0.5211,2.3911,1.6031,1.8698,0.9467,1 
-0.0479,-1.0492,1.7713,2.1017,2.3246,1.7314,0.9227,1 
-0.5231,-0.3299,-0.1322,4.0349,2.363,2.7092,3.9172,1 
-1.119,0.8333,3.7363,3.6153,1.6114,2.6108,0.9451,1 
-0.6961,-0.7885,2.0185,2.2296,2.94,3.0264,2.1632,1 
1.518,-0.4199,1.8585,0.4556,1.7343,3.5992,1.1537,1 
0.3411,0.7091,1.4703,1.6025,1.1247,2.4898,2.6242,1 
1.0892,-0.4273,1.4904,0.8344,2.9518,3.1851,1.9502,1 
0.8951,0.6283,2.9635,2.7281,0.9267,1.1165,3.0474,1 
-0.2705,-1.2532,1.465,3.9673,1.2077,1.8455,1.9424,1 
0.9165,-0.0508,0.8344,2.4166,2.5802,1.0218,1.285,1 
-1.1058,-0.2716,0.3355,1.9712,2.1896,3.8879,2.2764,1 
-0.0047,-0.3255,2.2875,1.7665,3.3974,3.5799,2.4982,1 
-0.3281,2.5099,2.6915,0.5759,0.908,3.6166,3.0648,1 
-1.3498,-0.1443,1.2871,2.5026,1.5783,1.2455,4.6349,1 
1.7104,-2.1917,2.3542,2.1903,2.6869,2.2773,2.0848,1 
0.5671,-1.2319,0.4826,-0.4548,0.3702,0.566,1.1503,1 
0.9688,-0.4406,1.4998,1.892,2.4925,4.2399,3.0505,1 
1.1172,-1.8782,1.9485,1.7722,2.6848,3.3456,1.0818,1 
-0.9926,-1.8253,1.0109,2.479,1.8666,2.3093,1.3547,1 
0.5856,-0.067,2.4717,3.525,2.0313,1.0682,1.5586,1 
