Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
* 
0.8407,-1.3571,3.2869,2.5735,2.5795,1.9724,1.6184,1 
-0.3088,1.3878,3.7165,3.0544,1.4367,2.4462,3.9994,1 
0.239,1.0094,1.7786,1.3987,1.3578,1.9163,1.8991,1 
0.0372,1.1516,1.5896,1.7017,2.6978,1.387,1.6031,1 
-0.8541,0.611,2.2326,2.8164,1.9879,1.8326,2.5815,1 
-1.615,-0.3833,3.2354,1.5595,1.6895,3.2206,1.1047,1 
0.8376,-0.5643,2.6013,2.0767,0.9809,0.7377,1.0401,1 
-1.3052,-0.0533,2.5262,0.5965,2.4241,1.3048,2.8912,1 
-1.1386,-0.7864,0.6719,1.5043,1.6872,2.8307,3.3745,1 
-0.2456,0.5093,2.2804,2.8051,2.432,2.6435,3.39,1 
0.6055,0.7295,0.1889,3.8543,1.5871,0.9829,2.2931,1 
-0.4201,-1.0592,0.9608,1.5799,0.7984,1.4446,3.0885,1 
1.2647,0.0894,1.8772,1.9857,3.7342,2.2112,3.7088,1 
-0.4157,0.4021,2.0223,2.814,1.256,-0.0805,1.0377,1 
0.3905,-1.1623,2.1499,0.2707,2.1544,1.4896,4.6533,1 
1.8309,1.0854,0.7368,0.9435,1.0352,2.2845,2.7982,1 
-2.0226,0.5579,1.048,1.9018,3.3047,1.4485,1.4666,1 
0.7279,0.7842,3.1348,2.3207,3.2665,2.7842,4.2324,1 
-0.5619,0.2488,2.4946,1.3292,2.1372,2.7186,0.6804,1 
-0.5909,-0.6484,0.2318,1.2625,2.1691,1.2459,3.1096,1 
-0.4288,0.4371,1.5764,2.8551,1.9772,0.3744,0.8304,1 
-1.0907,0.2673,2.7228,3.1273,2.3635,3.4903,1.8966,1 
-1.2542,-1.2386,1.5648,0.5175,3.8233,1.3845,3.8041,1 
-0.0225,-0.0342,1.1802,1.9637,0.1501,2.4484,0.2977,1 
0.1387,1.4741,2.9256,3.0331,3.0235,2.436,2.3557,1 
-0.1757,-0.0397,2.5337,2.0141,3.5307,2.6752,1.6898,1 
-0.1814,-0.3254,1.8895,4.4908,1.8366,2.473,2.5721,1 
0.1541,-0.2883,2.4888,1.4154,3.2044,0.5204,0.7176,1 
-0.5295,-0.2005,2.8563,2.3357,0.3606,1.356,0.8328,1 
0.3887,-1.316,3.4642,2.8097,1.9451,0.4904,3.1474,1 
-0.0877,1.1462,1.5612,1.8376,1.9219,1.013,-0.38,1 
0.6727,1.0557,2.9938,0.4422,1.9638,1.6644,2.4722,1 
0.58,-0.8762,2.1629,0.8947,2.1305,0.7477,1.2795,1 
-1.0415,0.9618,3.148,1.1352,2.2642,3.5686,2.198,1 
0.0337,0.4666,0.1322,0.6545,2.7813,1.7885,-0.3807,1 
1.3319,1.1325,1.7203,4.5353,0.8739,2.1843,3.9467,1 
-1.0422,-0.9027,-0.6919,1.5903,1.0729,0.8972,1.2589,1 
-0.2094,0.246,2.4862,-0.7255,2.2809,1.5651,2.1907,1 
2.2136,-0.0788,0.6532,3.7712,1.9953,4.8248,0.9597,1 
-0.071,-0.8254,1.3991,0.6099,0.8942,1.3589,-0.4206,1 
-0.8512,0.5788,2.3609,4.1747,1.3946,0.8863,3.2818,1 
-0.9913,-0.1201,3.3979,2.5113,4.428,1.2347,1.6031,1 
0.2712,-1.6397,0.2329,2.2019,1.8912,-0.6283,-0.0048,1 
-0.1162,-1.8256,0.5964,1.3511,3.1813,3.6794,1.5245,1 
-0.3048,1.0987,3.5638,1.2524,3.4408,2.8326,1.6708,1 
-0.0307,0.7266,1.9644,1.7215,1.3941,2.8264,2.9361,1 
-1.2916,-0.5937,3.5775,1.4539,1.3403,0.7978,3.9066,1 
1.1027,1.5189,1.8324,-0.0407,2.2302,0.8658,0.3336,1 
-1.1946,1.1359,2.0784,1.7018,1.7754,1.7494,2.013,1 
-1.2742,-0.2271,2.6836,1.2575,1.1596,3.8242,3.1225,1 
-0.9893,-0.4098,1.9141,2.356,3.4782,0.6747,1.0332,1 
0.076,-0.2053,1.3059,1.7807,1.5992,4.0608,2.869,1 
1.0116,0.2304,1.4191,2.6692,3.1921,2.7151,1.1617,1 
1.273,-1.6227,4.9475,1.0694,3.1486,2.4861,4.0625,1 
2.341,0.2846,0.9729,3.8325,2.0805,1.0743,2.8938,1 
-0.8947,-1.4541,2.2669,-0.8789,1.2547,1.4512,1.852,1 
-0.7295,0.1111,1.6686,2.009,3.3464,2.5889,0.8094,1 
1.124,-0.5258,1.6367,1.3329,2.2835,0.8331,2.0947,1 
-1.0123,-1.0605,1.1679,1.7035,2.1584,1.4129,1.1448,1 
1.8735,-1.0248,4.0205,1.5814,1.7999,4.0018,2.6447,1 
0.1979,0.6611,2.6406,1.5206,3.8401,0.3803,2.653,1 
0.3992,0.1277,1.9531,1.1068,0.1832,1.1695,2.4055,1 
0.6043,-1.8528,2.0906,0.8567,1.852,2.4454,2.4189,1 
1.1425,-0.0213,2.9812,1.2213,2.3977,1.5529,2.099,1 
-0.3036,-0.9776,2.0927,-0.361,1.7545,2.098,1.1363,1 
0.0976,0.0257,0.8374,2.5496,-0.4065,0.6161,4.2336,1 
1.4264,0.7512,3.0715,1.6593,2.5709,0.6902,2.099,1 
0.7824,1.0284,3.7413,2.0517,2.4705,0.6345,0.9154,1 
-1.4182,2.9725,1.6737,3.0779,0.0516,3.091,3.6096,1 
1.8273,-0.5285,0.6639,1.7154,3.0833,2.1887,2.2745,1 
0.1034,0.6674,3.3177,1.681,3.1768,2.7421,3.0009,1 
0.6093,1.1345,0.7103,3.8084,1.7474,2.2152,1.0627,1 
-0.684,-1.5016,1.7003,0.8298,1.8389,3.4108,0.8444,1 
