Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
* 
5.0848,0.8285,3.2173,1.5783,2.3838,1.6015,2.6862,1 
7.0225,0.2491,3.1239,2.515,2.2385,1.8897,2.8477,1 
5.2652,1.2772,2.9582,2.1406,2.3431,1.2112,0.8081,1 
6.1091,1.3876,1.2542,1.732,1.925,1.7266,1.0179,1 
4.4593,0.3453,1.6607,2.4048,1.0873,1.8301,2.0431,1 
5.0346,0.3553,3.0576,3.1188,0.0421,0.9073,1.8155,1 
3.3846,-0.4668,3.0725,1.2765,2.2801,3.4558,2.7293,1 
5.7248,-0.0131,2.8631,-0.3568,1.1507,2.1938,2.4812,1 
4.7597,-0.6593,0.6605,1.6455,4.1617,1.1816,0.6386,1 
4.7027,0.0534,0.5804,4.9595,2.6709,1.7016,3.0131,1 
4.706,-0.3477,1.7847,2.5074,2.3345,2.4611,1.7999,1 
4.0806,0.0875,1.5838,3.8248,3.7045,1.607,2.3005,1 
5.9017,-0.0783,2.7965,2.4237,1.7579,1.2688,1.3076,1 
4.0839,0.3743,0.9584,1.4715,1.912,2.0731,3.7455,1 
7.4979,1.1016,2.3892,1.089,2.7015,2.7887,3.5564,1 
4.5357,-0.6598,2.8431,-0.1737,-0.1028,2.3682,3.5046,1 
5.2528,0.9461,1.5878,1.0729,3.2098,3.8487,4.7204,1 
4.6606,-2.2996,1.3036,1.6247,1.7584,1.5898,0.8556,1 
4.7593,1.284,2.6603,1.9525,1.7412,1.4668,0.8209,1 
4.7982,0.8623,1.7873,1.2541,1.0203,1.7244,1.0813,1 
3.8975,0.1551,1.3154,3.0552,2.5303,2.6536,1.2841,1 
5.112,-0.3726,0.3098,2.428,2.1648,1.4538,2.696,1 
5.2767,-0.3831,0.725,1.3373,2.1489,2.4422,0.4705,1 
4.7326,-1.6789,1.3237,3.225,2.1986,1.5339,2.5578,1 
4.6139,0.3984,1.5502,1.3832,2.194,2.6708,2.2044,1 
4.8314,0.8617,1.9383,1.3211,3.4862,0.4241,1.6312,1 
5.7286,1.5322,2.1397,0.7307,2.3342,1.8639,1.2707,1 
5.0445,0.0535,0.9452,1.7127,2.315,2.1416,2.3272,1 
4.8988,-0.1278,1.3092,1.2212,2.0994,0.7354,3.6668,1 
5.3479,1.2391,2.6462,3.3839,2.6837,1.1856,2.8262,1 
5.8749,-0.6363,0.3555,1.4595,2.7747,2.6219,-0.0653,1 
5.0003,1.1569,2.6962,2.127,2.0607,2.0397,0.6991,1 
5.2165,0.3972,4.6486,1.0261,1.9489,3.1041,3.3408,1 
5.4556,-1.2767,1.5817,1.839,2.0817,2.5999,2.5298,1 
6.5596,0.252,2.7841,2.0745,1.4701,2.0801,3.1208,1 
6.4935,-0.1392,1.3666,0.8365,0.2438,2.0421,0.9,1 
6.6234,-0.6038,2.4433,2.8974,0.898,1.4297,2.2785,1 
4.5054,-0.726,-0.038,1.7817,2.5374,0.7621,2.1908,1 
5.1177,0.5962,2.1415,1.436,1.5098,1.9762,1.5542,1 
5.6035,-1.4631,2.2334,0.7396,-0.0785,1.546,1.7156,1 
4.2063,0.8844,4.3259,3.113,1.6558,1.3369,1.0818,1 
3.4197,1.1387,3.6836,0.8987,2.5325,2.7078,0.4982,1 
5.2513,0.8826,2.7586,0.9045,2.6362,1.9913,3.1919,1 
5.9226,-1.1801,1.4141,1.214,0.778,0.5708,1.7482,1 
2.825,0.9287,2.0864,1.3958,0.6902,1.6749,2.5459,1 
4.9782,-0.0641,3.0346,2.3931,2.5243,0.9756,3.4749,1 
5.7762,-1.2695,2.8315,2.2273,1.7432,3.6908,2.1221,1 
5.9512,0.968,1.5089,2.6959,2.156,1.2665,4.2895,1 
5.5691,-0.8244,3.1201,1.4914,2.0528,2.4955,2.6634,1 
3.7702,-1.022,2.7663,2.4243,1.007,2.7369,2.0725,1 
5.7972,0.0996,2.0094,2.4645,2.4613,2.7301,0.5896,1 
6.0535,0.3376,-0.7606,3.2346,1.2991,2.1133,3.2577,1 
3.1168,-0.8216,1.7983,2.3418,1.3804,2.269,1.7048,1 
5.538,0.1128,3.0014,1.5595,1.9402,3.4759,1.2983,1 
3.8479,-0.0944,3.0732,0.8462,2.4793,1.2071,1.9758,1 
6.7521,-2.1149,0.3464,1.3984,5.0855,2.0221,1.6939,1 
3.1048,-0.7264,3.2555,3.5841,3.5813,2.4984,3.3094,1 
6.3016,-0.5435,0.9569,1.1896,1.6733,2.208,1.2115,1 
3.0934,-1.4864,1.0895,2.0751,1.6402,0.8849,2.3843,1 
5.8262,-0.5555,1.2738,1.9443,1.1088,0.4129,1.1331,1 
6.1691,0.4037,2.629,1.7799,1.0471,1.0805,4.8815,1 
4.7959,0.4096,3.0104,1.142,2.3134,1.8193,0.5006,1 
4.6996,0.8232,3.2288,2.1027,0.2825,1.1881,2.7723,1 
