Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
* 
4.3965,9.9619,0.9465,1.1187,2.6881,1.7159,0.4757,1 
2.6969,9.9685,2.2073,1.1227,2.9525,1.1038,2.3915,1 
1.0141,11.3492,2.9323,3.2722,1.8871,5.1145,1.8518,1 
3.4458,10.6849,0.6174,0.3374,2.9557,2.1591,3.2971,1 
3.4042,10.7598,2.8872,2.392,2.2339,2.3107,1.4443,1 
3.5479,8.3327,2.7299,2.5924,2.1325,2.8978,0.3715,1 
2.2868,10.5829,0.23,1.4988,0.3784,2.6533,3.2292,1 
2.3078,10.4631,2.8823,2.9034,2.1434,1.6999,0.248,1 
0.8262,8.5822,2.7779,2.2219,3.0824,1.6079,3.1373,1 
1.333,10.9237,2.1054,2.3515,2.0952,0.7888,2.762,1 
2.6244,10.486,1.3823,1.6595,0.5012,2.1706,1.8493,1 
1.8252,11.0572,2.5122,1.6878,0.1228,2.5708,3.6413,1 
1.9185,9.7396,1.4013,0.9486,1.2836,2.5183,1.5712,1 
2.0803,9.1373,2.1107,2.3543,2.1421,2.777,1.4088,1 
3.3776,9.6376,2.1747,3.4964,2.173,2.2126,2.7827,1 
0.5698,10.3408,1.2417,2.2061,2.0765,1.119,2.9482,1 
-0.2368,9.2291,3.4351,2.115,2.2993,2.3389,1.346,1 
0.1751,10.6064,2.1344,2.3708,2.9491,0.8452,3.533,1 
2.8582,9.9178,1.2181,1.4596,1.7064,1.6096,2.0466,1 
1.5995,10.0477,0.2039,3.3813,3.4052,1.1703,2.7269,1 
2.4436,10.4115,2.6148,2.2258,-0.1156,3.5148,0.7541,1 
0.7155,10.0807,2.2634,1.9458,0.6179,1.3811,0.912,1 
1.7405,12.1795,2.587,2.9452,2.1058,1.5088,1.866,1 
0.7316,8.7629,1.3202,3.0768,1.7529,0.6697,-0.4441,1 
1.7452,11.6305,1.6622,1.9942,2.4479,2.2521,1.5621,1 
3.0019,10.8174,2.5437,2.4378,2.3208,1.3569,2.7961,1 
0.2654,9.8652,0.8767,2.7543,1.0739,3.2903,2.5511,1 
0.5149,10.3503,2.4851,2.8961,1.4162,3.4257,1.6605,1 
3.0464,10.257,2.9218,1.3861,3.1916,1.9865,1.0424,1 
2.4334,9.4073,2.2098,2.2538,2.4614,2.6253,0.1588,1 
3.484,9.3323,1.1553,2.5181,0.705,2.3905,4.3219,1 
4.3765,10.6085,0.352,2.8134,0.4246,2.778,1.8607,1 
0.8108,10.2741,2.5975,3.4353,3.5782,2.7103,2.466,1 
1.1248,8.2706,1.3604,2.3231,2.0298,2.8784,3.0869,1 
1.76,11.7689,2.3217,2.261,1.8321,1.979,2.6785,1 
0.4933,10.4001,1.7408,3.0463,2.4141,1.3034,1.2589,1 
1.0011,11.5083,1.7388,2.6895,2.5883,0.7973,2.274,1 
1.5884,11.1073,0.1849,2.2588,1.4741,1.342,2.7997,1 
2.6122,11.3977,0.075,1.2318,2.1338,1.0285,1.8458,1 
2.0979,10.3592,2.6605,1.1687,2.3996,1.8633,-0.8301,1 
0.5126,11.4212,2.6205,1.8751,1.8131,1.3216,2.2815,1 
1.7869,10.5808,0.8229,1.8511,1.7371,1.5238,0.6798,1 
1.9322,8.8936,2.5781,1.6019,2.1563,2.8234,1.8097,1 
1.7979,9.4413,2.8823,2.4263,1.5946,3.0976,1.8655,1 
2.4517,10.3488,3.646,4.1799,0.7362,1.4035,2.8208,1 
2.1531,7.3377,1.706,3.3513,1.4736,2.4926,2.7379,1 
1.8721,12.6884,1.5554,0.0676,1.5863,2.0029,2.0568,1 
2.3747,9.8955,2.7897,0.8043,1.2757,1.9876,2.166,1 
1.5828,10.4772,0.9284,1.5883,0.9206,1.7229,1.0146,1 
0.7131,8.9805,0.93,2.4818,1.4874,0.2243,-0.184,1 
2.8835,9.3209,2.9524,1.9365,1.8958,1.8478,1.6598,1 
0.3849,10.9177,1.4369,1.8,1.5574,0.9666,1.991,1 
2.3903,10.5739,2.1616,2.9282,2.7665,2.0702,1.7048,1 
3.0299,11.8524,2.1596,3.9956,1.8952,1.642,1.2312,1 
2.2142,9.2676,3.9195,1.2656,3.0761,0.8835,1.2461,1 
1.1965,9.653,1.8497,1.9989,2.632,1.1503,2.4875,1 
1.0566,10.4776,1.2824,1.6992,0.6741,1.8758,3.8385,1 
1.8239,12.0397,2.6967,3.0953,1.8149,-0.0695,2.5223,1 
1.7452,8.7332,0.8687,1.8521,2.26,0.4243,1.0835,1 
3.5695,11.316,1.5707,1.8077,3.2787,3.165,1.8256,1 
4.3524,9.4069,0.1666,1.7913,1.8306,1.4714,1.9589,1 
0.7541,9.797,2.4065,1.8895,4.1099,1.6645,3.3816,1 
0.9954,9.9813,1.9321,3.4046,1.8791,2.9577,1.5735,1 
0.2747,9.9413,3.5821,2.1446,1.6818,2.5312,1.8146,1 
2.8824,9.814,2.3377,2.3061,2.0445,1.4369,0.2907,1 
3.9118,10.7566,3.4124,0.62,2.0948,1.4361,2.1243,1 
2.9069,9.7362,1.7623,2.2526,1.961,2.0132,0.0943,1 
2.0022,11.1642,-0.3403,0.6516,1.0236,1.9127,1.702,1 
3.2183,11.0442,3.2899,1.1873,1.4508,4.489,4.7976,1 
0.6747,9.3617,2.6337,1.8441,4.3721,0.1352,1.1851,1 
1.1753,8.988,0.818,3.3983,1.1144,1.1075,2.2175,1 
3.3427,10.7886,1.5226,2.0018,2.7692,1.7345,2.6485,1 
