Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Class
* 
1.1149,9.4711,1.9371,3.33,2.0457,2.0578,2.185,1 
2.8781,9.9017,3.7887,1.1217,2.3384,2.2639,1.1183,1 
1.3203,9.1305,1.5971,3.6888,0.1854,1.6628,2.4304,1 
2.5008,8.0775,1.4669,0.9047,1.9299,0.745,1.8766,1 
2.7589,9.0264,2.3242,3.0444,3.0401,1.9151,1.2883,1 
1.4898,9.8753,2.0782,3.1196,2.5939,0.0262,2.9588,1 
0.3318,9.2284,0.9528,0.4721,1.1181,1.5051,1.328,1 
2.5303,8.8771,1.035,2.1509,1.9922,0.5437,2.1062,1 
1.91,10.2234,2.377,2.6817,1.8146,3.4806,2.7494,1 
0.1343,10.8502,2.9662,3.361,4.0635,4.437,1.0516,1 
1.3191,10.8804,2.5394,2.3896,1.2254,-0.4115,1.2531,1 
0.7107,11.1253,1.8975,1.9223,1.9967,1.2818,2.2141,1 
2.9348,10.9231,3.6907,2.5219,3.3307,3.2091,0.9539,1 
1.4837,8.6817,3.1623,1.5276,2.0308,1.743,2.2894,1 
1.1885,8.4657,2.708,1.9442,2.3004,3.6019,0.7608,1 
2.2079,10.3926,1.1504,2.4039,2.2611,1.8762,3.0509,1 
3.8246,10.8871,2.0803,2.14,1.4085,1.9305,2.6031,1 
2.7225,9.7392,1.6771,0.112,2.8087,2.5456,3.4546,1 
1.4693,10.5707,1.9248,1.8948,2.1732,0.284,2.1167,1 
0.9678,9.875,3.0895,2.1303,2.3149,1.569,2.7014,1 
2.3699,10.7476,1.3782,2.653,2.5288,0.4804,0.4491,1 
1.6572,9.4206,1.8664,1.9894,1.9032,2.2165,0.5097,1 
1.2784,11.5279,2.5315,1.9759,0.4753,1.259,0.5686,1 
2.7276,9.8983,2.5705,-0.2646,1.0703,1.8215,1.9315,1 
1.3822,10.2043,2.471,2.621,1.9395,1.9474,0.4835,1 
2.2844,9.4301,2.8957,2.2102,0.3748,2.1711,2.1449,1 
2.5105,8.4583,2.7726,2.6392,2.9097,0.9225,0.9964,1 
2.649,8.618,2.6137,3.4501,2.1876,2.8284,1.164,1 
3.5252,10.2226,0.3438,1.961,1.5519,1.9872,2.6816,1 
1.9824,11.8693,1.7926,2.4888,3.1633,2.6194,1.8259,1 
