Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
* 
0.5849,-1.8477,1.2169,1.4048,3.3413,1.9406,2.5131,2.5816,0 
-0.8113,-1.4091,1.5018,1.0178,-0.5456,2.0606,1.8213,1.4286,0 
-1.173,0.3415,0.9893,2.9721,1.0958,0.9056,1.649,0.0647,0 
-0.0919,1.726,1.8877,2.3827,4.4198,1.6502,2.3962,1.7599,0 
0.248,-0.132,2.8759,0.0352,2.1882,1.3654,2.2942,0.7129,0 
2.0112,0.7199,1.8663,1.194,2.7661,1.7375,2.2954,3.3054,0 
-0.5331,1.5911,2.1913,2.3321,3.5509,2.1556,2.9229,1.9075,0 
-0.3029,-0.6114,1.7002,1.413,0.8705,1.7674,2.3459,1.6247,0 
-0.164,-0.8556,1.349,3.2933,1.8541,2.2001,1.6673,1.084,0 
-1.1908,-0.3455,1.1214,1.527,2.2407,1.0435,-0.7551,2.3754,0 
0.8102,-2.7838,2.4927,2.5798,3.7767,0.1796,0.7323,1.1479,0 
-1.4452,0.2297,2.0772,1.6225,2.6653,2.4864,3.8942,2.3181,0 
-0.3756,0.2165,3.2863,0.7416,2.7508,2.3914,2.0614,0.9057,0 
0.381,2.0128,1.8549,0.703,2.5657,1.7709,0.3549,2.3989,0 
0.9645,2.2671,1.8724,1.2806,1.6506,2.3136,2.3991,-0.0326,0 
1.3248,-0.6893,4.8137,1.5304,2.1498,-0.0306,1.5504,2.077,0 
-0.5362,-0.617,0.9892,1.8656,1.4719,1.6697,1.702,2.384,0 
-0.9918,0.2812,1.4407,1.2065,2.0265,0.8415,0.9737,1.9601,0 
-0.0623,1.3948,1.3135,3.5073,2.7401,3.1661,2.5484,1.5595,0 
-0.2157,0.3982,1.1045,1.7778,2.3187,1.64,2.6326,1.0112,0 
0.478,0.3696,2.363,0.6661,0.9221,3.0126,3.1537,1.6647,0 
0.2347,0.6263,2.5147,1.8791,0.8724,2.377,1.0441,2.6778,0 
1.3736,-0.8224,1.4401,1.8178,2.4081,1.3057,1.8119,1.4546,0 
0.5849,0.0396,0.8299,3.3181,0.6398,2.8908,1.7954,1.6976,0 
-1.1474,-0.8706,2.0077,3.0213,3.3741,1.518,1.9285,0.6447,0 
-0.6392,-0.5913,2.3654,2.3294,2.8937,2.1392,1.1984,2.3861,0 
1.6026,-0.8772,2.034,2.1608,1.1914,1.3481,1.966,1.7885,0 
1.7783,-0.0024,2.4665,3.6463,2.875,3.0198,2.6547,3.0714,0 
1.7936,0.3428,2.2166,0.4086,-0.1234,0.3518,2.227,1.3119,0 
0.9572,-0.2193,1.3725,1.2996,2.325,1.9464,1.7834,2.6303,0 
-1.328,-0.7252,1.8266,2.7869,4.6259,3.498,2.0462,3.0007,0 
-0.1142,-1.8187,-0.2811,1.8528,2.0703,0.5546,1.4361,2.3939,0 
0.2303,-0.7541,2.9641,1.3672,0.7527,2.5773,2.375,0.8738,0 
-0.514,0.6001,2.795,2.2193,2.184,1.4899,1.3345,0.4329,0 
0.4039,-0.937,2.2981,1.9036,1.7938,1.1819,3.8175,0.7929,0 
-0.6342,0.0177,2.9893,1.2295,1.5008,2.3626,2.5183,4.5485,0 
0.5269,0.7158,3.8554,1.9588,2.4754,2.5787,1.8468,1.7879,0 
1.1559,-0.9682,1.6799,2.5097,2.416,2.0915,2.2389,2.1996,0 
1.9236,0.1193,1.2211,-0.0603,3.4087,3.1823,2.7769,2.9189,0 
0.38,-2.0889,0.6194,1.4693,2.6146,3.6581,1.3084,2.7957,0 
-0.5539,1.3971,3.9824,0.9082,2.1379,2.3311,2.8322,0.8256,0 
-0.7672,-1.3714,3.6778,1.9552,3.4725,1.7212,1.7172,1.5713,0 
-1.1148,0.1505,0.8915,2.0404,2.7612,1.9403,1.2857,3.0117,0 
-0.3929,0.7568,3.1987,3.5767,2.8668,2.4218,2.8153,2.3788,0 
0.2348,-0.809,1.6353,1.9562,2.5676,3.2954,2.4208,2.1926,0 
0.4124,1.3348,1.3094,1.4957,2.5348,1.9901,1.6849,2.0266,0 
-0.0425,3.3955,2.1849,1.6997,1.1963,2.1668,1.1781,1.6805,0 
-1.6558,-0.1914,2.4516,1.3566,-0.0378,3.703,3.4413,3.855,0 
0.6293,0.3901,2.7102,2.593,0.8148,0.9692,1.695,0.4931,0 
-0.312,0.8514,1.5814,2.6173,3.1081,0.4094,1.65,1.7803,0 
-1.3968,-0.4558,2.8147,0.8114,-0.025,1.9905,3.8497,0.1591,0 
-0.6334,-0.0505,0.8368,0.5754,1.8767,3.001,2.7356,2.1429,0 
0.2517,-1.1138,2.9476,1.0127,2.8662,2.8109,0.9289,1.8977,0 
0.0889,0.4141,1.0442,1.7775,1.6122,2.0463,1.3807,1.786,0 
0.7299,-1.2193,2.1055,2.8542,0.7244,0.5963,2.2211,1.7267,0 
0.5056,-1.2367,1.0148,-0.0912,2.7697,-0.3736,2.9701,1.665,0 
0.6052,0.4821,2.1297,3.5318,2.0625,2.8231,0.1589,1.9375,0 
-1.9955,-0.4382,3.055,0.9538,-1.746,2.1142,3.0184,0.6742,0 
-0.1767,-0.3268,2.4306,2.1312,1.8342,0.6059,2.2505,1.4909,0 
-0.6724,-2.0323,2.6053,1.8027,1.143,4.2166,1.5918,1.6671,0 
2.2742,-1.1674,1.1057,1.5446,1.1958,2.2892,2.3798,1.7999,0 
1.4511,-0.8059,2.776,1.4645,0.6755,1.1184,2.4439,1.9807,0 
0.4729,-1.0271,1.1749,4.2839,1.7959,0.8553,3.0169,2.6757,0 
0.0838,1.524,1.4648,2.1024,2.1383,2.8943,1.1283,2.349,0 
0.5875,0.7764,1.0366,1.1492,2.4262,2.8119,2.6664,2.9551,0 
0.0086,-1.2337,1.7116,0.8806,4.9446,1.5638,2.6204,1.5865,0 
