Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
* 
-1.3186,-1.6023,1.6332,1.2982,0.7735,2.2159,2.6096,0.8314,1 
1.2657,0.1952,4.1188,1.0828,1.4653,0.236,1.6841,2.0344,1 
1.7111,-0.7515,1.1372,2.1943,1.5275,2.6254,1.4843,3.5953,1 
0.7317,0.6074,1.5183,2.3783,3.4393,2.0679,2.2021,1.4816,1 
0.4348,0.8036,1.7887,2.9993,0.3714,2.6201,1.1876,2.305,1 
-0.1064,0.143,3.2853,0.2719,2.0424,2.0883,1.8485,0.7927,1 
-0.5874,-0.7724,2.4013,2.5339,2.5061,1.1917,1.6897,0.8798,1 
0.5295,-1.3189,2.889,1.9132,0.8611,2.7165,1.4865,1.9398,1 
0.7492,1.1976,1.855,2.146,1.8931,2.3608,3.8348,2.817,1 
-0.4473,0.4321,1.1447,1.5713,3.9687,2.6904,2.539,2.1465,1 
0.4474,-1.2435,2.7494,2.4425,4.1451,1.3511,1.2511,4.0802,1 
-0.1132,-0.5805,1.5902,1.6019,2.4069,2.7859,0.7262,0.8417,1 
1.4609,1.2465,2.5943,1.281,0.7232,0.9105,2.8723,3.1283,1 
-0.0685,0.7344,1.0859,0.6986,1.1074,3.2338,1.7911,3.2253,1 
1.0856,-1.3906,2.6051,0.463,1.0093,3.1372,3.0129,0.5965,1 
1.2181,0.5425,2.8431,2.181,2.1255,2.169,-0.5113,2.2327,1 
0.9424,-0.3995,2.1585,2.7065,1.6635,0.594,1.3359,2.0819,1 
-1.7646,1.8407,1.2999,0.7606,0.9916,0.7595,2.3764,2.1174,1 
0.3676,-0.4047,1.6381,1.0995,0.728,-0.2439,2.9038,1.2632,1 
0.4057,0.6079,1.1621,0.7418,0.1277,2.451,-0.3431,2.2014,1 
0.6573,0.417,0.8672,2.6232,2.6051,1.8629,1.0325,1.1832,1 
1.2876,1.3125,0.4225,2.5973,1.5216,2.7767,2.1814,1.4803,1 
2.2739,0.8385,1.7806,3.0565,1.4875,1.2485,1.581,1.0141,1 
0.0478,-0.6059,0.0703,2.4653,2.5616,1.6284,0.8856,0.8806,1 
0.6284,-0.7236,2.5889,1.8414,2.3946,1.4132,3.6972,2.9528,1 
0.0319,-1.1633,2.984,1.4214,1.8367,2.9601,1.3548,1.9664,1 
0.6324,0.7223,0.9051,0.8827,3.3982,2.1471,2.4518,1.9144,1 
-1.2857,0.8775,2.8836,1.9504,-0.1576,0.4036,3.7336,2.393,1 
1.2183,0.6442,0.2465,2.6368,1.9675,1.4114,1.2949,0.693,1 
-0.7155,-0.6401,1.8362,0.61,2.0341,3.5984,3.4211,3.194,1 
0.3056,-0.7873,3.1033,1.1284,0.9271,2.7993,1.8006,1.0574,1 
0.2351,-0.6772,1.5195,1.4509,2.2949,1.7038,3.5347,3.0425,1 
-0.1528,-1.7148,2.3127,2.0046,2.8782,1.1436,1.6229,4.1349,1 
0.0612,1.1527,1.6636,1.879,1.2632,0.2256,1.6122,2.0204,1 
-0.1107,-0.2213,1.3658,1.2485,1.833,3.0769,2.1454,1.7506,1 
0.4876,0.2251,1.4842,2.5333,1.953,1.485,2.1496,4.5181,1 
-0.8721,0.6269,0.9785,3.0653,4.6801,2.7054,2.3636,1.3036,1 
0.6022,-1.3399,0.9594,1.3538,1.7596,2.128,3.7379,1.4416,1 
0.4206,1.1224,3.0923,2.8158,2.283,1.1874,1.8428,0.8566,1 
1.3325,-1.4502,1.6331,2.7087,2.4544,0.9998,1.4842,1.8327,1 
-0.4773,-0.7844,2.5631,2.6857,3.9559,2.2408,3.6263,1.9642,1 
0.5034,0.5226,2.747,1.6819,2.3112,1.7711,0.4149,1.729,1 
-0.9052,0.6244,3.7687,-0.3394,3.0626,5.1275,1.0611,3.1474,1 
0.0189,-0.2732,1.1568,1.7853,0.964,2.6179,2.7511,3.8608,1 
0.1823,0.9795,2.4698,0.3238,2.4446,1.4088,2.796,-0.4276,1 
-0.6292,-0.8513,1.201,1.5122,2.6047,1.915,3.7228,0.9484,1 
0.382,-1.1428,1.5113,2.3144,1.2515,3.1305,1.8279,1.6825,1 
-1.4185,1.0991,0.2957,2.0434,0.5761,1.8905,1.535,3.4701,1 
1.189,-0.3828,-0.153,4.0252,0.8089,2.6471,1.3937,2.2897,1 
0.2744,0.0237,1.0964,2.0549,2.3738,2.2805,2.2156,1.3878,1 
0.243,-0.6611,0.8193,2.0391,1.4325,1.921,2.1132,2.7777,1 
-2.0536,1.0869,2.3042,-0.7004,4.1704,1.3624,3.038,2.1487,1 
0.0889,1.4894,1.9946,1.149,2.7541,0.6397,3.2756,1.6248,1 
0.7308,-0.7782,0.3398,1.9906,3.6557,4.2599,0.7499,2.4476,1 
0.3532,-0.6245,1.0341,2.0657,1.6262,1.988,3.1605,1.6556,1 
0.1699,-0.719,1.0648,2.1975,2.7438,2.7718,1.5328,1.9382,1 
-1.1719,0.0439,3.2856,-0.3773,2.71,2.9439,2.4005,-0.0562,1 
1.9696,0.0396,2.8141,3.2646,0.7687,2.7948,1.0822,2.0812,1 
0.2118,-1.4337,3.3218,1.9612,1.5857,2.3187,2.1115,2.4583,1 
-0.5865,-0.9693,1.9508,3.1464,3.4649,1.23,2.2798,1.6648,1 
1.6721,0.4304,1.0688,2.3377,3.0046,1.1099,0.5468,2.3978,1 
-0.0921,-1.6032,1.7141,2.2284,0.6272,2.4194,2.7417,2.5847,1 
0.5163,-0.5211,2.9246,2.7501,3.492,2.3421,1.3708,0.5025,1 
0.4973,-2.2018,0.8546,0.9293,3.3662,3.3134,1.1567,1.0821,1 
0.8463,-0.6466,1.4204,1.567,1.4717,2.7476,3.1606,3.2592,1 
-0.5478,-0.2698,0.887,3.2728,1.4995,1.2273,2.7932,2.8698,1 
3.0869,-0.0017,1.7439,1.8397,3.0333,1.4158,2.096,2.0012,1 
0.444,-0.0352,1.7618,1.7426,3.0174,2.0296,2.3967,2.0883,1 
1.0918,0.8544,1.9766,2.0558,1.8159,1.3388,0.816,2.7996,1 
-0.6976,0.5321,1.3326,1.338,1.4813,0.4667,1.6329,1.3207,1 
0.6316,1.1006,2.0165,-0.0961,2.0533,0.4321,2.411,2.8873,1 
1.0799,2.194,0.993,1.9198,0.9527,-0.1929,1.8802,2.5562,1 
-1.6271,-1.461,0.4928,2.3644,2.6588,3.0815,3.3171,2.7539,1 
-0.1361,-0.6241,2.8945,0.3356,2.0082,0.9149,0.628,1.9399,1 
-0.5964,-0.2004,1.1646,2.1361,1.8883,1.5483,0.5757,4.06,1 
0.0634,0.6516,0.1747,-1.4289,2.0198,2.5461,2.5486,2.3945,1 
0.3796,0.8367,2.2193,3.0795,1.061,1.9097,3.0746,1.2492,1 
0.3821,-0.0275,2.4919,1.7471,1.9788,1.1342,1.0929,-0.4888,1 
-0.0563,-0.6281,1.4241,2.0242,2.9544,2.0215,1.801,1.9775,1 
1.455,-0.0772,2.329,0.7729,2.0323,2.2798,2.4068,1.7861,1 
1.3277,0.3686,2.1708,2.7853,0.6663,2.0152,0.7919,1.7974,1 
0.2008,-0.4181,0.9231,2.8557,1.2207,3.3283,2.8698,1.4833,1 
1.1371,-0.7483,1.8496,1.863,2.962,2.4996,2.1421,2.3716,1 
-0.2026,0.7479,1.8241,2.1672,2.3346,2.395,1.3242,1.7562,1 
0.8942,-1.5878,1.0126,0.009,1.02,2.3046,2.8572,2.9746,1 
-1.7976,0.0489,2.6367,1.9375,1.6662,2.0434,1.9942,0.6338,1 
-0.6449,0.6844,2.1373,1.2915,1.8354,1.0948,0.9733,2.2116,1 
-0.1768,-2.0446,1.0115,2.1102,2.5565,3.3796,1.4816,3.4537,1 
-0.8113,2.3039,2.7782,1.4855,2.3908,1.1014,2.1452,-0.1108,1 
-0.0411,1.2981,1.4976,2.1126,2.357,1.0153,3.1658,1.8944,1 
0.088,-0.1128,1.9786,3.8128,2.8725,1.8538,3.0763,3.1989,1 
0.7864,-2.2322,0.8632,3.2684,0.4135,1.4185,2.2133,1.3176,1 
-0.6932,0.5375,2.1348,0.5845,2.3392,2.4222,2.7371,0.889,1 
-1.3367,2.3206,1.2748,1.5778,2.5553,0.6892,3.6274,1.6863,1 
-1.0474,-1.5762,1.213,2.0622,1.4685,0.2933,4.0203,3.0065,1 
0.8598,0.2166,0.5798,0.54,3.464,1.5539,4.1435,2.809,1 
-1.6646,0.3956,1.2786,1.55,2.652,2.4214,3.0349,3.0135,1 
1.0225,-0.6484,3.8744,2.0204,2.7612,3.1569,2.0231,2.9384,1 
0.8759,0.6623,1.0065,3.2663,1.9843,1.9153,1.8654,2.8987,1 
-1.3863,0.2075,2.1362,0.7586,0.8542,2.2884,2.2542,1.2842,1 
-1.9796,-2.1764,3.2142,3.864,3.1183,0.9668,1.7162,3.6734,1 
-1.3428,0.0589,1.6937,0.0249,3.6871,0.7691,1.8015,2.0951,1 
-1.3773,-1.1511,1.9795,2.2932,4.0058,1.3871,2.2242,4.5007,1 
0.3816,0.5065,2.6191,2.034,3.4007,2.8745,1.7799,1.3814,1 
1.7015,0.9378,1.0264,1.7782,1.2818,2.6238,2.0313,3.3703,1 
0.3774,0.8055,2.6549,1.897,3.0645,2.5309,1.7063,0.6944,1 
1.251,0.6149,2.6277,4.8503,2.1617,-0.6255,2.3032,2.4732,1 
0.7776,-0.6631,2.0087,1.1605,2.156,2.2386,2.4693,0.9801,1 
-0.3295,0.1461,2.4483,1.142,0.7025,2.4699,3.0306,2.785,1 
1.0748,-0.6095,2.1878,2.2928,1.5505,1.6822,1.4743,0.8589,1 
0.7358,-0.0405,1.9936,1.4849,0.9769,2.2932,1.328,0.6901,1 
1.2988,-1.1935,5.3172,1.981,0.2557,1.7583,1.6161,0.8589,1 
-0.0588,1.2073,0.4782,1.435,1.5122,1.1798,3.0469,2.3554,1 
-0.5167,-1.1171,3.9795,1.3704,3.2215,2.0712,0.636,1.2499,1 
-0.3041,0.0941,1.938,1.7327,1.6583,3.0218,4.7579,1.4398,1 
0.1066,-0.8142,1.1492,2.9937,0.9305,2.6785,2.7771,1.2554,1 
-0.6582,-0.1409,2.0652,2.7694,3.4793,1.8716,2.1531,2.8705,1 
-0.2218,-0.3964,2.7825,2.3217,1.3034,1.5196,1.4016,3.8805,1 
0.7764,-0.0,2.622,1.0951,1.5614,-0.6861,1.7652,3.6359,1 
-0.119,0.9124,2.7027,3.121,3.6092,2.0681,0.2841,1.1561,1 
-1.8705,-1.4798,0.6747,2.2844,2.3539,2.5416,2.4103,1.2322,1 
-1.321,-0.7817,1.3818,2.4103,2.8002,0.936,3.2895,0.8901,1 
1.186,0.8795,1.1152,2.5776,1.8264,1.4857,1.7132,2.778,1 
-0.1386,-0.5448,3.6998,1.5013,2.8541,1.5237,2.5212,1.6648,1 
-0.9316,0.2349,0.9102,1.3772,0.8144,2.9135,0.6084,0.6976,1 
0.7429,1.3328,0.1062,1.1254,0.8494,2.3657,1.6121,0.711,1 
0.1525,-0.6712,-0.3264,3.9482,1.8195,1.815,1.0611,1.6001,1 
2.2106,2.7499,1.7546,1.6734,2.2748,2.1848,4.1715,2.0079,1 
0.7995,-1.7036,1.067,1.9835,1.8055,1.1123,1.5562,1.7266,1 
-0.6214,-0.1983,2.2911,1.8918,2.9203,2.1698,4.8554,3.2719,1 
-1.616,-0.7433,1.8136,1.1187,3.4744,0.6557,0.5199,2.0297,1 
0.6644,0.2485,1.9801,2.2694,1.7804,1.614,1.1279,1.0978,1 
0.6108,-0.6375,1.7005,3.8022,1.9805,2.8496,2.5409,2.2921,1 
0.5123,-0.886,0.4497,0.2152,2.4372,3.5455,2.035,1.8399,1 
-0.2865,0.8585,0.2335,2.6628,1.487,1.2895,1.9241,3.6616,1 
0.2612,1.686,1.1403,2.6904,0.9716,2.5342,1.7422,5.191,1 
0.395,-0.2401,3.1589,1.5677,1.1153,3.4932,3.5303,1.0192,1 
0.6115,1.7825,3.7491,4.007,1.898,2.7083,2.679,2.575,1 
2.0012,-0.6375,1.8153,-0.2117,2.5027,2.2547,0.8649,2.2508,1 
-0.7477,1.6718,3.629,1.3304,1.2565,0.7959,2.683,2.7039,1 
-2.799,0.2264,2.2694,3.2828,3.0541,2.6671,4.9325,1.3036,1 
0.4548,-0.3213,1.544,3.1512,2.6026,0.6212,0.2857,3.9739,1 
-0.0023,1.0591,1.5601,1.5088,3.3625,2.2375,0.7413,1.2202,1 
0.6969,0.2987,1.9816,1.9275,2.2887,1.377,2.2149,1.3776,1 
-1.0216,2.2583,2.1028,2.5508,1.3213,3.8094,1.8223,1.0338,1 
-0.1949,-0.3044,2.2321,2.4445,2.2271,1.9393,1.5825,1.758,1 
1.8321,2.4404,2.3188,2.3392,0.5681,2.7924,4.0879,3.1062,1 
0.3608,0.632,1.0014,2.1964,2.2794,2.0729,0.7854,2.6547,1 
-0.5638,0.7579,1.855,1.5502,1.0413,1.8067,1.4272,2.9772,1 
-0.132,1.0867,2.0934,3.4657,3.1335,-0.854,2.1763,0.7333,1 
-0.1555,-0.2177,1.4422,1.7965,2.3725,1.732,1.8782,3.7838,1 
-1.1303,0.6778,2.137,0.1388,1.725,4.4715,2.8952,3.7287,1 
-0.2044,0.6494,1.6955,2.6233,1.894,1.0335,1.2766,1.7291,1 
1.2253,-0.1561,1.5637,1.9186,0.4281,1.1447,4.2335,2.438,1 
-0.2227,0.8129,2.2455,1.3326,2.6554,1.6261,1.7966,3.1106,1 
-0.683,0.4281,1.7996,1.805,2.4797,3.5609,2.7913,2.5976,1 
0.0055,2.4882,2.8858,2.6741,1.3048,1.8326,2.2037,2.3491,1 
0.9751,-0.8664,1.6988,1.6493,0.7235,0.9746,1.4782,3.0289,1 
-0.7858,-0.5271,2.4998,1.2206,0.9684,1.8812,2.3319,2.1686,1 
-0.7045,-1.3116,2.9308,3.2833,2.8136,1.811,2.1263,3.0486,1 
0.8307,-1.5961,3.8718,0.6633,2.7498,2.1176,2.3676,1.7184,1 
-0.0313,-0.5558,0.7198,0.9553,0.679,2.559,2.7806,1.2557,1 
-2.5255,2.3836,0.2482,2.3004,1.3194,1.5908,2.1549,1.8936,1 
0.3772,-1.2731,0.7275,2.2188,3.041,1.572,2.0733,2.4555,1 
-0.3845,-0.6165,1.5362,2.4133,3.0339,2.1929,1.2953,2.2596,1 
0.6327,-0.0125,0.6089,2.9862,1.6928,3.0552,-0.5285,0.642,1 
-1.1303,0.5777,1.3888,1.8305,1.664,2.9436,1.7891,4.7097,1 
-1.7048,0.2021,1.0928,0.8782,0.3247,-0.9607,1.6214,0.8418,1 
0.4376,1.5383,1.3267,2.749,2.6067,2.0758,1.146,2.3199,1 
-0.1796,-2.0311,1.6417,1.0547,3.7039,0.8816,0.4533,2.9742,1 
1.5934,-0.1272,1.1878,0.775,0.3271,2.262,1.7292,1.3728,1 
1.534,-0.3439,0.7362,1.6756,2.0744,1.913,1.2564,3.0339,1 
-2.2348,0.1207,1.5827,2.3105,0.9744,0.1459,1.6715,1.764,1 
-0.2717,0.7824,1.1677,1.6373,1.616,1.5508,1.7888,2.7576,1 
0.5751,1.2591,1.8778,1.2104,0.723,3.0551,3.4609,1.8242,1 
0.2335,0.9027,0.8711,2.3334,-0.0413,1.634,2.2402,2.5016,1 
0.0176,-1.9419,0.9485,0.4926,0.7569,3.5855,1.5818,1.8019,1 
-0.6843,0.2297,2.0195,1.2992,1.0951,1.0694,1.6442,3.9817,1 
-1.5615,-0.399,1.1649,4.1573,3.3227,2.7987,1.9384,1.4756,1 
-0.4214,0.5182,2.8926,2.2567,2.3739,2.7976,1.2842,2.2982,1 
0.335,-1.3447,1.3048,2.425,1.2693,1.4276,1.5031,3.2464,1 
0.3187,1.3457,2.4897,1.9048,2.1046,1.8181,0.8493,3.6249,1 
-0.4561,1.3295,2.4637,2.5139,2.26,2.2091,2.9372,0.8245,1 
-0.4964,0.1313,2.7143,1.8525,2.7538,3.1697,2.1507,2.4987,1 
-0.4905,2.4087,1.1275,2.9869,3.1,0.5729,2.1723,2.7789,1 
1.2813,0.9568,1.9878,2.1306,0.9903,-0.4535,0.9041,3.4082,1 
