Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
* 
0.1661,0.782,2.8523,1.2929,1.0683,2.8867,1.7782,2.3817,1 
-0.7726,0.863,1.7187,1.0681,1.5015,2.7643,2.1915,1.3812,1 
1.6657,1.7382,3.1822,3.1194,0.1339,1.3636,1.2391,4.6641,1 
0.1682,0.1814,3.3214,2.4378,2.1968,0.4704,1.6625,1.0386,1 
-0.2313,-1.1472,1.5771,3.3305,1.0722,2.1053,0.9024,1.1296,1 
-0.8829,0.3992,2.0547,1.1504,2.9863,2.2959,3.7098,1.6225,1 
-0.2739,-1.1393,1.5957,1.1004,1.5441,2.2186,2.659,0.8489,1 
-0.1704,-1.0124,2.1776,0.7519,2.3635,3.4833,1.7185,2.4154,1 
-0.5483,0.2437,1.6275,2.8622,0.5965,3.4137,1.5593,3.2011,1 
-1.4731,-0.158,1.3299,0.9733,3.2861,2.1564,1.1684,3.8937,1 
1.7911,0.0905,2.0568,1.8521,1.1483,1.395,2.8646,-0.2203,1 
0.329,-1.2926,2.8513,0.6643,2.2102,1.4043,2.2357,2.7347,1 
1.0166,0.0895,0.9341,2.4204,2.1864,0.4663,1.9152,2.0129,1 
0.66,0.6387,2.1218,4.1732,2.0305,2.5731,0.8686,0.9373,1 
1.9273,-0.8565,1.7694,3.7421,3.2577,2.9506,1.4871,2.0039,1 
0.0077,-0.5251,3.8432,1.541,2.6656,4.1875,2.4859,2.6393,1 
0.4935,-0.5952,2.8611,1.6574,2.5591,2.4407,2.8913,3.6108,1 
-1.146,0.0404,2.0975,1.9354,1.8102,1.6765,1.677,1.2829,1 
-0.413,-2.203,2.9781,2.6958,2.4216,1.7804,4.394,-0.0593,1 
-0.1211,-1.1696,1.7281,0.4515,0.9976,2.2955,1.3116,1.7071,1 
0.1572,-0.1449,3.5275,1.7547,4.2328,2.6621,2.0369,1.0871,1 
-0.9893,0.3209,3.1532,2.0624,1.398,1.9655,4.3053,2.0626,1 
0.2384,1.1579,0.8602,3.6154,0.7952,3.5133,2.5006,2.4603,1 
-1.4184,0.5919,3.9832,3.1,3.0789,-1.2136,3.2815,0.3248,1 
-0.8647,-1.0436,2.6165,1.5737,3.6908,-0.1241,2.6974,2.1139,1 
0.9146,0.5616,1.0064,2.1317,1.7414,0.3891,2.379,1.3001,1 
0.7843,0.0711,2.5832,1.2828,0.8027,2.9589,1.6131,3.2491,1 
0.7039,0.3818,2.2793,2.7789,1.1015,1.2224,1.4544,2.2385,1 
0.3317,0.4184,1.1651,-0.0971,3.2448,3.0669,1.9599,2.3058,1 
-1.0484,-0.0544,2.1297,1.6316,2.6691,1.0018,1.3184,2.9639,1 
1.2124,-0.0766,1.8908,-0.885,0.8041,1.3517,0.3493,4.534,1 
-0.5252,0.2036,1.3334,1.6107,4.025,1.9028,2.1302,1.477,1 
1.0042,0.9801,1.2292,2.0079,2.6878,1.4963,0.4413,3.6782,1 
-0.1195,0.5042,1.2065,2.1671,1.447,2.4095,3.8102,3.2516,1 
0.5062,-0.6301,2.9217,2.8705,1.6203,3.2458,1.4405,0.6386,1 
0.5825,-0.6446,1.331,0.5585,1.4148,4.0354,2.4659,2.7165,1 
1.0811,2.2039,1.8525,0.6448,1.4489,2.5948,1.9477,2.5274,1 
-1.8718,-0.113,1.3328,0.4802,2.029,1.322,2.746,0.7904,1 
-0.7135,-1.5637,3.3677,1.6318,0.6499,2.5911,5.1306,3.5259,1 
0.8406,0.0531,2.4074,1.9222,2.4592,3.1173,1.2116,1.501,1 
1.4652,0.3572,2.9326,1.6694,2.6559,2.0767,4.5527,2.1911,1 
2.2542,0.3482,0.0948,2.0935,1.0625,2.377,-0.1232,0.7728,1 
0.4005,2.5794,2.8702,1.1135,0.2615,-0.6036,1.06,2.186,1 
-1.7613,0.1099,3.5705,2.1425,1.9055,2.5565,2.9907,0.5842,1 
-0.0289,0.6434,2.1869,0.8016,2.4554,2.545,2.4273,4.2711,1 
0.7582,0.5882,2.1647,0.5707,0.7929,1.098,1.4052,3.1048,1 
0.8154,-0.3302,1.9388,4.0189,1.338,0.759,1.9887,3.2549,1 
-1.3354,0.5291,1.5452,4.1363,1.2914,2.9783,0.012,2.8415,1 
-0.888,-0.4325,1.2528,2.7266,3.605,1.2791,3.262,2.5023,1 
0.0371,-0.94,1.8614,1.7534,2.1695,1.7788,0.6743,2.2265,1 
-0.2176,1.3016,1.9732,2.0933,-0.0757,1.6918,1.2698,2.6263,1 
0.1431,0.0831,3.536,2.2466,3.2361,0.8203,1.9071,1.1213,1 
-0.2598,-0.0744,3.0105,2.1717,3.315,1.174,1.9563,2.6615,1 
0.2076,0.2914,1.8806,0.2572,0.1493,2.7672,0.2017,2.9264,1 
-2.3159,1.1778,3.7722,3.0893,1.3715,2.8618,1.7756,1.8892,1 
-1.4838,-0.0358,1.6673,0.9303,1.887,2.2338,1.7685,-0.9012,1 
-1.0769,-1.0571,1.4775,1.2845,-0.6496,2.1177,3.7751,0.4474,1 
-0.0553,-0.8201,2.8684,1.4483,0.7794,0.8281,2.0047,0.8364,1 
0.4754,-0.3435,2.3068,0.1914,0.4935,2.1068,0.5888,2.9618,1 
0.6995,0.6139,1.5451,0.6318,2.4118,3.982,0.8594,3.8145,1 
1.7268,1.6797,2.0806,3.9094,1.4736,3.0162,3.0019,2.2356,1 
-1.6361,-0.1739,1.5321,1.552,1.1446,2.5981,3.8162,3.9232,1 
0.1124,1.5928,0.9308,3.0703,1.5133,2.5286,2.7999,2.6133,1 
0.288,0.2526,1.2823,3.6003,0.166,2.2025,1.4881,2.0967,1 
-0.9338,0.7185,-0.2979,1.9622,2.6197,3.1688,1.9003,1.1429,1 
1.1092,-0.0911,0.4348,2.3491,2.3896,1.8989,-0.1183,1.0303,1 
0.1802,-1.733,3.3864,1.1252,1.2552,3.5914,0.6137,1.2745,1 
0.4876,0.3956,1.9241,3.2852,3.0958,2.31,1.9609,1.8545,1 
1.1039,0.4613,3.2163,2.4023,2.3635,0.8345,2.4221,2.6823,1 
0.3757,0.5416,3.2128,1.7592,1.7468,2.4419,0.9283,2.4894,1 
0.311,-0.7692,2.7059,2.4015,0.6487,2.1077,3.6186,1.9846,1 
0.4751,2.026,2.9206,4.4326,0.9767,0.9038,1.6984,2.2879,1 
-0.1236,-0.2263,2.0046,1.6344,1.9882,3.3782,1.5564,1.9343,1 
-0.1947,0.2684,2.3411,1.5265,2.1439,1.2844,1.7471,0.9714,1 
-0.9699,0.1296,2.2806,2.76,1.0324,1.319,3.3646,2.1397,1 
-0.7444,0.2497,1.6099,2.7426,1.305,1.6818,3.2026,-0.0177,1 
0.1812,1.326,1.7214,1.9467,1.614,1.784,3.0397,1.0706,1 
0.2813,0.7046,0.452,0.9293,0.4465,3.2035,1.2772,2.5873,1 
-0.3692,-0.5096,3.3701,1.9361,2.0883,2.203,2.375,3.7484,1 
-0.2581,-0.8552,2.5,2.0657,1.1454,2.2115,3.2136,2.5593,1 
0.4434,-2.2647,1.9817,0.9588,3.1609,2.4795,3.1677,2.4675,1 
-0.4754,-0.1987,0.557,1.1943,1.9458,2.3885,3.385,2.1394,1 
-0.2483,1.2812,2.8451,1.2594,0.4741,3.2915,3.2722,2.8341,1 
-0.2741,-1.7095,4.1452,0.9713,3.182,1.1663,4.7272,1.0063,1 
-1.4771,0.9718,2.3617,0.8181,3.8287,0.6944,1.5683,2.2754,1 
-0.9522,-0.2093,2.1758,2.007,2.2594,0.4803,2.528,1.9352,1 
0.9768,0.1432,1.5876,2.0866,3.2565,2.424,0.1257,3.1825,1 
0.0456,0.2352,1.8418,2.1193,-0.6476,2.4283,2.1335,1.2825,1 
-2.1719,-1.9435,1.3765,1.2797,3.049,0.4925,2.8746,1.0074,1 
-0.5813,-1.735,1.5854,2.4421,3.2871,0.6471,2.3098,2.3921,1 
-0.9786,0.2406,0.9677,1.4094,3.7553,3.0057,4.2664,0.944,1 
1.8815,1.657,1.1971,0.9256,1.9873,0.9661,2.9843,2.0477,1 
-0.1451,1.8796,2.4849,1.6653,0.6156,2.2844,2.6843,1.187,1 
0.1201,0.1004,-1.1957,1.8883,1.4937,2.2046,0.5187,-0.264,1 
-0.3449,0.325,1.8917,2.1494,0.7578,1.0617,2.5187,2.0439,1 
0.5136,0.8992,1.9071,-0.0582,2.0206,1.0892,0.3843,1.3422,1 
-0.416,-0.283,1.9791,2.0395,3.3216,4.4672,2.0174,2.3568,1 
-0.0657,-0.0634,0.6179,1.8528,2.8148,2.3614,1.503,2.7655,1 
0.2371,-0.4319,2.5439,1.9747,1.4121,1.0533,1.6445,2.6489,1 
-2.2333,-0.018,0.8495,1.5703,2.1215,2.597,1.5184,1.8639,1 
0.5213,-0.0443,2.4331,2.3988,1.6394,-0.6041,2.4689,2.6792,1 
1.4455,0.8291,1.4918,2.213,2.3319,2.3249,3.0994,3.9852,1 
-2.4751,0.5976,1.0174,0.2596,1.3942,1.6716,2.7934,2.5163,1 
-1.641,0.1025,1.5917,2.7612,1.3638,2.4773,2.3757,2.1816,1 
-2.3687,1.8499,1.6407,1.3946,2.0275,1.491,3.0238,1.5054,1 
0.0735,0.1582,0.7733,3.9988,4.3034,2.3644,2.5885,2.2238,1 
-1.0015,-0.6476,2.7813,2.8055,2.345,1.5451,2.4889,3.0796,1 
0.4902,-0.064,2.5692,1.7613,1.622,2.7263,2.6521,1.5115,1 
0.3508,-0.3444,1.0666,0.5613,2.4051,2.4911,1.6294,2.9859,1 
0.1373,1.5559,2.2578,2.3648,1.2226,2.4433,0.4535,0.5205,1 
0.5362,0.471,1.9003,2.2641,2.2612,0.3044,1.6876,4.4974,1 
0.196,0.2827,1.5875,2.5769,2.6641,2.5309,0.0276,2.0696,1 
0.9536,-1.2665,2.4822,4.7611,1.0453,1.3542,2.8299,1.8102,1 
-0.1163,-0.156,2.0206,1.0993,2.4227,0.4422,1.7828,2.1656,1 
1.5106,0.194,1.6786,2.6125,0.0812,1.8621,0.9057,1.8692,1 
1.545,-0.0597,1.1708,1.3253,1.7639,1.4109,2.9348,1.8354,1 
0.4744,-0.8404,0.2122,1.1452,1.0959,1.0108,2.5031,1.3694,1 
1.1628,-0.7431,2.9691,1.4294,1.6558,1.2107,1.38,2.0448,1 
1.0707,-0.0696,1.6294,1.4544,-0.971,1.4166,3.8228,1.551,1 
-0.3027,0.7968,1.6485,1.4448,2.4715,2.7957,3.4502,0.8124,1 
0.6119,-0.3649,2.6877,2.1452,0.5263,1.6772,1.7109,0.7149,1 
-0.4263,0.3829,3.712,1.4847,2.0817,2.1323,3.101,1.4465,1 
-1.6676,-0.3561,2.7518,4.1067,1.5733,3.8951,4.1142,1.134,1 
-1.9076,0.3333,3.9878,0.6469,0.6031,1.7965,-0.2483,2.5348,1 
-0.3507,-0.9655,2.2212,1.5595,1.7828,0.6771,1.6355,3.7273,1 
-0.0843,0.4936,3.0385,3.0465,3.0117,1.7918,1.2684,1.9875,1 
0.0116,0.1689,2.0752,1.4035,3.0789,0.0363,2.6085,1.4446,1 
0.2655,0.7379,-0.1739,1.2,0.8928,2.05,1.8813,2.083,1 
-1.044,0.6032,3.5357,2.0055,1.0018,1.8011,0.7731,1.8446,1 
-0.5605,0.4738,1.4241,2.3251,1.884,1.4427,2.4228,3.2833,1 
-0.2311,1.2899,2.6722,2.1701,1.4106,2.639,0.268,1.5391,1 
0.219,-0.3102,3.474,1.6225,2.078,1.5638,1.8739,1.4134,1 
0.3467,0.0629,3.7861,2.0717,1.3073,2.7527,3.6061,1.2375,1 
-0.2892,-1.107,3.5472,0.2366,0.9109,0.1794,4.1712,0.3249,1 
-0.1135,-0.1324,0.935,3.1426,3.1166,1.395,0.9238,1.1941,1 
0.003,0.2035,1.7111,2.8932,2.7342,2.3053,2.9948,2.51,1 
-0.4935,-0.0365,0.9486,2.7378,1.8817,3.6449,3.6236,1.729,1 
-0.072,-0.0533,1.5389,2.4672,1.2197,1.8466,2.5498,1.7425,1 
0.5111,-1.4355,2.0365,2.0332,2.2768,1.9403,1.8109,1.8221,1 
1.1401,1.5739,-0.2642,2.7957,2.0161,3.889,2.3349,3.1289,1 
1.381,-0.356,1.7801,-0.2747,3.0329,1.1542,2.0926,1.5256,1 
-2.2224,0.2843,3.4828,3.0278,1.7536,2.5721,2.1061,-2.0981,1 
-1.1904,-0.6263,1.7186,2.1615,1.1313,1.3641,4.1306,2.3363,1 
-0.6728,1.7179,3.1389,2.5588,1.2936,3.6745,1.8825,1.6351,1 
0.4719,0.6904,1.6683,2.3126,1.5788,1.5133,2.2618,2.1192,1 
-0.9285,-1.6721,1.6577,2.2835,2.4103,1.4096,2.9705,3.0076,1 
0.6616,0.5183,1.0405,1.9357,-0.1504,2.6868,3.694,2.6713,1 
-0.1594,-0.3946,1.5633,1.6927,2.3961,2.6925,1.9955,1.5204,1 
0.9562,-0.5491,3.4641,2.0109,2.518,2.4747,0.6312,0.9657,1 
-1.0301,0.2285,2.89,2.108,1.7293,2.2813,2.7343,0.8201,1 
-1.732,1.2291,2.7147,0.7251,2.5669,2.691,1.7334,-0.2163,1 
1.2719,0.2919,1.878,2.2937,1.4834,0.6226,2.3138,2.725,1 
-1.0218,-0.0724,3.826,0.119,2.7328,0.7422,3.2162,2.218,1 
-0.3562,0.9942,3.1331,1.838,2.6499,0.3931,2.1781,2.8777,1 
-0.0742,1.5631,3.2828,2.3862,2.1868,1.4537,1.592,2.4984,1 
0.3198,1.453,3.683,2.5749,1.3564,3.5979,1.3789,1.6406,1 
0.1064,0.8942,0.9231,2.5571,0.9283,3.8226,1.6104,1.7119,1 
-0.4217,1.6033,1.6505,0.7493,1.9244,1.1036,2.0989,1.1383,1 
1.0252,0.9864,2.3906,2.6721,1.9759,3.1849,2.0156,1.3913,1 
-0.4134,0.873,2.206,1.4026,1.57,0.9943,3.1365,2.471,1 
1.4664,0.7956,1.8699,3.1932,1.2766,2.8197,1.6565,1.9128,1 
-0.1736,-0.8853,2.7108,1.5116,1.9661,2.5979,2.8381,-0.4934,1 
-1.9289,0.3692,2.5435,1.7152,1.2649,4.5911,2.6406,2.966,1 
0.6977,-0.8709,2.5599,2.4372,1.8528,0.1724,1.4876,1.8191,1 
0.688,-0.4667,2.6091,0.8802,2.864,1.5326,2.4269,2.15,1 
0.2931,1.1756,2.9339,0.8504,1.6022,1.0223,1.486,1.6053,1 
-0.7185,0.5639,2.7695,2.3577,3.4991,0.796,1.5779,3.0387,1 
-0.0452,1.9004,0.6927,1.9902,3.4932,0.2518,1.4802,1.4295,1 
0.0431,-1.7301,2.4026,2.1601,1.5638,0.21,1.0748,1.0168,1 
-0.3896,0.696,4.4743,2.7338,1.9506,3.5953,1.5388,1.3406,1 
-1.0253,-0.4528,3.5127,4.964,2.6448,2.1075,2.5299,2.4508,1 
-0.3802,0.566,2.3424,2.3911,1.481,1.5441,4.4305,1.8278,1 
-1.56,0.8954,-0.2719,4.1543,2.168,3.4879,1.7502,1.5735,1 
-1.7323,2.2291,2.0571,0.6917,2.3786,2.3399,1.7674,3.983,1 
0.1344,-0.1819,1.2636,0.9084,3.0617,2.1665,2.5897,0.9145,1 
-0.4889,0.2892,5.0987,1.5861,0.8508,0.7105,1.7734,2.771,1 
-1.6365,-2.7005,2.2838,4.7782,1.9114,0.7421,1.284,1.7631,1 
1.5026,-0.6706,2.4864,2.3213,2.4778,2.7529,2.9439,1.4343,1 
1.8225,-0.0399,2.2692,2.6373,1.9278,3.2333,3.6103,2.0837,1 
-0.5326,0.5306,0.692,0.8955,2.843,0.8266,1.8313,1.0665,1 
-2.4072,0.171,1.8608,2.3068,3.6335,0.8419,3.1101,2.3146,1 
-1.3514,1.7952,1.0735,2.9977,1.4295,1.1593,2.7454,1.7183,1 
1.6056,3.0772,2.7111,1.2067,0.6484,2.652,1.1194,2.884,1 
-0.4557,-0.1005,1.9517,0.5522,0.9782,0.3305,2.8229,1.3064,1 
0.0532,-0.9796,2.2317,3.5217,3.4958,3.5036,0.949,2.1906,1 
-0.5856,-1.2828,5.5093,2.5657,2.0591,1.7911,0.6306,2.1673,1 
-0.4118,-1.3442,0.3351,1.6851,0.8825,4.3996,1.4932,2.7513,1 
1.7606,0.8035,0.8969,1.0535,1.426,1.8285,1.1677,2.2203,1 
-1.2008,0.4213,0.675,0.637,1.2428,2.0803,1.5154,1.402,1 
1.3669,-0.1205,0.1858,1.1481,1.5524,1.7083,2.052,3.2793,1 
-0.0016,1.1085,3.0766,3.1252,2.547,2.3738,1.8015,0.2778,1 
0.1933,-0.2855,2.2747,3.0583,1.1207,3.3774,2.6915,2.4542,1 
1.2495,0.4442,1.5972,1.4047,2.4492,2.0711,3.8204,2.0514,1 
-1.6578,0.9849,0.4797,4.2724,3.1271,3.1256,-0.3305,2.6278,1 
0.8823,0.1109,2.2551,2.6277,1.1835,2.3522,2.7106,1.6597,1 
0.3367,1.9952,2.7152,3.0267,1.1911,2.8337,-0.022,2.7973,1 
1.3198,-0.0322,2.2784,0.5328,3.3059,0.6805,2.5024,1.0238,1 
-0.3397,-1.6822,2.4876,0.9781,1.0074,1.8049,2.2447,0.7511,1 
0.0637,-0.0294,2.9725,1.6324,1.0336,3.8258,0.9925,2.578,1 
1.4716,-1.1266,3.3783,1.1812,0.8328,2.5289,1.016,3.4204,1 
-0.5692,0.3171,1.5083,3.0235,1.8966,2.6979,0.6552,2.5202,1 
-1.2838,1.4025,1.74,3.2122,1.2367,0.8537,-0.1762,1.1492,1 
-2.1126,0.6294,0.4711,0.91,2.8017,1.8852,-0.5011,1.5213,1 
-0.3653,1.0686,0.7742,1.6954,1.0987,0.8789,1.8445,1.3868,1 
-0.6281,0.1757,1.0835,0.4181,3.2499,1.2329,1.1775,0.7265,1 
1.7792,-0.6003,1.3153,1.2973,1.7931,0.5126,0.987,4.4835,1 
0.6378,-2.3842,1.018,1.3388,0.6136,2.9839,2.2424,1.6024,1 
0.2469,1.0076,2.8969,2.4472,3.72,2.824,1.1743,1.648,1 
-2.1246,0.423,3.5118,1.4066,1.6871,1.54,2.5721,2.5315,1 
-1.2753,1.4799,1.2629,-0.1357,1.7215,2.5137,2.8474,1.6858,1 
0.7271,-0.2168,3.782,2.2749,1.2406,3.0944,1.1051,1.1343,1 
-1.6937,-1.8733,2.1505,2.9207,-0.3891,1.7777,2.4798,1.0302,1 
1.0205,-0.2028,-0.456,3.6664,1.2131,2.1492,2.8031,3.7303,1 
0.5114,0.2148,1.7973,2.4142,1.191,2.2168,1.258,2.3677,1 
0.3791,-0.4562,2.603,2.2594,1.8633,2.6113,3.4772,1.8801,1 
0.8635,-0.7813,2.9744,2.3235,2.4172,2.4568,2.2251,3.0424,1 
0.934,-0.8955,3.0127,-0.081,1.4544,2.6531,2.4736,2.7851,1 
0.8785,-0.4946,1.9984,1.5314,2.5734,2.6514,1.9113,2.1951,1 
0.4553,0.5057,1.1764,2.347,-0.8208,0.763,2.7082,0.2602,1 
1.6383,1.2137,2.4954,2.6553,1.0809,1.9326,3.6131,1.7027,1 
-0.2469,-0.811,2.4369,1.0946,1.239,2.6419,2.2629,2.8508,1 
-0.5655,-1.3849,1.8316,2.3552,2.2739,0.5518,1.3012,1.5109,1 
-0.4441,-0.8705,1.8651,3.3537,1.5681,2.9411,2.6409,1.6792,1 
0.8053,-1.2791,2.1722,3.1388,1.1593,2.7478,3.8689,2.3653,1 
-0.5115,0.6294,1.2262,3.1667,1.9396,0.0906,4.8898,2.2074,1 
0.8303,-0.2207,3.5354,1.8352,2.5159,2.3211,1.9831,3.1276,1 
0.0373,-0.1852,1.1449,1.0966,0.3531,1.6064,2.8821,2.8361,1 
0.1977,-1.1219,1.2644,1.1258,0.7118,1.6113,1.1554,0.1846,1 
0.2833,-0.0782,1.8222,1.7476,2.2063,2.5259,0.5305,2.4928,1 
1.796,0.3696,1.0462,3.2515,1.647,1.2677,1.2241,4.5082,1 
-0.0411,-1.1483,1.4905,0.9055,0.1612,1.5478,2.3743,1.0424,1 
-0.62,-0.5395,2.6059,1.9956,2.0166,0.1221,2.9261,3.4269,1 
0.1598,-0.3061,1.6064,3.6491,2.8423,2.2204,1.6838,1.7428,1 
-0.3466,0.4046,3.0231,1.6172,3.3974,2.6024,2.3132,1.2799,1 
0.4692,-1.2448,0.5732,2.5112,1.1694,2.873,2.2106,3.5667,1 
0.1677,1.5576,3.7303,2.199,1.7553,1.1038,0.3766,2.1026,1 
