Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
* 
1.3959,-1.3993,1.3136,1.8163,4.7321,1.4379,3.5632,2.8827,1 
-0.0031,-0.2435,2.4722,1.3878,1.1524,1.4305,1.4002,0.9095,1 
0.5417,-0.0236,1.7489,2.5139,1.6783,0.5574,1.8526,4.1181,1 
-0.3014,-0.9642,1.4808,2.2343,3.0419,2.0002,2.4026,-0.6675,1 
-0.1506,-0.7188,2.0061,2.6284,3.0528,3.3954,1.8164,0.5101,1 
1.0857,-0.0128,0.3546,2.1781,1.872,1.0689,0.1822,1.641,1 
0.2857,-0.9942,2.0965,1.5565,1.6042,1.9177,3.3952,2.4034,1 
0.4767,-1.3459,1.9201,3.5432,0.2595,2.5344,1.934,1.8616,1 
-0.4827,-2.2385,1.6785,0.7877,2.4454,3.2081,2.1603,1.3167,1 
-0.8424,0.4662,2.1497,2.9788,2.8673,1.5701,0.2462,1.486,1 
1.969,0.3825,2.4751,1.3245,2.0891,2.2132,1.929,2.5536,1 
-0.5453,0.9799,2.189,3.1281,2.8377,3.1933,3.4051,1.5384,1 
0.7537,-0.557,2.5954,1.9021,1.6033,1.337,1.4964,1.3117,1 
-0.2482,0.5089,2.1487,0.3504,0.4302,1.6526,0.1807,3.0001,1 
-0.7237,-1.3354,0.639,1.9947,1.2471,1.0968,2.0917,0.0251,1 
-0.7515,-0.564,2.0344,2.2489,2.6995,0.5768,2.0424,2.0392,1 
-0.6449,0.0216,2.257,2.6648,2.306,1.5227,1.6613,2.0272,1 
0.2033,-0.606,1.842,3.9551,2.2068,2.3719,1.6511,0.5311,1 
0.3034,-0.0032,2.007,1.1548,2.4878,1.7587,1.461,1.8238,1 
0.2878,-1.376,2.7422,1.5413,0.7354,1.6232,3.4999,1.3657,1 
-0.312,0.8945,2.7383,-0.2701,2.6037,3.3296,1.5434,2.5057,1 
-1.2459,1.6434,3.2526,0.4047,2.6396,2.7328,2.508,0.9858,1 
-0.0326,2.7257,1.7219,1.9383,1.738,4.0872,3.46,1.9164,1 
0.648,0.7415,1.4947,0.5621,1.3613,2.2199,1.5598,1.6033,1 
-0.6501,0.0108,2.1131,2.9944,0.874,2.2286,1.4799,2.0463,1 
-0.3289,-0.4956,2.4618,2.5187,3.0562,1.1092,1.1648,1.529,1 
-1.8139,-0.1954,-0.3413,1.6907,2.6295,1.0795,-0.6468,2.9912,1 
0.2321,0.359,1.4268,0.1646,3.0098,1.8639,0.5063,0.4695,1 
0.6562,0.7811,3.2157,2.1568,2.8631,1.1049,0.8476,1.0908,1 
0.4011,0.2124,1.8253,1.446,4.4743,2.1147,1.9918,0.5893,1 
-0.085,0.628,2.5086,1.2566,1.0156,3.4356,2.5511,2.5779,1 
0.9663,2.1749,2.766,2.9209,0.6855,2.7856,4.2044,4.3813,1 
2.0004,-1.1887,1.1838,5.6785,0.4799,2.8426,2.3372,3.1417,1 
0.7483,1.3348,1.327,1.3864,2.4655,1.2035,2.3839,1.8343,1 
1.4395,1.8376,0.5832,3.2318,2.5914,4.5316,1.6346,1.5839,1 
-2.4158,-1.0007,2.6278,3.4072,1.8938,2.8088,2.9853,2.6049,1 
0.8153,-1.4962,2.2144,1.0358,2.4926,2.5589,2.68,2.0873,1 
-1.3724,1.5745,2.1729,3.9962,2.3965,1.1091,1.8304,1.3492,1 
0.2079,1.5924,3.5067,1.5128,2.8837,2.0305,3.7062,2.1332,1 
1.5071,-0.3684,1.8213,2.366,1.4592,4.7802,2.8111,1.0454,1 
-1.2333,-1.6049,2.2088,2.9147,1.6825,1.2181,0.3718,2.0344,1 
2.3662,0.6834,1.3143,3.4161,2.5282,1.5632,1.3826,2.8337,1 
0.8849,0.64,0.7887,2.8736,1.8523,1.2034,1.0372,1.0306,1 
-0.4864,-1.2121,1.7928,3.235,1.9658,2.4158,2.5125,3.5131,1 
-0.6223,1.1136,1.4114,0.6342,2.9703,2.3204,-0.0506,1.3504,1 
0.3456,-0.4987,4.3413,1.0578,1.4803,2.0178,0.9172,1.9035,1 
-0.8626,-0.9636,1.2239,0.8831,0.1615,2.6625,1.3711,1.8398,1 
-1.4922,1.8892,1.6132,2.8323,0.7452,1.7312,2.2038,3.1908,1 
-0.0902,0.4638,2.0055,2.2596,2.8454,3.0734,3.3226,3.0173,1 
0.1806,-1.3454,1.4241,1.663,2.5828,1.2093,2.3588,1.664,1 
-0.2539,-0.1674,1.1396,1.525,3.152,1.9194,2.2714,1.3769,1 
0.4587,0.2403,2.332,1.508,2.0141,2.362,3.0232,2.6281,1 
0.0125,1.2955,0.1214,3.5671,3.015,1.7879,1.9139,1.4409,1 
-0.7093,-0.6467,2.1939,0.9001,-0.1969,1.6737,1.4489,2.5671,1 
-0.58,0.7047,1.7328,2.205,3.3336,2.8028,-0.1799,3.0286,1 
1.8778,0.3365,1.342,2.7293,0.7922,2.9632,0.8765,0.898,1 
-0.5195,-0.4452,2.5903,2.9435,1.9234,1.7128,2.0334,1.8695,1 
1.9551,-1.4112,2.2793,1.0077,1.9573,0.5869,1.794,-0.0747,1 
0.3456,-0.5655,2.5054,2.6462,2.1454,0.5213,2.4821,0.5933,1 
-1.0059,-0.779,0.7955,3.2846,1.9674,2.6369,1.9025,1.0038,1 
0.017,1.2341,1.9577,2.9705,1.5789,1.5369,2.0445,1.4541,1 
0.4001,1.8919,1.6805,2.2923,1.7374,0.5374,2.0307,3.5032,1 
0.7725,0.8547,3.6429,2.0993,-0.5529,0.2858,0.3073,0.835,1 
1.1271,0.4525,0.9782,3.4705,2.8715,1.7995,1.5038,4.1699,1 
0.133,-0.1864,3.3068,1.3455,1.7605,1.2149,1.4894,0.5275,1 
0.0732,0.8726,2.3765,1.8814,2.4178,1.3269,2.9288,3.0073,1 
0.1102,0.1319,1.8257,2.9125,1.9985,2.5817,2.851,0.5415,1 
-0.1275,0.0359,0.169,2.8131,3.7235,2.138,1.5757,1.973,1 
0.9608,-0.3867,-0.5416,1.062,2.3761,3.3755,0.9682,2.097,1 
