Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
* 
0.115,0.1825,2.3556,1.8225,2.5858,1.4105,1.7943,2.1734,1 
-0.3101,-1.1823,2.1597,1.2275,2.0155,2.3845,2.6768,-1.0595,1 
-0.0578,-0.0512,1.8282,3.004,2.6096,2.5304,1.8355,2.0707,1 
-1.2075,-0.6156,1.3465,2.2414,0.825,2.3755,3.2333,2.4832,1 
-0.1797,0.4675,3.1395,1.9103,3.413,2.1451,3.8802,2.4618,1 
1.2011,-0.9016,-0.0111,1.4223,4.3653,2.2062,2.6919,1.6661,1 
0.109,-0.8813,1.3927,2.4484,2.6518,1.9577,1.1793,2.6602,1 
-1.3363,-0.4642,2.0734,0.6097,2.6582,1.1984,1.5485,2.3602,1 
0.4351,0.2107,0.9261,1.9711,1.0115,4.175,0.5063,4.4767,1 
-1.1148,1.1059,2.6554,1.1416,2.1032,2.0898,2.5135,1.7513,1 
-0.0364,0.708,0.6148,2.4746,2.4066,2.984,2.0591,2.4025,1 
0.0878,1.3513,2.8199,1.5462,0.7188,3.1848,1.0846,0.7562,1 
-0.4552,-1.048,2.9015,3.6839,2.9124,2.3688,3.4363,2.4712,1 
-0.2818,1.389,0.6612,2.1945,2.606,0.1243,1.9123,3.0806,1 
-1.6205,0.7312,0.8163,1.7927,1.266,2.6753,3.0955,3.4218,1 
-0.364,-0.3954,1.725,3.3726,2.3115,2.8896,3.1855,1.0506,1 
0.0194,-1.2616,1.3385,1.53,3.451,1.7229,1.1595,2.9236,1 
0.5532,0.5349,-0.8124,0.8988,2.9603,2.699,2.8592,2.5756,1 
0.2579,0.2401,0.8351,0.8553,2.3103,1.1509,1.2139,2.3792,1 
-0.2755,-1.855,0.7401,1.2656,1.5378,1.4661,1.8545,3.322,1 
0.3449,0.5759,2.7695,2.7919,3.4639,2.5957,1.183,1.6564,1 
0.2378,0.4483,0.9891,2.43,3.4786,2.463,1.1772,2.6891,1 
0.1302,-0.9325,3.5262,3.03,2.2702,2.0068,1.9111,3.2141,1 
-0.5372,-1.0226,1.3571,3.3401,1.5444,1.2021,2.9621,0.2764,1 
1.7797,1.0064,2.1391,3.0573,2.1538,3.8464,2.098,4.3742,1 
1.0016,-0.1218,1.2979,2.0698,2.0854,2.1105,1.2487,2.5999,1 
0.3499,-1.0339,3.2559,2.7645,4.7069,0.7639,1.2831,1.8495,1 
0.1791,-0.5244,1.0185,1.7303,2.7709,1.4399,3.3696,2.3829,1 
0.4754,0.4051,3.867,3.7967,2.0094,2.9841,2.4457,1.8003,1 
-1.6656,0.5652,1.5858,2.2688,3.4166,2.4588,3.49,2.7575,1 
1.2132,-0.5188,2.1702,1.2721,1.753,2.2685,0.6414,1.5316,1 
-0.5888,-0.5495,1.0374,1.7883,1.8896,2.7666,3.0374,1.4743,1 
1.9851,0.1017,2.3688,2.22,0.0594,2.1247,2.6626,2.8015,1 
0.0178,0.0853,2.8128,0.9961,3.1981,2.9189,0.772,3.8129,1 
-1.5171,0.0327,3.7745,0.9035,2.9274,3.4285,3.4176,1.4162,1 
0.4506,0.342,1.5786,2.0075,2.7159,1.9136,1.9788,1.2117,1 
-1.0246,-0.3696,0.6714,1.5047,1.2399,1.4889,1.5629,1.7083,1 
2.0236,-1.3896,2.4046,1.6852,2.3443,0.6607,1.1089,1.9169,1 
-1.3799,-0.0434,1.7089,2.6763,2.0409,0.6987,0.815,2.26,1 
-0.5741,0.1044,2.5362,2.7593,2.6453,2.1775,1.9058,2.5316,1 
0.9224,-0.1373,2.3927,1.894,1.1246,1.66,1.706,2.4384,1 
-0.344,-0.6655,4.1304,0.8969,1.8967,2.7967,1.5702,4.1579,1 
-0.4246,-0.0916,3.3624,1.5334,3.7042,2.3178,3.562,4.311,1 
0.3185,0.722,1.0874,1.6709,1.4583,1.0188,1.4346,0.2404,1 
-1.4178,0.9374,3.0326,2.1701,1.8489,3.084,2.8564,1.2651,1 
-1.0312,0.8087,0.8341,0.9562,2.6933,2.1222,1.5599,1.6316,1 
-1.2861,-0.8426,3.7261,3.3605,0.409,3.6974,1.4548,2.0301,1 
0.0809,-0.1021,1.4335,1.3178,0.5868,0.771,2.24,1.9166,1 
0.5029,-0.5073,1.0221,1.6432,3.2985,1.049,2.459,1.9906,1 
-1.3896,1.4259,1.9527,0.4094,2.991,-0.9859,3.0938,2.2796,1 
-1.5196,0.5263,2.0394,2.8749,0.9699,3.0856,2.7662,3.3091,1 
-0.5248,-0.3944,0.3939,2.4127,1.8226,3.7019,2.3635,1.4871,1 
1.5011,-0.2736,0.6766,0.6459,1.3981,2.2272,1.0863,2.4731,1 
0.0452,-2.3821,1.6253,1.8676,2.2159,0.8328,1.196,2.1644,1 
-0.5206,-1.1776,1.2603,1.0378,1.3446,4.378,2.2811,1.144,1 
-0.4694,-1.6066,4.3998,2.3639,1.0048,2.0981,2.4953,2.7856,1 
-0.8339,1.6053,3.6355,0.0953,1.9174,1.1736,1.6182,2.7046,1 
0.3411,-1.3027,1.6511,4.1679,1.1837,3.3565,1.944,2.3178,1 
0.4803,-0.2512,2.0406,2.0724,2.9536,2.0597,2.479,2.654,1 
-0.1347,0.8517,-0.3182,1.2698,2.6007,0.9927,2.1652,1.3452,1 
1.0074,1.0073,-0.0033,1.0957,1.1017,1.3842,2.4231,0.9604,1 
0.0482,0.0532,2.7083,3.0629,2.3235,1.102,1.9458,2.9378,1 
0.1215,-0.6456,2.3149,1.7167,2.925,0.8251,0.9014,2.5471,1 
-2.4165,-0.5337,2.4382,2.1829,2.7499,2.0239,1.6438,3.3297,1 
-0.023,0.8111,2.3311,3.4672,3.5402,1.7899,1.4798,2.4466,1 
1.1351,1.0515,1.9515,1.5957,1.3617,1.4396,2.179,-0.3493,1 
-1.379,0.5899,1.5386,0.6385,0.6866,0.6172,0.9275,1.4132,1 
-1.422,0.197,3.8131,2.4769,1.1402,1.8508,2.4391,-0.1012,1 
-0.3517,0.2699,1.4223,1.4991,0.6862,0.8188,3.7175,1.9672,1 
0.2938,-1.4918,0.5138,1.8261,1.4086,1.8963,1.403,2.6013,1 
-0.4568,-0.0378,1.6307,2.0368,2.7804,1.3645,0.632,1.8436,1 
0.4718,0.5745,2.2797,0.428,1.9058,1.3874,3.0407,2.6362,1 
1.3321,-1.5857,0.8399,3.0834,2.9093,0.8764,1.3974,2.5918,1 
-0.3992,-0.2864,2.3431,2.6827,2.5902,0.4205,2.0175,2.4389,1 
-0.1272,0.3974,3.313,2.6619,2.0535,2.6973,3.0296,1.2625,1 
-0.5644,0.5633,1.6585,1.4834,2.014,2.2794,1.9975,1.6979,1 
-0.3292,-0.3517,2.0393,3.0219,1.6657,1.1777,0.8246,2.6851,1 
-0.6487,0.7049,1.6335,1.0639,3.4133,0.7334,3.5444,0.6322,1 
0.3925,0.4734,2.4554,2.6052,2.5663,1.1878,0.3979,1.1065,1 
0.3391,-1.1232,2.6599,2.23,1.7913,2.3732,1.3419,1.0059,1 
-0.2756,-3.2376,2.6225,0.9831,1.1124,2.3306,0.6682,0.5102,1 
-0.4257,0.4918,2.6527,0.8418,1.4177,2.6719,1.8269,0.6795,1 
-2.011,0.3037,2.151,3.1651,1.8882,3.5469,0.6698,0.4465,1 
0.9968,1.6912,1.1719,-0.0299,1.7543,2.156,2.285,1.0828,1 
-0.4859,-0.1509,1.3112,3.5383,2.5335,3.3652,0.5076,2.8602,1 
0.5422,0.6511,2.8013,2.0032,3.5947,3.4163,3.2611,2.8376,1 
-0.2386,0.4118,1.8,0.6095,1.2855,1.1351,0.4853,1.3011,1 
-0.08,-0.4401,1.3376,0.9035,2.1997,2.6036,0.5997,2.1831,1 
-1.135,-0.0925,0.5731,1.8586,3.2005,1.4417,0.8794,0.7646,1 
1.3801,-0.3593,3.1886,0.9394,2.4078,2.2344,2.7521,2.574,1 
-1.5685,0.1507,2.9641,3.9585,1.1845,2.3991,3.1652,0.8786,1 
-0.6725,-1.4621,1.8719,1.5715,1.5328,1.3793,1.4392,1.5622,1 
-0.0303,2.0591,2.4566,2.8627,2.742,1.6406,1.2971,2.2098,1 
-0.002,-0.3381,2.9451,1.1217,3.0368,-0.3384,1.6628,2.9141,1 
0.8305,0.4595,2.4953,1.1069,3.5463,0.1653,2.1387,0.4127,1 
0.5192,-1.9171,2.4694,1.3886,1.0722,0.651,1.9508,3.6098,1 
0.6559,2.3379,2.1743,3.7944,3.7996,4.044,1.9764,2.0448,1 
-0.2401,0.7464,1.689,2.2655,1.5166,2.2793,2.2144,0.6956,1 
1.2214,1.6249,1.3273,2.1259,3.8511,0.8078,3.3689,1.5201,1 
0.0263,0.5163,2.5797,2.5589,1.9751,3.1877,1.7609,0.7425,1 
* 
0.4368,9.4406,2.2495,0.915,0.0442,1.9651,1.8718,1.023,1 
0.9126,9.6499,2.7261,0.5608,1.7727,3.9272,2.1173,1.1687,1 
0.0967,8.7908,2.0419,2.6317,2.7982,3.3283,1.0442,2.2768,1 
2.4597,9.48,1.56,2.6935,1.6116,2.0051,1.3813,1.8802,1 
-1.4038,10.9343,3.1273,0.4791,4.268,2.2786,2.3564,2.6025,1 
1.3634,10.287,0.0844,1.4008,1.5866,2.0872,-0.4295,0.5504,1 
-0.9874,9.2596,1.7549,0.6763,2.876,1.3911,-0.0921,1.7277,1 
0.1127,9.2499,1.2487,1.3889,1.7361,2.4461,2.3729,1.4755,1 
0.822,10.2155,1.5748,2.8936,1.4474,1.4009,2.2679,2.5838,1 
-0.0293,10.1678,1.5782,1.9569,2.618,1.9597,2.4225,0.3201,1 
-0.0998,10.747,3.6749,2.5793,2.7027,0.9321,3.3978,3.5788,1 
-1.3322,9.7274,1.5104,0.9509,1.5835,0.8782,2.8281,1.1966,1 
0.9479,9.6673,1.0108,2.465,2.5243,3.0115,1.2848,1.7925,1 
-2.3306,11.5976,1.2867,1.9315,2.5289,1.3458,1.716,2.4919,1 
-1.6829,8.3295,0.3293,1.2101,0.3464,3.1209,1.8057,2.4709,1 
-0.9289,10.1995,2.2378,2.666,2.0482,0.8943,2.6827,1.8308,1 
0.05,10.9533,0.5928,0.9066,2.5301,0.736,3.5077,2.4732,1 
0.3187,9.3346,0.7101,1.4964,2.301,1.5391,2.5771,2.7956,1 
0.0782,9.0715,2.3711,2.9496,0.1653,1.978,1.2505,1.0149,1 
-0.1731,9.8685,3.0557,1.8141,2.9352,2.7719,1.8384,3.2176,1 
1.505,10.5289,2.1457,1.576,1.9413,1.4121,2.1694,1.6637,1 
-0.31,10.7188,3.3171,3.3616,-0.9215,1.8299,3.4501,1.5727,1 
-0.599,10.7153,2.4549,0.5984,0.7265,1.3889,1.6902,2.1514,1 
1.655,8.5175,1.6796,3.3071,0.5011,0.6694,2.583,0.8364,1 
-0.275,8.4682,3.6297,2.45,0.5266,1.2456,-0.4962,1.0604,1 
-1.5921,10.0455,2.0799,0.5751,3.4498,3.2918,2.2787,3.646,1 
-0.3915,10.0833,3.2239,2.8173,1.6375,2.4162,3.4264,1.3533,1 
-2.8649,9.9771,1.3353,0.6958,1.9188,3.0863,2.7141,1.7463,1 
0.2481,10.8156,2.4852,1.9908,0.9313,1.4895,-0.445,0.4016,1 
0.3344,11.4057,2.8979,1.9093,1.5811,1.5874,3.691,1.1791,1 
0.8441,10.3422,3.4269,1.972,2.0714,2.7104,3.2612,2.2039,1 
-1.3835,9.8247,2.0502,0.2559,3.4564,1.5215,1.751,1.231,1 
-0.1517,10.039,3.3432,1.0915,2.4693,0.2112,1.0188,-0.2864,1 
-0.8577,9.551,1.3761,3.3918,2.5527,1.1593,1.8016,1.6622,1 
0.0638,9.2363,2.9768,1.1873,1.9838,-0.4545,0.3677,2.2746,1 
0.6799,9.7708,0.6878,2.0132,3.1752,0.0139,-0.2428,2.5638,1 
