Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
* 
5.0698,-0.0487,1.3403,2.3574,2.132,1.1316,1.4798,2.0806,1 
3.7978,-0.9969,0.0697,2.104,1.2061,1.5634,1.9028,1.5528,1 
5.626,0.4353,2.2518,2.0835,3.2991,2.764,2.8202,2.065,1 
7.5231,-1.3638,1.5945,0.4192,2.4585,3.0883,1.4416,2.8325,1 
3.72,-0.194,2.1222,1.6653,0.8287,1.1558,2.8405,3.0635,1 
4.9282,0.2026,1.8238,2.9497,2.4601,1.6377,0.9265,1.0456,1 
3.8432,-0.6744,3.0934,1.0016,0.6573,2.6643,0.8749,1.5346,1 
5.6588,-0.4756,3.6012,1.5292,2.4164,1.4234,1.4252,2.9483,1 
5.6939,-0.2441,2.2995,1.5391,2.5743,3.9568,1.1889,1.1293,1 
4.5091,-0.2909,0.848,0.5816,2.607,1.616,4.0744,3.9126,1 
5.3407,-0.6472,0.6181,1.3856,1.0054,1.7229,2.6626,0.9875,1 
2.8588,-1.1943,1.3735,2.1279,1.0586,1.1115,3.4255,1.4825,1 
3.2874,-1.1632,1.1171,1.7375,0.7241,3.1277,3.0964,2.1737,1 
5.3905,-0.4576,2.1936,1.4172,1.7836,2.8843,3.2806,1.3184,1 
6.2785,-1.0544,3.0566,0.2615,0.8466,1.077,-0.4654,0.2451,1 
5.7157,0.2026,2.416,1.5288,1.3697,2.0103,2.2944,3.2947,1 
5.7756,0.8632,3.4696,1.811,1.4704,3.5374,1.7834,2.4514,1 
5.1701,0.8867,3.2445,2.7408,4.0383,3.7,1.96,0.5301,1 
4.7296,0.3936,2.2285,0.9433,1.7314,2.5912,2.8959,3.6506,1 
4.377,-0.2857,1.6864,2.2003,2.4593,2.1077,3.433,1.7008,1 
4.9014,0.9289,2.8274,2.4722,0.6302,4.0794,2.0134,2.0722,1 
5.7804,2.7183,0.6541,1.261,2.6212,3.0465,1.9384,1.7725,1 
4.6154,-1.6453,2.3522,2.833,2.1592,2.2082,2.4837,2.0568,1 
5.6391,-0.8619,2.5641,1.8225,1.2232,2.0669,0.6742,2.012,1 
5.7673,1.5853,0.8467,2.3198,3.5318,1.6943,1.5232,1.7708,1 
4.9152,1.1334,1.6691,-0.761,0.7123,2.5959,0.4118,0.5571,1 
5.1844,-0.819,2.1866,0.4862,2.6961,2.7141,0.6179,3.7678,1 
7.4021,-0.9509,1.3821,2.8692,2.0984,2.6815,1.2797,0.8206,1 
5.7478,1.5684,2.9301,1.9485,0.8596,2.6041,3.3053,1.9687,1 
5.3013,1.4994,1.6167,2.0175,2.9328,3.1562,2.6879,1.5632,1 
4.3305,0.0286,0.4744,0.9466,2.8204,3.0406,1.8747,3.0548,1 
7.6436,0.5197,1.7861,2.4936,3.0673,2.0955,2.6514,2.528,1 
4.4387,0.7621,1.6225,2.1972,4.3657,1.6217,3.3396,2.2798,1 
5.3064,-1.8027,2.2536,0.9422,2.3773,1.9525,0.0627,3.0979,1 
4.6022,-1.826,3.5912,1.994,1.9647,2.4508,0.53,1.7835,1 
4.8268,-0.7375,1.0224,1.5924,3.1097,1.3305,0.9431,1.1745,1 
4.0992,1.2553,1.891,0.9358,1.7019,2.6023,4.0085,1.749,1 
6.6215,0.5396,3.1781,2.7201,1.3196,2.585,1.9434,1.467,1 
5.3072,-0.0424,1.6158,2.4469,2.4867,2.7427,1.8472,1.3948,1 
4.5021,1.3462,0.1268,2.8025,1.9246,2.9024,1.7779,3.1942,1 
5.0583,-0.6715,1.9033,1.5165,2.1363,1.7848,2.4377,2.6067,1 
5.5021,-0.8318,2.6078,2.2068,3.3132,0.4966,3.7478,2.2454,1 
5.6099,-0.4927,1.7648,1.8707,2.713,1.3146,1.3107,2.3264,1 
4.3002,-1.4983,0.3891,2.1274,1.5117,2.1802,2.2909,2.5101,1 
4.2148,-1.6929,2.6122,3.887,1.6973,1.8386,1.5306,-0.3156,1 
4.6041,-0.6988,1.3202,1.6647,1.2857,2.0804,0.7374,2.488,1 
6.0333,-2.2964,0.9415,1.133,2.8989,1.65,2.2452,0.4816,1 
4.8274,-0.5378,3.2852,3.0157,3.1189,0.9762,-0.6095,1.5364,1 
5.8157,0.2779,0.9344,1.9267,1.4362,1.5025,2.7638,0.9593,1 
4.5653,0.3617,3.2949,3.7432,0.1881,1.2919,2.1535,3.2506,1 
6.5547,-0.4229,1.3637,3.007,1.8559,1.0469,1.3483,1.575,1 
5.3749,0.9374,1.881,2.0701,1.9424,1.8626,3.0054,2.3137,1 
3.1446,-0.9898,1.4327,2.479,2.7749,2.7479,0.379,0.8948,1 
5.1729,-1.5801,0.6311,2.3675,2.1582,3.5455,1.5489,-0.7515,1 
6.3192,-0.8,1.4768,2.0253,1.1128,2.0817,3.3323,2.3725,1 
4.7672,0.6068,0.6075,0.9277,1.2015,1.9691,2.9319,2.0517,1 
4.7713,0.0833,1.1868,1.915,1.4464,2.5594,3.136,2.3552,1 
5.9196,0.3617,5.6099,0.9484,2.4767,1.0982,2.9085,2.6842,1 
4.7875,-0.5833,2.2755,2.082,1.6964,2.6653,2.0826,3.8747,1 
6.4294,-0.7105,3.7303,4.1366,2.8386,1.051,2.2335,0.6125,1 
6.1158,0.5313,1.4312,2.0288,2.3768,2.6173,2.7713,3.3235,1 
4.2753,0.4159,2.727,0.871,0.0263,1.8286,1.1747,3.5367,1 
5.406,-1.0753,2.6526,2.8173,0.9162,1.6171,0.6525,2.776,1 
5.2516,0.5535,0.5463,-1.1367,2.7538,2.0883,3.4791,1.8771,1 
4.3376,0.504,1.3305,2.9203,1.4832,2.072,4.818,0.256,1 
4.9275,-0.3537,0.8186,2.1277,2.2592,2.9691,0.9098,2.5977,1 
4.8081,-0.5115,0.7296,2.3745,2.1687,3.307,1.7941,2.3309,1 
4.1444,1.2973,1.864,3.006,1.2444,1.1883,1.8761,1.4556,1 
4.9851,1.2397,2.5584,4.0099,3.0471,1.7309,-1.0161,2.0817,1 
8.31,-0.149,1.3852,1.0019,3.3619,1.4487,3.311,1.9306,1 
3.6314,0.4747,1.6865,3.0634,0.2467,1.335,0.8977,1.1985,1 
6.3494,-0.193,0.9131,2.3284,1.9419,2.8206,1.155,1.6657,1 
5.296,1.529,2.6844,4.0497,2.2821,-0.717,1.7305,2.1823,1 
4.4379,-0.9819,0.2452,2.4444,2.1044,2.4393,2.1681,2.0552,1 
5.9892,-0.9401,3.4686,1.4801,1.422,1.7292,1.9571,1.5048,1 
5.0097,-1.5552,2.0376,1.6938,1.4469,3.7658,1.231,1.361,1 
5.1206,0.4283,0.922,0.9146,1.8382,1.5398,1.5748,0.8277,1 
4.6609,0.9789,2.2304,2.5343,1.3991,0.8677,2.7446,3.546,1 
3.146,-0.5728,3.6416,2.622,1.6432,2.1188,2.7052,1.9388,1 
4.3822,1.6891,4.2378,3.2309,1.2138,3.4039,3.3651,1.4954,1 
3.9241,0.4397,2.2094,1.0991,4.2768,1.5058,1.2577,2.3382,1 
5.6595,0.7559,1.711,3.3289,2.5156,2.6662,1.8853,2.5118,1 
3.5587,1.8429,2.5011,2.0151,3.0475,1.2804,2.1519,1.5789,1 
3.6795,0.8997,3.5823,1.6377,2.6003,1.3213,2.6203,1.8422,1 
2.9498,0.285,2.8759,3.1073,4.0797,-0.8323,1.1438,1.2817,1 
4.2192,-0.2864,2.4206,2.3893,2.9375,2.207,3.0966,2.1547,1 
3.8705,0.345,2.4648,2.795,1.802,1.719,1.4142,1.6754,1 
3.6551,-2.2787,2.9221,2.6588,2.1895,1.9535,0.6943,3.1627,1 
3.6356,-0.2551,2.443,3.0577,1.9708,3.1238,2.3181,3.116,1 
5.5949,0.0495,3.5355,3.5093,2.5021,1.0012,1.7463,1.8901,1 
4.0958,1.5442,2.2696,0.7291,2.022,0.9439,2.6762,2.0692,1 
3.3855,0.4747,1.1587,3.2731,3.4144,1.1246,2.6406,-0.1102,1 
4.1175,0.0771,2.2342,-0.4244,2.5056,1.8885,2.5047,1.4442,1 
4.0408,-1.0814,3.0779,2.1411,2.2642,2.2684,1.4739,3.1624,1 
5.8343,0.6276,1.0489,2.9161,2.7369,3.5507,3.5639,1.0937,1 
5.112,-0.412,1.6925,2.6407,2.4522,3.3593,2.2933,2.2522,1 
5.486,0.052,1.2958,2.2404,1.3429,1.505,2.0956,0.7749,1 
4.4816,-1.0163,0.3769,2.5862,2.4291,0.5165,1.4195,2.4221,1 
6.0414,-0.3802,2.7371,1.5478,2.6218,1.5067,1.1223,1.4299,1 
4.6607,1.3723,1.2799,3.2492,1.1976,2.8319,2.1866,0.5567,1 
* 
1.8396,1.0746,2.8433,2.3448,0.8427,2.2185,2.4803,0.6615,1 
0.6638,1.576,2.2598,1.6052,2.7573,3.4282,3.092,1.9371,1 
2.0304,2.9798,2.3164,1.6472,1.3297,1.9381,0.9099,2.0779,1 
3.5495,3.7334,3.3886,1.6284,1.0803,3.5353,1.4845,1.5169,1 
1.2882,2.5669,1.89,1.8915,2.5501,3.4518,2.2533,1.458,1 
0.7884,3.5204,3.0942,4.1673,1.98,2.4053,0.9807,1.6939,1 
1.198,3.1571,2.2746,3.6294,1.9328,3.3718,2.1142,1.1539,1 
3.2964,1.2525,1.6478,2.0227,0.6657,4.0775,0.5474,0.4359,1 
2.8653,2.2588,2.4585,0.3338,1.8321,3.2355,0.8371,1.8355,1 
4.4906,1.9206,1.0918,1.3371,0.6442,2.16,4.5822,1.2909,1 
2.0561,1.3739,2.3322,2.5078,3.1066,1.1332,2.7171,1.0972,1 
-0.0819,2.0957,1.7374,0.5867,1.5176,1.0034,1.1108,2.3103,1 
2.6634,1.2152,1.4103,2.3202,1.7257,0.6187,0.5844,1.1543,1 
1.2373,1.8028,1.5106,1.9626,3.8717,1.9281,1.9949,2.5295,1 
3.6735,0.3009,3.4893,2.8963,1.8896,2.2784,1.832,1.5085,1 
0.4569,3.8446,4.151,0.6086,1.2493,2.3293,1.4186,1.1401,1 
2.8353,2.1827,0.9908,4.1803,1.47,-0.47,1.1606,2.3019,1 
2.9287,-0.7068,3.4646,4.1439,2.7123,1.6102,1.5598,1.5439,1 
1.366,0.9371,4.1778,1.7381,2.6951,2.3083,1.773,2.0558,1 
0.8685,2.0181,1.4714,2.0806,2.5309,3.4056,2.4928,1.5263,1 
2.9205,1.2751,2.1311,2.9244,1.5623,1.6486,4.1498,2.1965,1 
0.9844,1.3003,2.6714,3.4667,-0.416,3.2328,0.876,1.8339,1 
1.0301,2.7873,2.6463,2.6519,0.4371,1.3928,2.5871,2.5212,1 
1.2221,3.1721,2.3451,1.8452,2.6432,1.9326,3.5225,3.2308,1 
3.0853,1.7989,2.7583,0.615,1.5254,1.7836,2.4492,1.9096,1 
1.9557,1.9037,0.8904,2.7938,0.8985,1.7753,-0.2512,2.3413,1 
1.1636,0.3154,2.1638,2.8866,3.7188,0.5918,1.7583,2.4212,1 
2.1362,2.2304,0.6498,2.0948,2.0775,2.5913,1.379,2.3062,1 
2.4565,1.182,1.6623,1.0879,3.2106,1.4544,3.4464,1.0591,1 
2.9496,1.0407,2.1316,2.2089,1.6152,1.9892,2.3476,1.529,1 
2.8826,3.0974,2.8897,2.708,0.9467,0.7404,1.787,2.4613,1 
1.1872,1.8575,2.0217,1.1454,2.7672,3.9741,1.1221,2.6141,1 
0.2074,1.634,1.0323,2.9499,1.4516,0.3005,2.3058,0.0249,1 
2.4374,0.5396,1.7813,0.5328,0.8634,3.7024,2.7531,2.5408,1 
0.7198,3.293,1.772,3.0445,0.793,2.3649,1.5917,3.1065,1 
2.1673,2.4658,2.0934,1.3346,1.5867,1.6852,0.7768,1.068,1 
0.8571,2.5919,2.4958,1.5275,3.0566,2.2955,3.5004,2.4482,1 
1.9787,0.7475,2.9422,3.186,1.6473,0.1098,2.521,1.1714,1 
1.1233,3.1565,1.2899,4.071,3.0921,2.6569,1.4229,2.2354,1 
2.8567,2.74,2.4045,1.2381,3.391,1.8098,0.8916,2.087,1 
2.0162,2.9613,1.2308,3.7711,1.028,1.3021,0.3705,0.6119,1 
3.166,4.4028,1.9827,3.669,3.2916,0.9374,1.8617,2.3781,1 
1.9436,1.5434,3.0507,2.7928,3.2088,1.742,0.8388,2.6696,1 
2.71,1.9625,3.6221,3.2423,2.0649,2.3525,2.7535,2.8235,1 
2.635,3.7528,1.5703,2.4663,3.2815,3.0601,-0.5443,1.3852,1 
1.8611,0.7894,2.0716,2.2394,2.847,3.434,1.7266,2.289,1 
2.2814,1.213,1.5107,2.565,2.99,1.4656,0.9781,1.1116,1 
2.035,2.4185,2.8308,2.8997,3.0254,0.1851,-0.3409,4.5471,1 
0.083,0.9642,3.8958,0.9141,1.9997,1.525,1.7819,-0.6813,1 
3.7141,2.2221,3.273,2.7935,3.5425,1.5243,3.7522,2.6534,1 
2.3778,2.2235,0.6908,1.6632,1.2322,2.3874,-0.0666,2.5506,1 
0.7882,3.4337,2.0086,1.7909,0.0112,2.0806,1.3913,2.7613,1 
0.6661,3.071,2.1953,2.9321,3.54,2.2956,0.5443,3.558,1 
2.5424,2.8639,1.2869,4.0431,1.6281,4.1535,1.7759,2.3641,1 
0.4848,3.1114,1.9717,2.8106,2.3046,1.8101,2.9374,1.3672,1 
2.8183,3.2506,1.6081,1.6713,2.1951,2.26,2.5815,1.3698,1 
3.5463,3.0175,0.083,2.4906,1.5881,3.3916,0.6427,3.9493,1 
2.1843,1.1419,1.5638,1.7578,2.6102,1.749,2.8931,3.0357,1 
1.2717,2.1926,2.323,2.3408,2.6117,3.1205,0.1621,0.8132,1 
2.4658,1.2444,2.1375,0.9651,0.3839,0.3348,1.788,3.5151,1 
2.1996,1.8695,2.1421,1.0502,2.7274,0.9753,2.8186,1.9848,1 
4.2101,-0.0928,3.6813,1.5701,2.0433,1.26,2.0442,2.6017,1 
1.8189,1.0672,2.0237,1.2025,2.9549,1.1917,1.663,2.1452,1 
1.5994,1.6596,2.3944,3.0739,1.2491,1.2636,5.0038,3.0376,1 
3.4842,3.871,2.5631,3.6469,0.0538,1.2156,2.656,2.9229,1 
1.7109,0.8967,2.4896,2.9724,3.5704,2.4316,2.3678,5.0481,1 
2.786,0.1751,3.3946,2.3205,2.2092,2.3622,3.2918,1.9316,1 
1.6676,2.4167,0.1988,1.0165,2.8442,1.3263,1.55,4.7999,1 
0.0307,1.3593,1.2931,1.7413,2.1083,-0.4297,-0.2282,2.9558,1 
3.5307,-0.8583,1.6157,2.8941,0.6541,2.9302,2.6892,1.1411,1 
1.6795,1.4553,3.8424,0.3201,2.9436,2.6597,1.051,4.5681,1 
0.7217,2.1287,2.0724,1.425,1.783,5.1749,1.0138,3.0713,1 
0.5382,1.4004,1.8011,2.8158,1.5093,3.4751,2.3605,2.8011,1 
2.064,2.4346,1.8991,0.3886,0.4368,1.8435,-0.5223,2.1005,1 
3.5469,1.8347,3.5594,1.709,1.1727,1.619,1.0115,3.3688,1 
0.3921,1.6547,1.5339,1.3817,3.2135,2.6481,0.6534,3.6666,1 
1.839,2.0735,1.9601,0.4624,-0.2954,2.6334,1.864,3.5469,1 
2.2456,2.4946,2.4833,1.4588,1.6959,1.6659,2.5045,1.8135,1 
2.5157,2.4276,0.4046,1.631,1.7543,1.2588,1.4757,1.6327,1 
3.0245,0.6116,2.6712,2.2486,2.8275,0.5693,2.1327,-0.0891,1 
2.3353,-0.4423,2.6911,2.019,2.3267,2.3563,3.9188,2.1311,1 
1.6019,0.888,2.009,2.1915,2.6553,2.008,2.2882,2.7266,1 
3.5545,0.5937,2.2866,3.3355,3.3733,1.4193,2.2085,2.9179,1 
2.5678,3.5306,1.0617,3.0612,1.0833,1.2931,2.7393,2.4576,1 
1.8917,2.6533,4.6216,0.4224,1.2176,2.223,1.7573,2.7259,1 
2.3495,2.3382,3.1867,0.9216,1.3069,-0.3429,1.9536,2.4791,1 
1.5013,2.4501,1.1298,3.0377,0.6115,2.7163,2.3678,1.8687,1 
1.3864,1.665,2.1867,0.9118,1.2562,0.5817,-0.6465,2.9461,1 
3.0387,2.9294,2.8432,1.2446,2.192,2.5222,1.6577,1.921,1 
4.1724,3.2595,3.5379,0.8566,1.1533,2.6264,1.6357,0.2987,1 
1.9831,1.7888,3.8014,2.1265,2.8563,2.8908,1.1336,1.8254,1 
2.5226,0.1278,0.9851,2.997,3.1013,1.3808,1.9348,2.8987,1 
0.8992,1.9661,0.4437,2.7685,2.8276,2.3374,3.4341,0.4401,1 
1.3173,2.7014,1.1365,0.027,3.1151,0.683,1.6009,0.5445,1 
0.7084,1.6819,2.7996,1.7259,3.9458,1.357,4.3399,1.4859,1 
0.7906,1.6918,0.2977,1.021,1.4786,3.8184,0.5899,3.8869,1 
2.9772,2.6382,3.7823,0.9204,2.7114,1.9345,1.8137,1.2877,1 
3.6587,2.5862,1.6624,2.1062,-0.0386,1.9568,3.3578,1.7807,1 
2.5089,2.3421,2.8748,1.4788,0.7994,1.9601,2.4473,3.2044,1 
2.4323,0.7291,3.2246,1.4537,3.3623,2.3898,2.9918,1.0137,1 
* 
7.5146,0.0948,1.4738,1.6865,2.3307,2.9385,1.4318,1.8062,1 
9.3128,3.6813,1.2319,1.2369,1.5426,-0.1554,2.5152,2.3792,1 
7.3001,2.7089,1.652,3.5459,2.5468,0.7151,0.2618,1.4852,1 
8.37,0.2878,3.3285,2.8518,0.8227,3.1272,2.496,3.3302,1 
8.6481,0.0017,2.3403,2.303,0.9819,2.3697,1.0087,3.1714,1 
10.2869,3.1055,1.4345,2.7076,2.1651,1.2693,1.4703,1.404,1 
7.3493,2.0176,1.1367,1.1447,2.0635,-0.2434,2.2619,0.8707,1 
7.438,0.9656,0.6517,0.1324,3.5643,0.2514,3.3872,2.0316,1 
7.4493,2.7465,0.7613,2.7057,2.6184,2.7003,1.8749,1.9106,1 
7.4286,3.802,3.6552,2.6013,0.65,0.9569,1.8678,1.2965,1 
7.2532,0.9613,2.6374,1.8608,1.5142,1.4924,2.8345,1.9122,1 
7.7509,1.1311,1.8209,1.2581,1.6404,2.805,2.5025,2.1786,1 
8.393,0.8469,0.8917,1.7321,2.2192,2.9389,1.345,2.3,1 
7.7234,2.8151,2.4638,2.7885,1.9411,1.6717,1.1926,0.8264,1 
7.233,2.6106,1.9263,3.1807,0.4977,2.198,3.3291,3.3555,1 
8.3217,3.3679,3.1031,2.2829,2.9778,1.4253,2.9422,0.7401,1 
7.11,3.1253,2.0032,2.0969,3.0808,1.4626,1.0964,1.3549,1 
7.1224,0.3619,1.7845,2.0697,1.5134,1.5211,2.3529,3.9919,1 
7.8353,0.7091,1.6754,1.3898,2.4413,2.8487,1.6545,2.6123,1 
8.6742,1.3971,2.1314,1.5297,3.3835,2.5701,2.7397,2.0168,1 
8.0899,1.936,3.7413,1.8295,1.8713,1.1245,1.9612,4.5679,1 
6.8213,2.7426,1.528,1.6268,1.1314,1.9081,3.0609,2.5869,1 
7.3044,1.7229,2.0526,3.2946,4.5504,1.7554,2.9399,1.9189,1 
10.2974,1.198,1.9934,1.6062,2.2756,2.1601,2.0977,0.9628,1 
8.9112,1.2608,3.0545,0.9504,1.3872,3.1457,2.6764,2.0653,1 
8.5707,3.201,1.7303,1.5457,0.3427,2.4194,3.6728,1.902,1 
8.8331,3.3896,2.3289,2.1799,2.9108,1.0536,1.9944,1.9282,1 
10.1127,2.2898,1.4739,2.8591,2.1771,2.5981,0.9813,2.1559,1 
8.2274,1.2416,3.3167,1.9782,2.1455,1.0149,2.8893,0.643,1 
8.8908,2.3483,1.5016,2.3995,2.017,1.4385,2.282,1.0946,1 
6.8516,1.525,1.335,1.1415,2.7158,3.5245,2.9055,0.3021,1 
7.0364,1.7169,1.0195,1.525,1.3758,1.0825,1.0204,0.7834,1 
9.7282,3.1179,2.355,1.4375,2.9924,2.8317,1.5905,1.9786,1 
8.5638,2.0204,3.1734,2.2242,4.1473,0.5535,1.2446,1.9756,1 
9.6344,-0.5578,0.1719,1.1855,0.1162,1.5746,3.0153,3.1857,1 
8.5962,0.0144,1.1913,0.5716,1.117,0.8201,3.3066,1.3404,1 
8.3077,4.1465,2.9618,1.1185,3.4497,1.6421,1.1362,2.738,1 
9.6595,2.4397,2.6585,2.4003,1.1593,3.6132,1.0796,-0.7114,1 
8.7947,2.1198,2.7251,1.4095,0.763,0.8181,2.4636,1.6634,1 
9.9598,2.5197,1.0752,4.5637,3.5334,0.5558,2.5927,4.0377,1 
9.2346,1.4629,1.9152,1.9765,1.374,1.3546,3.3428,2.1471,1 
8.1429,1.0724,3.903,2.3566,2.7923,1.0367,2.5639,2.256,1 
9.0694,2.4567,2.3979,1.3389,3.5865,1.8932,1.9618,2.0186,1 
8.2688,1.4161,1.7805,2.5451,3.2937,2.6262,0.3093,1.4629,1 
6.5097,2.0384,0.1397,1.188,2.4006,2.174,0.4556,0.5144,1 
7.5978,1.5595,0.9939,1.8673,-0.8743,2.0522,2.0082,4.3698,1 
6.7324,1.7035,0.8641,2.4073,0.6495,1.0013,1.2775,2.3567,1 
8.6244,1.8239,2.3444,3.0786,2.0969,2.4467,0.0397,2.5101,1 
6.7085,3.6659,2.0498,2.0959,2.9405,2.8471,3.7192,1.4148,1 
7.3419,1.1618,3.8,3.6454,3.5683,2.658,2.1589,1.6615,1 
10.0729,3.1581,2.3688,4.3975,2.3305,1.7209,2.6104,2.1983,1 
8.0927,1.4248,0.9817,2.7232,3.657,1.2351,2.0882,1.6212,1 
8.4533,3.2173,1.6735,1.9981,1.4306,2.0781,3.4354,2.2366,1 
7.1041,1.8686,2.6174,2.1834,2.7914,2.359,2.979,1.9519,1 
6.8669,1.6878,2.161,2.1734,1.1387,0.8926,2.3927,1.2512,1 
8.2173,0.6803,1.6212,0.8275,1.1344,1.3913,3.3752,1.8461,1 
8.8789,3.2667,1.9587,1.6006,1.4879,1.2549,2.1802,1.6876,1 
6.7594,0.5872,0.9972,3.0217,2.3596,1.8535,1.9203,2.0747,1 
6.4121,0.5783,1.7328,2.3047,1.2138,1.0709,0.3961,4.0856,1 
7.1694,2.1272,2.2921,2.1434,2.2183,2.0548,2.5953,1.463,1 
9.0149,2.8292,3.0706,1.8157,5.0256,2.1889,3.662,0.0192,1 
6.6779,2.1703,2.7732,3.0779,3.0035,2.5617,1.5361,2.0074,1 
8.1493,2.4466,1.991,1.7756,2.1065,2.4593,-0.221,3.139,1 
9.8765,3.1761,1.4321,1.1138,2.3936,4.3186,3.2309,4.1247,1 
9.2695,-0.7037,-0.3371,0.6488,1.0492,2.5484,2.603,1.8303,1 
7.1529,0.5531,1.9548,0.4586,2.1994,0.6808,3.1929,2.3947,1 
9.9698,3.7456,2.745,2.2913,1.1731,2.1355,2.447,-0.4757,1 
8.4042,0.1187,2.4563,1.1912,4.9651,2.6693,3.3853,1.7927,1 
6.4914,0.0101,0.9381,2.3517,0.9622,1.608,1.634,0.2766,1 
9.6328,1.4154,1.4679,1.4761,2.881,1.0207,1.8057,0.6417,1 
8.6703,2.2954,2.6775,1.3635,2.9791,2.5392,0.9258,1.794,1 
8.6556,1.952,1.1283,2.9753,1.5039,1.7952,1.7917,1.4661,1 
7.8455,2.2884,2.9431,0.3863,1.5069,2.7719,1.4719,0.4047,1 
8.8666,2.4514,2.811,2.235,-0.0256,2.7498,0.9288,2.3506,1 
8.4361,0.908,1.7989,0.0329,2.9819,1.5145,2.323,3.8509,1 
