Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
* 
2.4352,10.3966,3.3627,1.7284,2.074,1.451,1.5836,2.8751,1 
2.0536,9.5703,0.7308,1.0284,1.936,3.4402,1.711,2.8062,1 
2.1003,9.635,2.7684,2.2939,2.8042,3.9885,2.8003,3.6033,1 
0.4228,9.9983,2.2392,1.7039,2.2428,2.2256,2.2094,2.5451,1 
1.2204,9.8665,2.9349,2.6814,2.5333,1.1173,2.7193,0.6755,1 
3.6054,9.584,2.5362,3.6129,3.3808,2.0869,1.6361,2.7146,1 
3.1105,11.373,1.7006,1.7795,4.961,3.9955,1.8352,2.6783,1 
3.248,10.8344,1.1494,1.6186,1.6279,0.3384,1.8404,1.0948,1 
2.4627,10.8551,0.5095,2.8557,1.2418,2.3068,2.5343,3.3761,1 
1.7853,9.5003,2.3581,0.0853,1.5393,2.4788,2.2614,1.3117,1 
3.2459,11.6652,1.4687,0.6954,0.7976,1.1431,0.9438,2.5123,1 
1.0914,12.0933,2.0685,2.6092,2.2654,2.6322,3.7201,2.5227,1 
2.9332,10.2856,2.3544,4.1642,3.0997,1.0934,2.2221,1.4403,1 
1.5612,8.1306,2.2643,2.0793,3.5928,1.0115,0.9867,0.2015,1 
1.5481,11.8433,3.8912,1.4754,2.2113,1.6558,1.0055,3.4638,1 
3.7442,9.7252,2.9415,1.8537,0.3914,1.9236,4.0794,3.6241,1 
1.2559,10.1742,0.4571,3.8994,3.3737,1.8969,-0.1551,2.4907,1 
3.396,9.5261,1.9412,1.1057,3.1289,1.1785,2.4161,3.2444,1 
2.8679,9.1991,3.0495,1.0131,2.6654,3.0396,1.993,2.4971,1 
1.5236,10.4197,2.5408,3.3428,1.6683,1.6564,4.0804,2.9338,1 
2.4443,9.1786,0.7257,1.6661,1.8713,0.5656,2.853,1.6259,1 
-0.0752,8.5388,1.4641,1.6685,4.1859,1.8521,-0.0429,2.7698,1 
2.686,10.1585,1.2955,3.1339,2.5834,2.3533,2.1091,0.5547,1 
2.1257,11.3515,2.7708,1.4539,2.3079,0.4308,2.7511,1.5884,1 
2.1785,8.9288,2.0472,3.3656,1.5196,1.2636,1.2639,2.8415,1 
0.9876,10.1708,3.496,1.502,0.1967,0.4538,2.1736,2.189,1 
2.574,11.4393,2.8035,3.1202,2.0884,1.3561,2.4222,2.4144,1 
3.3163,9.3928,2.9418,2.033,1.816,3.3816,1.4866,1.8257,1 
1.5397,10.3681,1.8859,1.6089,0.2204,1.6419,2.1581,1.54,1 
3.3383,11.076,1.5581,-0.2719,3.8816,2.2834,1.4994,3.0114,1 
1.1959,9.5792,0.4001,2.1404,1.3055,2.2945,2.6258,2.8885,1 
2.9043,9.2662,1.8182,2.2806,1.3908,0.3885,1.958,2.5036,1 
2.4211,10.7354,2.2585,2.5213,1.8018,0.3184,1.9197,1.6395,1 
1.914,10.4463,1.9447,1.2486,4.0757,1.4526,3.5301,2.1788,1 
0.5028,8.8606,3.6424,3.3843,2.2345,0.8994,2.0534,0.642,1 
