Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Class
* 
2.1309,9.3537,0.7832,1.7742,2.5258,2.7275,1.2327,-0.487,1 
1.8935,10.3663,3.0696,1.9007,3.8566,3.0276,1.7219,3.5257,1 
0.1458,9.6777,0.0952,1.1988,2.8327,3.3415,0.805,1.3529,1 
1.4142,8.4414,1.7278,2.125,1.4216,1.0152,2.0719,2.5373,1 
1.5997,9.195,-0.9252,1.274,0.6392,2.6508,2.8197,1.54,1 
2.8737,9.8725,3.056,3.6017,1.6358,1.82,2.9771,2.4964,1 
1.2839,10.3057,2.305,2.1278,2.0443,2.089,1.1071,2.2005,1 
1.5594,9.3594,2.721,2.0805,1.9757,1.653,2.3416,1.1196,1 
2.7073,10.6262,0.9795,2.1853,1.7535,2.7591,3.1515,3.7403,1 
2.7963,8.9719,1.971,1.8892,2.7301,0.523,2.2981,1.4647,1 
0.1121,9.2568,1.9677,2.153,2.0971,2.5758,3.8333,2.5678,1 
2.7997,9.3187,0.5247,2.0821,3.1181,1.6394,3.3463,3.7482,1 
3.1994,11.9523,0.9885,1.7188,3.0479,2.2739,0.969,0.7413,1 
2.6937,8.1812,2.6066,3.6073,0.2955,0.5297,3.0292,0.3007,1 
1.3109,10.2464,1.7251,2.2904,2.5167,3.6833,1.2785,1.1034,1 
2.1835,10.1949,1.0082,3.7832,1.5298,0.5035,0.7026,2.8279,1 
0.5553,11.6995,3.4997,0.8518,1.5386,1.6787,3.0182,3.6733,1 
1.6842,10.495,2.563,3.0502,1.4939,1.1331,0.8906,1.548,1 
2.714,11.3413,1.3251,3.1117,0.6665,0.8086,2.4034,2.2858,1 
1.8779,9.0871,0.0915,1.5818,2.4278,2.5093,1.398,2.7719,1 
1.4886,10.6498,1.8491,0.2858,0.1327,1.6297,3.348,1.1377,1 
3.1976,9.5823,2.132,3.8064,2.734,1.9647,2.439,1.4748,1 
3.6227,10.1344,3.5768,2.1819,0.9326,2.4116,1.4046,1.9991,1 
2.0646,9.6822,3.63,1.23,4.5079,2.8106,4.4094,0.9593,1 
3.1809,9.8761,1.2964,2.5997,1.6386,2.1613,1.8721,1.1238,1 
2.4777,8.3153,0.7752,1.2287,2.3728,1.6499,1.0662,2.259,1 
2.2098,11.6235,1.9772,1.7147,0.8992,3.9998,1.8374,2.2518,1 
-0.0334,9.864,2.431,1.6393,0.6308,3.1134,0.6888,2.0618,1 
1.3923,10.0583,2.6743,1.9917,2.8562,2.9003,1.4478,2.5588,1 
1.9639,8.8467,1.2031,0.8973,2.1405,2.2762,2.2821,0.6819,1 
1.1729,10.3603,2.0653,1.0451,0.9483,1.6603,1.1478,2.8748,1 
0.9686,10.3333,2.4721,0.4114,3.387,2.4992,1.7776,-0.2494,1 
2.0432,9.5548,3.5942,0.3983,-1.0527,1.5696,1.9641,4.0192,1 
0.8336,12.392,3.2883,1.9807,2.5995,2.1152,3.1851,1.6191,1 
3.6648,8.9924,0.4187,3.4539,1.4292,2.116,2.535,2.7112,1 
0.7442,10.1892,1.4336,1.5852,3.0597,3.6244,2.2598,2.9392,1 
4.8105,11.1625,2.9024,1.1007,3.5008,1.6192,2.5908,1.4545,1 
2.3696,11.6925,0.8486,0.1424,1.0278,1.924,2.7771,3.8464,1 
3.4952,11.5174,1.047,2.5263,1.5437,1.8202,3.241,1.5797,1 
1.4247,9.9736,1.737,1.5587,3.2825,3.0372,2.3688,4.0524,1 
2.3936,9.2872,3.1879,3.284,0.1875,1.8271,0.1752,1.5575,1 
-0.3592,9.7567,1.2924,2.2175,1.744,3.2543,2.6204,2.6316,1 
2.2236,8.5197,2.3119,2.4096,1.8179,2.4919,1.4515,1.9212,1 
2.5524,10.9644,2.5304,1.5582,1.7148,0.557,1.1861,1.6356,1 
1.751,9.5379,2.6299,1.2581,1.9851,0.5869,0.2707,2.3588,1 
1.4281,12.553,1.8076,3.3491,2.4671,1.9919,2.2624,0.7967,1 
2.3005,8.3956,1.925,0.7566,1.9104,3.4823,2.2431,1.6923,1 
1.7761,10.5055,1.9228,2.3004,2.3693,1.803,2.0818,1.0963,1 
1.9772,8.8285,3.1115,2.429,2.2844,-0.4813,4.6656,2.0712,1 
0.5464,11.699,3.4138,1.4525,3.8065,2.9215,1.3336,1.7594,1 
0.9891,10.1939,1.2344,1.8174,2.8512,2.8248,1.6344,0.5579,1 
2.3416,10.517,3.007,2.7987,2.2453,2.1407,1.7584,1.3745,1 
3.0176,8.6311,1.1329,3.1306,3.102,1.6049,3.0115,2.2083,1 
1.7381,11.134,1.2358,0.3526,1.6024,1.1477,2.1047,2.5632,1 
1.9285,10.1987,2.3128,2.2624,3.4387,0.9499,2.4109,1.8523,1 
2.3968,8.9815,3.0881,2.3445,2.104,2.1362,0.9256,0.7305,1 
3.3462,9.0211,2.901,2.0145,2.3313,2.0341,2.6023,0.4585,1 
2.262,11.0553,3.3928,2.7462,1.8323,1.902,-0.2037,2.7574,1 
2.1,10.553,2.932,1.4165,1.4113,-0.1464,1.7093,4.8577,1 
2.4314,10.8985,1.5278,2.2063,3.2802,1.3563,1.8674,1.8379,1 
1.8789,11.9368,1.4235,1.3345,2.3064,1.6502,3.4148,2.7909,1 
1.703,11.1076,2.0297,2.2319,2.6712,0.5005,3.079,2.1468,1 
3.2257,11.368,1.5873,1.2041,1.6039,2.1121,1.6884,0.8966,1 
1.0139,11.1252,3.2694,2.6298,0.5213,1.4511,1.8943,2.9223,1 
2.3496,10.0407,1.9251,2.6557,2.1412,1.5861,1.7015,2.9518,1 
3.935,12.137,1.5708,1.445,3.066,2.194,1.1168,0.5086,1 
2.0226,9.9852,2.9753,2.2925,2.8071,2.2723,2.486,0.4506,1 
1.1365,9.3536,2.5081,1.87,2.5748,2.2317,1.9535,3.6768,1 
