Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
* 
-0.6818,1.3086,2.7121,1.8735,1.9169,1.3208,1.0914,1.4711,1.1692,0 
0.3725,-0.2802,1.0007,0.9782,2.717,1.2044,3.0813,0.8174,2.0677,0 
0.6703,-0.9047,0.3242,3.3148,2.6219,2.552,0.3868,1.672,-0.3836,0 
0.6065,0.0666,3.624,1.8079,3.0665,2.8101,2.6727,3.0593,1.0933,0 
0.7127,-0.8481,0.9825,3.9837,3.1647,1.9415,0.8191,0.9287,-0.5554,0 
-0.1355,0.0621,2.4287,3.2115,1.9942,3.7152,2.0978,0.2163,2.6079,0 
-1.5862,1.3973,2.7364,2.0663,3.5167,0.853,3.3739,4.2008,3.0242,0 
0.2408,0.9663,4.0982,1.3786,2.518,0.263,2.5957,1.173,0.3911,0 
1.2661,-0.0544,1.7597,3.1547,1.4418,2.0816,2.1426,1.4298,1.4852,0 
0.3111,-1.7379,2.6332,3.301,1.9224,1.515,1.6782,1.4552,2.0304,0 
-0.8135,-0.6365,1.8726,1.3325,3.1881,1.2773,0.4449,3.5741,2.5402,0 
-0.577,0.2861,3.6361,-0.1137,1.445,2.0017,1.2756,2.8331,2.8616,0 
1.9933,-1.107,1.1302,2.4466,3.1384,0.613,2.0165,3.5176,2.8994,0 
0.5753,0.9198,2.3037,0.9056,2.368,2.7099,1.8068,1.1391,1.4295,0 
0.0963,0.2637,4.1701,1.9972,2.1,-0.377,1.6676,1.7357,2.4589,0 
-1.4919,-1.0166,0.7635,2.4266,2.8843,1.2625,1.2979,-0.5317,2.25,0 
0.7623,1.7876,1.7177,2.3902,2.4164,2.9238,-0.1283,1.8773,0.5615,0 
1.1957,0.0054,3.1562,1.6041,0.266,0.7595,1.6589,3.2354,1.6875,0 
0.5235,-0.0668,0.9872,3.7388,2.5963,2.2332,0.6988,2.0651,0.7981,0 
-0.764,-0.4251,1.838,1.3546,2.7296,1.4307,2.6633,1.8575,1.5821,0 
-0.6271,2.4139,1.178,2.8178,1.7236,0.5497,1.2358,3.0347,2.1816,0 
-1.1843,0.7499,2.0579,3.0464,3.2508,0.3762,2.9232,3.0537,-0.6029,0 
0.9048,-0.5884,2.1405,1.8142,1.8592,0.1522,1.5906,0.7384,1.4142,0 
1.7932,-0.6084,1.3581,1.5169,1.8079,1.8569,3.1166,2.9781,1.1735,0 
0.1348,-0.7633,0.7899,2.9124,2.8566,2.2255,0.8815,0.7311,2.2354,0 
-0.1666,-0.8135,1.6453,1.5229,1.7994,1.9452,2.3046,2.5123,1.5026,0 
-1.9952,-0.6386,2.7745,4.9894,1.1735,1.6266,1.8821,2.9738,3.3416,0 
1.0235,1.1419,2.6001,1.9461,1.7979,1.4014,2.4431,1.2797,2.0884,0 
