Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
* 
-1.0469,1.1078,1.5402,2.4073,1.8805,0.6314,1.6543,1.3848,3.5586,1 
1.1888,-1.0485,-0.5397,1.2037,1.1608,0.997,1.3902,3.2706,1.6813,1 
-0.1223,1.0254,3.1355,2.2039,2.9122,1.6895,2.7949,3.4291,3.7186,1 
1.3064,1.1983,1.8336,1.4498,1.295,2.9314,2.91,2.2828,2.4193,1 
-1.4636,0.9372,2.3571,2.7382,3.8524,1.2481,2.5676,0.2957,3.1425,1 
-1.3346,-1.0805,0.6393,2.5036,2.0609,1.5455,0.8402,-0.8431,3.5826,1 
-1.9322,-0.0952,4.7736,2.6746,2.3147,0.9581,3.8024,1.1489,2.0369,1 
-0.2736,0.5938,1.4005,0.1629,2.4189,2.0986,1.6529,1.004,2.1357,1 
-0.3168,-0.1466,2.496,3.3616,4.2526,0.5673,1.497,0.444,3.0603,1 
1.0274,0.4007,2.0551,1.4318,3.5158,1.6047,2.0748,2.5391,2.564,1 
-1.7232,1.2786,2.338,1.061,1.0594,0.4927,1.8582,0.8712,2.05,1 
0.083,1.5732,1.644,2.8847,1.2179,1.2569,1.1424,0.8285,1.1877,1 
-2.9006,-1.2605,3.7348,1.9313,0.1161,2.0735,2.1744,2.3431,3.7367,1 
0.3049,-0.1476,2.3165,2.4823,2.5514,0.7219,1.8562,1.7656,1.7714,1 
-1.0944,-0.4025,3.2784,1.4744,3.4859,2.0774,2.1381,2.1055,1.5571,1 
-2.0914,-0.1271,0.6148,1.7446,1.7026,1.0947,1.9438,0.3985,0.5697,1 
0.0217,0.7825,3.4131,1.2303,1.1309,2.5625,2.2722,1.7114,3.9583,1 
-2.0587,0.3389,1.5628,1.8549,2.6608,1.7635,3.1501,1.286,1.1934,1 
-0.7247,0.9045,2.3597,2.9757,1.6773,3.1138,1.7889,2.0169,1.6816,1 
-1.9156,1.5548,2.9451,1.6969,1.1039,2.7956,1.018,2.3469,2.229,1 
0.0905,0.1302,2.2941,2.3699,1.8124,2.6035,4.0128,2.315,0.5548,1 
0.9249,0.3825,1.0791,0.6131,2.0206,1.4559,2.1781,2.5043,2.1722,1 
0.4701,-0.6502,3.0732,1.335,1.936,1.8653,4.449,2.688,0.1264,1 
-0.6251,-0.2122,1.9199,1.282,4.6679,1.3574,2.5895,1.8857,2.755,1 
