Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
* 
-0.4479,0.9497,2.4537,3.1407,3.3206,1.0455,1.4772,1.736,1.5931,1 
1.0063,0.7525,1.8687,2.2535,1.2655,3.3254,1.2622,2.9948,1.3743,1 
-0.7429,0.9247,2.1802,1.7511,2.423,1.6528,0.9807,3.7489,2.2459,1 
-1.81,-1.0015,1.7886,2.8531,2.3453,3.6561,3.8508,1.3557,3.5018,1 
0.5527,1.1257,2.8876,2.0318,1.8774,3.1666,1.7829,2.2697,2.3142,1 
0.7146,0.1699,0.6972,1.2107,3.1982,0.9358,2.6569,-0.2308,3.5555,1 
-0.3782,-2.0882,0.7896,2.0789,2.9321,1.827,2.207,0.7448,1.9168,1 
1.4471,1.0604,2.9973,-0.1917,3.466,1.5107,2.3651,1.2692,2.2594,1 
0.7715,-0.9162,4.8819,3.1131,0.2544,0.9589,-0.1849,2.0747,1.2532,1 
-1.1672,1.1364,2.2071,1.1489,2.8004,2.5422,1.7799,4.3028,2.178,1 
0.0549,-0.5845,0.249,3.9658,2.9682,2.0868,3.1592,2.2692,1.2406,1 
0.049,0.4564,1.7905,2.1574,2.2626,2.8745,0.2061,1.5245,1.4056,1 
0.4735,-0.9188,2.722,3.501,1.9701,0.9486,0.9492,2.1316,4.2455,1 
0.8829,1.2251,2.5329,2.267,3.0964,3.7072,0.2065,2.6568,1.8809,1 
0.5746,0.0028,0.9682,2.4911,1.0852,2.7304,0.4759,1.377,1.7432,1 
1.5702,0.2795,3.6601,0.8807,1.9589,3.8817,2.6527,1.7319,2.4126,1 
0.7828,-0.1337,2.0846,2.7947,0.2351,2.1923,2.3638,0.6243,1.1912,1 
0.5763,0.6349,0.7333,3.6337,1.8725,0.9372,3.2044,1.8996,0.2241,1 
0.1562,0.3374,2.6081,0.2072,3.6348,-0.0135,3.7764,1.8026,0.6603,1 
0.003,1.2062,2.8071,0.1072,2.3291,1.4048,2.3567,2.1557,2.8012,1 
0.7387,1.136,4.9714,2.8699,2.0759,2.7924,3.3954,1.8218,2.323,1 
0.3246,-1.1523,1.4926,2.7021,1.4883,1.3909,1.2335,1.6869,1.4441,1 
0.8464,-0.1779,2.0517,2.8614,1.19,1.7088,2.9788,1.7962,1.4613,1 
-0.5685,-0.3552,2.6399,1.925,1.3785,0.4263,1.1331,1.2373,2.1269,1 
1.3858,0.5952,3.0689,0.413,2.2729,0.8807,1.7521,3.3032,3.5436,1 
0.3535,0.4726,0.357,1.7528,1.0701,0.0804,0.8164,1.2281,1.4199,1 
