Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
* 
0.4349,-0.2156,2.7917,1.1075,2.9257,1.1653,2.3697,0.6498,2.3249,1 
-1.109,-0.9592,1.7723,2.412,1.7906,1.263,3.4552,1.4567,2.4774,1 
1.1875,0.6996,1.0361,-1.8462,1.148,1.7553,3.5453,1.9667,1.9281,1 
1.5493,-0.9273,2.76,2.8224,2.6064,0.103,0.6383,1.5161,1.6335,1 
-1.0646,-0.4866,2.4863,1.2637,1.5048,2.5018,1.2333,1.7032,1.7592,1 
1.0182,-0.896,0.844,1.636,2.9146,2.687,1.821,1.4997,3.9874,1 
0.7159,-0.576,1.6169,1.6317,3.2648,3.7883,-0.4654,0.5811,2.2551,1 
0.5511,0.253,2.4851,1.6042,1.3587,2.7748,1.0356,1.6927,2.9622,1 
0.5452,1.4801,2.7318,1.1144,2.0546,1.5157,0.0053,3.589,3.2513,1 
-1.2821,0.0703,0.9252,2.9442,2.1558,1.8491,1.796,2.6071,1.3839,1 
0.6945,-0.277,2.2791,1.4903,2.0476,3.0041,2.8712,2.5981,2.3957,1 
0.8994,1.2219,2.5844,1.8496,2.4046,0.7962,1.7948,2.2837,0.2749,1 
-0.5477,-1.5442,0.9711,2.2638,1.2326,0.6393,2.4818,2.7069,2.0548,1 
1.5607,0.1479,2.957,1.6489,2.2764,3.4375,3.7535,3.5996,2.0702,1 
1.3375,0.0403,2.6216,1.0044,1.6032,1.7784,-0.123,0.8666,1.821,1 
0.3542,0.0129,3.1586,0.5306,3.1615,0.6289,3.9725,2.8972,2.219,1 
0.0436,0.3576,1.9383,3.0217,2.2906,0.6981,1.8179,3.0414,0.9867,1 
0.5131,0.4055,2.5902,1.7857,2.4259,0.3152,1.2682,1.2581,1.201,1 
1.5681,0.7463,1.6559,2.555,3.9348,0.9103,1.1445,1.8541,2.1373,1 
0.0894,0.0041,0.5721,2.9292,1.9563,1.6115,2.4005,3.1363,2.7598,1 
1.9457,-0.9834,2.055,0.9833,3.1717,3.5483,1.5453,1.9977,2.9788,1 
-1.3814,-0.6131,0.3755,2.8798,2.7859,2.1324,1.8406,3.5554,2.0351,1 
-0.0316,-0.2251,2.0423,2.7135,1.6,3.588,2.3758,3.1469,2.9717,1 
-1.733,0.3161,1.4395,2.1734,1.925,2.369,3.5345,2.0553,0.2862,1 
0.1852,0.8304,2.2906,0.7511,2.7247,1.8732,2.5759,0.7508,-0.0238,1 
1.6349,0.1889,2.4433,1.6297,2.46,0.4953,1.188,1.0274,1.5366,1 
0.4812,0.5534,1.6567,2.3765,1.6607,1.4621,1.8433,2.5718,2.9038,1 
0.2052,-0.1748,1.5663,1.2033,2.9467,0.7579,2.7543,2.427,1.4953,1 
