Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
* 
-0.2187,-1.5058,4.8236,1.141,3.7335,1.2131,0.6355,0.1726,0.6501,1 
-1.0242,1.2182,2.1318,2.8957,2.9692,2.4924,1.5513,1.4882,4.3503,1 
-0.9853,0.2268,2.6562,4.1666,2.9629,4.1842,2.423,0.559,0.0849,1 
0.7019,0.432,-0.4969,3.5615,2.711,2.3778,1.2348,3.224,3.325,1 
-0.4586,-0.5694,1.7199,0.0677,2.3228,1.8511,0.1836,1.5959,3.6515,1 
-1.7965,0.9994,1.1276,-0.2471,1.593,2.2037,1.2307,4.0252,2.6154,1 
0.1135,0.3167,2.2373,0.2622,2.5483,3.1084,1.9561,1.3865,1.0533,1 
-1.0691,0.0207,2.0209,1.1994,2.6246,1.951,2.8816,0.3857,1.5219,1 
-0.8212,0.2309,1.874,-0.191,1.5725,2.932,1.1937,2.3914,4.808,1 
1.4837,1.6827,0.8364,1.3045,2.3947,1.3791,2.7821,0.91,1.638,1 
-1.2707,-0.0579,2.719,0.925,2.498,2.4746,2.2325,1.9875,3.1043,1 
-0.2279,1.1206,2.3689,1.0969,3.9886,2.7892,3.0919,0.7846,1.6576,1 
1.4195,-1.1383,3.6697,1.1806,2.8837,1.0864,2.5227,2.8997,1.6821,1 
-0.1462,0.5249,2.9284,3.1056,1.5212,1.2803,3.1502,3.5426,3.144,1 
0.5298,-0.8509,3.7683,0.3834,2.5594,1.8265,1.3727,3.6823,1.1643,1 
-1.4261,0.7894,1.9194,2.9787,2.7096,2.5534,4.0978,2.0269,3.3316,1 
-0.7066,0.007,0.8968,2.5015,2.0247,2.1616,0.6595,2.558,3.3316,1 
-0.9701,0.1937,1.4343,1.1204,2.0255,1.9922,0.4154,2.6059,1.5484,1 
-0.0095,0.0292,2.7459,1.9019,2.677,3.6857,3.1712,2.4542,1.4761,1 
-1.6194,-2.5724,1.664,0.1759,0.2621,0.3091,0.8295,2.3467,0.1115,1 
-0.0098,0.8457,2.7603,2.8355,1.062,2.155,0.1967,1.7764,2.1984,1 
-1.3216,0.5062,3.7249,2.151,-0.1699,0.8789,1.7714,1.6773,3.7711,1 
-0.4655,-0.3012,2.8616,2.5181,3.2292,2.4131,1.0697,2.3104,2.0131,1 
1.2552,-1.2264,2.5652,3.5909,2.439,1.0681,2.0525,1.5516,0.4548,1 
-0.7584,0.1696,0.4678,3.6108,1.1497,0.696,3.8916,2.3744,0.9527,1 
0.4315,-0.8642,2.3789,1.8827,0.923,2.7511,2.2368,2.3708,2.6236,1 
0.6224,-0.4784,1.8408,1.3083,2.2004,2.3672,0.4209,0.948,2.1538,1 
-0.9322,-0.5641,1.3761,1.6538,3.3709,2.1297,2.0058,1.1133,3.8367,1 
0.51,0.4225,1.7305,0.7141,1.521,2.3039,2.3918,2.5056,1.9818,1 
0.4431,-0.1634,2.3837,3.799,2.5807,1.662,1.2135,1.1035,2.0438,1 
0.7281,-0.1853,3.0439,4.0344,0.2779,0.1655,2.1177,2.2527,1.319,1 
2.1041,-0.6977,0.9331,3.1403,3.5289,1.853,2.2793,1.1251,2.0573,1 
-0.0579,0.6556,1.6137,0.1053,4.022,0.8898,3.0873,3.7087,4.6738,1 
0.3054,-2.278,1.48,1.3166,2.6504,1.6143,3.685,2.0163,1.3228,1 
-2.6866,-0.2549,2.2702,1.7017,1.9096,1.6074,2.5445,1.7422,0.9112,1 
-0.3346,0.5961,1.2443,0.9986,1.7371,3.34,2.8506,1.1176,1.1336,1 
-1.5649,-0.4125,1.5118,3.7279,1.6949,-0.2157,5.3805,3.4659,1.1597,1 
-1.2386,2.0024,0.493,1.1322,0.4455,3.5338,2.6114,2.8751,2.4495,1 
1.6545,-1.0348,1.7805,2.213,2.0695,1.2611,2.6042,1.623,2.7542,1 
-1.0064,-1.6009,1.3238,3.5743,1.2729,2.5617,1.8916,3.3128,2.1401,1 
1.8468,0.2151,2.3103,0.7752,1.5792,2.3568,1.9059,1.7277,2.907,1 
-1.0252,1.4119,0.7788,1.9008,1.4254,0.1765,1.0589,3.7735,0.811,1 
-0.1188,0.2434,2.0507,1.7954,2.2503,2.885,2.2101,1.9944,2.1627,1 
-1.0444,-0.9652,2.6272,3.2812,3.5458,2.7275,0.6638,1.699,2.3887,1 
0.1609,-0.0087,1.8841,0.2064,1.5892,3.4943,1.4964,1.8798,0.4289,1 
0.6134,1.3409,2.761,2.2726,0.4071,0.6626,2.6781,3.1421,1.6372,1 
-0.6394,-1.2057,1.4233,0.5495,2.0287,-0.476,0.9369,2.1963,1.3862,1 
0.221,1.1858,0.6603,1.8741,2.4773,3.1417,3.6453,3.7333,1.8822,1 
0.1015,0.4806,3.2141,2.9516,1.3458,2.4788,1.8609,2.9082,2.488,1 
1.222,-0.2977,3.768,2.22,0.7536,0.7491,1.822,-0.0599,1.4307,1 
2.0764,0.4147,0.9539,0.4462,2.1806,3.0365,2.8811,1.5481,1.0253,1 
0.2207,0.0456,2.615,0.7955,2.3446,1.8789,2.0008,3.5193,2.5374,1 
-0.2479,0.4786,2.5424,2.943,2.9454,2.6923,1.6294,2.2773,1.947,1 
2.619,1.1164,3.3379,2.9637,1.4003,0.6543,1.0049,1.1998,1.4387,1 
0.3579,-0.7668,1.7245,2.561,0.516,2.6609,0.2702,2.4844,2.1254,1 
0.2685,-0.2997,1.1864,1.6744,3.2222,2.3505,1.5488,2.4801,3.0639,1 
0.2011,-0.1563,1.9448,2.3863,0.8262,2.4083,1.4547,2.2834,0.1921,1 
-0.1283,-1.2807,0.5091,-0.38,1.9168,0.4312,1.9468,0.7111,1.9448,1 
-0.5607,0.2743,2.5005,2.6534,2.3096,2.9804,2.2783,0.9612,1.3765,1 
-0.652,-0.346,2.5118,0.1867,1.756,2.8111,1.4258,3.5877,1.728,1 
-0.415,2.1226,2.3386,1.1621,2.2119,1.1356,2.2664,3.6227,3.3029,1 
1.8568,0.2685,2.0411,2.0919,3.325,2.9581,0.2323,2.1015,1.3354,1 
0.0182,-1.2924,2.2189,1.3338,1.7666,3.0242,-0.5475,2.4969,1.476,1 
0.3112,1.4896,1.1886,1.0255,1.0325,1.3366,1.4573,1.0269,-0.1162,1 
-0.0537,-0.4414,3.4742,0.818,2.8644,1.017,1.5784,1.6427,2.4786,1 
-0.5359,-0.3316,3.0513,1.5967,2.9817,0.7514,1.6935,1.9524,3.5244,1 
1.3171,-0.4327,1.769,-0.2448,1.5375,2.9286,0.7122,1.4297,0.3988,1 
-0.3583,1.0039,2.5516,1.4477,1.4309,1.2501,1.1024,2.3449,2.6349,1 
-0.1704,1.8869,3.7493,2.4793,2.2856,1.8092,0.6502,2.1781,2.112,1 
-0.2773,-0.189,-0.6022,0.8943,1.1714,2.6478,2.3545,2.4474,2.2441,1 
1.5154,0.4939,-0.2684,2.6744,2.3877,1.405,1.6918,1.2154,1.2539,1 
0.5739,0.4537,3.9257,4.4034,1.2163,1.7679,1.5665,2.6657,1.9601,1 
-1.9197,-1.3179,2.7468,0.9189,3.0875,2.0617,2.7287,1.3489,4.4513,1 
0.1781,-0.8559,0.8003,2.1602,1.017,2.2671,2.811,1.1435,1.892,1 
-1.2453,1.1144,3.5897,2.7754,5.1481,3.1451,1.0527,3.4127,2.2949,1 
-0.3699,0.8693,0.4359,1.9444,1.2206,2.6705,2.4189,2.55,0.4669,1 
-0.3327,0.4434,0.8446,1.7969,0.9242,1.205,3.1605,1.1044,2.5151,1 
-1.5719,0.1514,1.1646,1.5711,3.1544,2.7367,2.8718,0.9629,1.3738,1 
0.1823,0.1784,1.6388,1.5074,2.3028,0.7103,3.7869,2.3818,3.7323,1 
-0.544,-0.5317,1.7602,2.2002,1.9869,1.775,1.4067,2.4369,2.2976,1 
