Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
* 
3.3709,-0.4387,2.5607,2.9786,1.1321,3.0754,2.2015,1.6695,1.3398,1 
4.1847,-1.4446,1.648,0.8234,2.0373,2.419,1.4369,2.1879,0.1443,1 
5.5368,-0.9061,0.0331,1.7325,2.63,2.1578,2.0683,2.2347,2.4821,1 
3.147,-1.0621,4.8113,1.5721,3.4186,1.8836,2.7013,3.1018,2.4199,1 
5.1626,0.3402,0.9006,2.5671,3.2188,1.3779,0.3493,2.3301,2.222,1 
2.9542,0.3945,2.045,1.0936,3.6116,0.9244,2.7548,1.0925,1.4142,1 
6.4545,1.4139,2.1356,3.6453,3.0411,1.847,2.005,0.3968,2.5323,1 
4.9638,-0.9793,1.4948,1.0089,2.6102,-0.0718,1.937,0.7186,1.9244,1 
5.5449,-1.254,1.8597,0.7359,1.0133,2.5069,2.8472,2.1141,1.1408,1 
5.3648,-0.7873,0.6223,2.4119,1.0926,2.6597,3.3181,2.7583,-0.2772,1 
4.5336,-0.7642,1.3619,3.5771,2.0061,1.6824,3.0594,4.6299,0.735,1 
4.4456,1.9362,2.4475,4.1335,2.8128,2.8097,2.46,1.0464,1.7649,1 
5.0818,0.1488,1.5911,2.9928,1.0781,1.1365,2.6134,0.3301,3.1922,1 
4.9857,0.1527,3.9183,2.2986,0.4753,2.4187,1.8987,1.7356,2.2919,1 
6.0233,-0.25,1.433,0.8547,2.4753,3.6449,2.2009,2.3326,1.2139,1 
4.6724,-0.7911,2.2027,2.1363,4.066,2.9478,3.1544,2.6893,3.1233,1 
4.6661,0.4125,1.4284,2.5637,1.8913,2.1653,2.2499,2.4306,4.0494,1 
6.5147,-0.929,2.3352,3.7765,3.1452,2.2933,0.6616,2.6766,4.2187,1 
4.8653,0.5518,3.3562,1.9477,2.2439,2.4603,2.3491,2.0612,3.4888,1 
5.3108,0.8243,1.5414,2.8989,3.1909,0.488,2.8686,1.5987,3.2621,1 
