Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
* 
2.494,9.346,0.525,2.3404,1.0564,1.569,1.6557,1.8837,2.5759,1 
0.545,9.1281,2.6342,0.527,1.9787,2.5725,2.5209,2.104,1.1344,1 
1.9216,9.1696,1.7626,-0.409,0.313,1.8182,2.8111,1.8648,2.9495,1 
2.0602,12.3793,2.7109,3.2076,0.8881,3.8507,2.4196,2.4971,1.7168,1 
2.5362,9.83,3.5371,3.043,2.2509,1.5272,1.182,1.6991,3.3848,1 
1.7008,8.3822,2.2292,0.6912,0.4399,1.5712,0.9822,1.953,1.3016,1 
0.8665,10.4139,1.3879,1.8229,3.4222,2.0856,2.8878,1.3959,2.4451,1 
2.2483,11.3148,1.2214,2.4809,-0.1898,1.0912,0.9545,2.3583,0.9986,1 
2.4963,11.3904,0.7686,0.6926,3.709,1.6249,1.9562,1.4211,1.7525,1 
2.2265,8.9008,1.7374,0.7769,4.5559,3.4668,1.136,0.2197,2.7732,1 
2.68,9.7151,2.2041,2.6738,2.4638,3.5929,3.3551,1.0695,2.1091,1 
3.5142,8.9205,2.3946,2.3584,2.2834,1.131,3.7422,0.9304,1.6704,1 
1.2421,9.1308,2.6379,1.9442,2.3641,1.7421,3.9203,0.4464,3.6358,1 
0.0753,8.1701,2.0724,2.0226,3.7706,-0.4289,2.5149,0.6363,1.5801,1 
2.2708,10.8311,2.0925,3.563,0.4568,2.7513,2.2806,2.0646,1.8218,1 
2.9898,10.0835,3.3643,2.9497,0.3962,1.8097,1.9986,1.0162,2.2725,1 
1.6606,9.7928,-0.3773,1.799,1.5252,1.9683,3.0436,1.7472,0.539,1 
2.6598,10.558,1.633,1.2314,0.8006,2.6429,1.9585,1.2403,3.6827,1 
2.2741,9.8546,1.969,2.1326,0.6579,0.0949,-0.8059,2.6917,3.5295,1 
2.4059,10.5055,2.9463,3.8774,1.7515,1.8049,2.0036,3.4688,1.8712,1 
1.7419,10.0214,1.6601,1.6873,1.8715,2.9549,2.8322,0.6984,2.2518,1 
2.8493,10.9422,2.7651,2.5557,1.6765,4.3133,1.7984,1.2371,3.2355,1 
2.5151,10.5888,1.0915,0.7648,1.9786,1.3336,0.5515,1.433,2.3894,1 
1.6735,10.4455,2.0127,1.5519,2.4011,1.4337,1.1195,-0.7519,2.8882,1 
0.9437,8.8799,2.5283,2.8154,0.8596,2.2384,0.0392,4.4993,3.5967,1 
3.4159,10.8156,1.0771,3.8516,1.5549,2.7861,1.2024,0.8522,2.5702,1 
1.9117,8.0047,2.6862,1.0794,2.2503,2.2661,2.0681,3.3712,2.018,1 
1.6341,10.3917,2.1561,3.136,1.7244,2.5004,0.5296,3.2697,3.148,1 
1.5292,11.4566,-0.4394,1.0469,3.5236,1.0104,1.4013,2.8736,1.0995,1 
0.8505,10.1122,1.8761,0.3894,-0.0966,1.281,3.2801,1.9391,2.6121,1 
1.4754,10.3651,2.7026,1.2786,2.9064,2.1511,2.5838,0.9942,3.3584,1 
3.1788,8.5558,2.9315,1.9695,4.083,3.3607,2.0125,1.5933,0.6916,1 
2.5068,10.905,1.2223,2.8654,2.4032,1.7484,1.9255,1.879,2.4941,1 
3.1002,12.1668,4.3601,0.2758,1.0356,1.6525,2.2833,2.9336,1.8558,1 
4.0604,8.8922,3.0677,2.3432,2.8948,1.8153,1.9903,1.0583,0.7325,1 
2.5692,10.9709,4.4499,1.358,2.4159,3.5625,2.9841,2.7814,0.7836,1 
3.0041,10.7632,2.0606,1.1603,2.3403,2.196,0.569,2.859,1.9389,1 
1.4323,10.6367,2.7925,1.2064,2.3018,0.5567,2.3132,1.0178,2.2603,1 
1.3823,8.5209,1.5537,2.3334,4.1306,0.9034,2.9532,3.4573,2.1749,1 
2.0741,7.6856,2.8981,0.8213,2.4072,2.5749,1.8879,3.3622,2.4592,1 
0.7225,10.6839,0.7246,4.5589,1.5633,3.3324,1.3149,2.9181,0.8111,1 
1.5519,9.9686,2.2852,3.121,4.6246,1.6545,0.2435,1.783,1.5662,1 
1.2233,9.5694,2.2404,3.9329,-0.1413,0.1634,2.1438,0.8311,1.8794,1 
2.4121,9.9238,1.1235,2.7508,0.9267,1.4626,1.494,2.4479,1.8558,1 
2.4991,9.8094,3.1745,0.3324,3.9667,2.0173,2.8763,2.2081,2.2567,1 
1.6457,9.9693,1.586,0.418,0.8954,1.5958,2.7964,4.4786,2.184,1 
5.0901,9.3391,0.6539,3.9774,1.443,2.2381,-1.3472,2.6307,2.2558,1 
3.2797,8.8507,2.8254,1.6444,1.111,3.6185,1.8583,0.9739,3.655,1 
3.1661,9.0585,2.0983,2.3167,2.0647,1.1145,3.9634,2.2433,2.5474,1 
0.8976,9.9804,0.6339,2.3398,2.9053,0.4311,1.5304,2.5384,3.008,1 
2.0459,10.2147,3.0831,1.5408,1.1314,0.2334,0.8633,2.0095,2.0884,1 
0.313,8.8122,1.9836,2.3345,1.1605,2.4659,2.7367,2.4452,2.2543,1 
0.6553,10.5224,0.2567,1.7717,0.9499,3.3106,1.3379,2.3319,0.9875,1 
0.5239,8.7301,2.3894,-0.0622,1.8806,0.5875,3.1078,1.4643,2.7295,1 
2.03,8.7857,2.3839,1.9306,0.3138,3.9824,2.5369,1.8182,0.1236,1 
3.0895,9.7394,3.6432,0.4977,3.5912,2.4487,1.5636,2.3986,1.7252,1 
2.3491,10.3521,2.8658,3.9565,0.8902,2.638,2.624,2.8371,1.5813,1 
0.6407,8.9155,3.2624,2.1918,2.3693,2.2676,0.6462,1.6337,1.4765,1 
2.8379,11.3267,2.0332,2.1976,3.9795,0.2163,3.3353,-0.3794,1.1363,1 
2.5833,8.1783,2.0418,2.3901,2.3203,1.2103,2.2412,1.1514,3.4085,1 
1.4464,10.2653,3.2143,1.9062,2.8507,1.9701,0.9832,1.1681,2.1226,1 
0.8957,10.5605,2.568,1.1646,1.4186,3.6671,1.5132,3.529,1.2793,1 
2.2198,10.7671,1.7329,2.6338,3.7972,1.2481,3.5089,1.9742,2.2408,1 
0.9226,9.7066,4.6871,1.9751,2.2961,2.4216,-0.1533,1.719,3.4454,1 
