Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Class
* 
2.6013,10.2663,0.0318,3.4729,2.951,3.2542,-0.1955,1.2136,1.7491,1 
2.1953,10.4676,0.3142,2.3898,3.1124,2.963,2.6799,2.5686,0.6704,1 
1.8296,9.9753,3.2623,1.4012,3.1226,2.6291,2.991,3.4403,1.8947,1 
1.0108,7.9661,0.3346,2.7726,1.3503,2.5163,2.2321,1.4893,0.21,1 
1.3671,8.8228,0.5788,1.7324,2.5451,0.8073,3.1384,-0.2392,2.22,1 
2.5553,10.2466,1.6176,0.7022,3.0943,3.9263,0.6043,3.2425,3.4535,1 
1.3376,11.3542,2.2571,3.9669,-0.1718,2.6861,0.8756,0.9315,2.2186,1 
1.4759,10.6339,0.9682,1.9537,1.9105,1.1387,1.5212,0.9587,2.6571,1 
3.2575,10.75,0.5418,1.0694,2.3298,2.2498,4.5037,1.3621,-0.21,1 
2.5703,9.5448,2.6451,1.7922,1.2751,1.2495,0.0251,1.2298,2.4963,1 
0.3964,8.9546,1.2746,1.9219,2.7281,3.1151,3.4643,1.7421,2.116,1 
-0.1524,11.8593,0.5498,2.2239,1.7205,-0.3742,0.0935,4.886,2.1416,1 
1.744,8.8715,0.9008,0.9357,1.8352,2.6805,2.311,1.8041,0.8196,1 
0.2389,10.7082,2.1081,0.1206,2.1062,1.3069,1.5086,1.6782,1.5312,1 
0.7925,8.9891,2.0567,2.5968,1.7518,3.2327,4.0108,1.137,2.6884,1 
2.7623,12.1279,1.9443,2.2959,1.7687,2.0049,5.0146,1.7378,2.447,1 
1.2882,10.0573,3.9648,3.0936,2.8747,1.3623,3.3355,0.7088,1.9009,1 
2.8177,9.7169,2.1405,2.1455,0.8895,2.4577,1.8464,2.7451,1.9557,1 
2.3628,12.4244,2.9037,1.0055,2.0582,2.7169,1.9957,0.4557,0.722,1 
2.8531,9.6897,3.0756,1.2635,1.5499,1.4101,0.0877,0.0385,1.4335,1 
0.781,10.103,0.6743,1.45,1.8451,2.2198,0.3786,1.4792,2.7385,1 
2.9389,10.0311,1.2465,1.9323,3.0753,1.8098,2.3771,-1.0404,2.3803,1 
0.4925,11.465,2.8034,2.3832,0.8361,0.8144,2.6954,2.0898,-0.4291,1 
2.7285,10.3511,2.9701,2.5645,2.3063,2.1921,1.8358,0.8612,3.1459,1 
0.6231,10.5484,1.6612,3.8205,2.3128,-0.0576,1.997,2.9289,2.4605,1 
1.7002,12.3121,1.8969,4.9185,2.9261,4.1048,3.824,1.1976,1.7157,1 
1.021,9.7884,2.6443,2.7792,2.7652,-0.4916,2.7247,2.1219,1.9984,1 
2.1362,9.1828,1.6088,3.0512,1.7769,2.5244,3.8027,2.0657,1.6648,1 
2.1436,11.086,2.0957,3.8024,0.5508,2.6782,2.0213,2.5441,4.5772,1 
1.2359,9.4926,2.6365,2.4785,2.9486,1.3749,3.6887,2.6191,2.8971,1 
0.9511,8.8346,-0.3727,2.5222,2.2198,1.2367,1.9521,2.1558,3.3476,1 
1.2456,9.5877,2.503,1.2335,1.6469,1.6301,2.2225,3.346,1.2278,1 
1.8637,10.2234,2.5381,2.2914,1.1101,1.1499,2.8327,3.7422,3.2211,1 
2.2587,11.072,3.5578,1.567,1.8114,3.1865,2.6592,4.2621,1.6895,1 
0.9132,9.9544,1.9564,2.4625,4.2389,1.1824,3.2416,2.7329,0.556,1 
0.6342,9.2134,3.1805,2.9271,3.0092,1.3422,1.5733,2.3317,2.896,1 
1.5782,12.0539,0.7396,0.704,-0.2258,1.7892,1.1403,0.5945,0.8001,1 
2.745,11.8194,1.1921,2.0303,1.8432,0.9011,1.319,2.4012,2.3263,1 
0.5941,11.5063,1.9769,1.1751,1.6374,1.2022,4.6532,2.2481,0.8792,1 
2.3208,12.101,2.3004,1.3506,2.6114,1.9517,2.0255,2.8498,4.9517,1 
2.7361,8.8224,3.2909,2.3658,0.9273,2.3468,4.0722,1.6091,3.2335,1 
2.2114,9.9482,2.8784,2.1866,1.0244,1.5167,2.6545,2.3005,0.7366,1 
1.5114,9.8395,1.6237,3.0054,2.2269,2.7778,2.0328,2.1677,2.2915,1 
-0.1763,11.3962,1.8175,2.1454,1.0826,3.212,0.1625,2.5359,0.1643,1 
1.6997,13.0476,1.2714,1.4237,3.7014,2.7764,3.3872,2.3688,1.282,1 
2.8828,10.3509,2.2708,1.1983,1.2041,2.8525,2.3661,1.971,-0.6138,1 
2.1544,9.8219,2.2639,1.6169,2.2079,2.9724,-1.107,3.429,0.1162,1 
0.9743,9.7627,3.5253,1.8154,2.8706,0.9154,1.6031,1.2755,0.9356,1 
3.6379,10.1267,2.0333,4.2063,1.8598,-0.3381,1.9188,1.3264,3.643,1 
