Feature1,Feature2,Feature3,Class
1.81747,-0.59692,-0.06246,Clase_1
-0.63915,-1.37902,0.74813,Clase_0
-0.16718,-0.13035,0.28063,Clase_1
-1.48914,0.39049,0.63988,Clase_0
0.40966,-0.08039,1.79074,Clase_1
-0.7098,-0.07682,0.96952,Clase_0
0.10543,0.89662,-1.01837,Clase_1
2.66622,0.832,1.07589,Clase_0
1.82047,-2.91532,-0.8814,Clase_1
0.04754,0.12364,0.71184,Clase_0
-0.75575,0.8708,2.3986,Clase_1
-0.11929,0.49958,0.50849,Clase_0
1.02153,1.01994,-0.04837,Clase_1
0.95532,0.67649,0.06873,Clase_0
-0.30815,2.61807,0.60036,Clase_1
-0.32439,-0.60156,-0.0484,Clase_0
-0.88098,-1.36092,-0.45242,Clase_1
0.7181,0.70321,0.68661,Clase_0
-0.59922,0.79728,0.75894,Clase_1
-0.62658,-0.58852,0.80653,Clase_0
-1.33527,0.73384,-1.17033,Clase_1
0.08257,-0.69953,0.13412,Clase_0
1.23912,-0.74539,-0.92944,Clase_1
-1.33068,-1.32149,0.11879,Clase_0
1.22862,-0.00948,-0.96731,Clase_1
-2.16471,0.35704,0.16325,Clase_0
-0.1913,2.94506,-0.22613,Clase_1
1.60484,-0.97844,-0.52428,Clase_0
2.19924,0.4223,1.57902,Clase_1
-0.47589,-0.45114,-1.38506,Clase_0
1.36084,-1.25581,0.47879,Clase_1
-0.04542,0.78612,-0.34502,Clase_0
-1.16091,1.32565,-1.97882,Clase_1
-1.23832,-0.99022,-1.06658,Clase_0
-0.39408,1.59326,-1.35063,Clase_1
0.8846,0.21975,-1.02269,Clase_0
-0.85253,0.02546,1.49863,Clase_1
-0.22645,-0.7907,0.49754,Clase_0
-1.29342,-0.24334,-1.14451,Clase_1
0.9281,0.28536,0.4288,Clase_0
-0.53975,1.82707,0.08608,Clase_1
-0.84792,0.64076,-0.75775,Clase_0
0.41946,-0.13158,1.60773,Clase_1
0.21723,-0.36418,-0.53912,Clase_0
-1.31547,0.45642,0.75989,Clase_1
-0.99675,1.43625,0.90881,Clase_0
0.42199,-0.23684,-1.08163,Clase_1
-0.12496,0.06022,1.15882,Clase_0
0.12013,1.11033,0.89604,Clase_1
-0.58835,-0.19627,0.06706,Clase_0
1.52915,0.0946,-0.92918,Clase_1
1.08914,2.8771,-0.56047,Clase_0
0.73909,-1.16629,0.29281,Clase_1
0.84424,0.65662,1.57286,Clase_0
0.37007,0.36081,0.42999,Clase_1
0.53947,0.7851,1.46239,Clase_0
-2.00591,-0.34672,0.52826,Clase_1
-1.45015,-0.62382,0.93596,Clase_0
0.29475,1.47091,-0.3486,Clase_1
-0.97106,0.32992,0.78968,Clase_0
0.94528,1.01092,1.48074,Clase_1
1.72364,0.3983,0.57372,Clase_0
-1.45077,0.64187,0.55359,Clase_1
-1.42344,0.3074,-0.38678,Clase_0
-1.05912,1.11159,1.28022,Clase_1
0.05764,-0.18634,-0.52201,Clase_0
-0.28127,0.03702,-0.58334,Clase_1
-0.73468,0.85671,-0.80968,Clase_0
-0.32374,0.62415,0.13,Clase_1
0.97559,1.10947,-0.51953,Clase_0
-1.47197,0.12345,-1.64749,Clase_1
0.50431,1.97709,0.80272,Clase_0
-0.97253,0.19199,0.43397,Clase_1
1.52848,-0.30573,-0.25946,Clase_0
0.64826,-0.11716,1.61073,Clase_1
-1.01013,-0.25397,-0.49957,Clase_0
-2.26606,-0.54215,-0.67434,Clase_1
0.0475,0.82549,-0.13815,Clase_0
0.20147,-0.7307,1.16204,Clase_1
0.5836,0.05565,-0.64645,Clase_0
0.46913,1.15624,-0.79482,Clase_1
-1.07825,0.35075,-1.83757,Clase_0
-0.04591,0.71323,-0.01404,Clase_1
-0.07087,1.38921,0.27401,Clase_0
-0.44646,0.1257,0.41902,Clase_1
-0.22194,-0.71718,1.70925,Clase_0
-0.73879,1.0858,0.98194,Clase_1
1.18516,1.00015,0.48166,Clase_0
0.69281,-1.22646,0.85555,Clase_1
-0.55444,1.12673,-1.48256,Clase_0
0.38461,0.34568,0.57123,Clase_1
-1.12212,-0.75014,-2.10021,Clase_0
-1.14873,0.73927,0.2196,Clase_1
0.30141,-0.63152,0.40419,Clase_0
0.14328,0.79463,0.52699,Clase_1
0.54436,-0.17304,-1.05653,Clase_0
0.81135,-0.0905,0.37222,Clase_1
-0.0956,-1.07294,0.83907,Clase_0
0.64352,-1.60823,1.23593,Clase_1
-0.08663,-0.10396,-1.10784,Clase_0
0.6331,-0.50845,1.92891,Clase_1
-0.76963,0.72103,1.53855,Clase_0
1.37276,-0.08446,-0.53963,Clase_1
0.1881,0.66627,0.88069,Clase_0
-0.61159,-1.56083,-0.20265,Clase_1
0.05769,1.40178,1.51814,Clase_0
1.16296,0.47912,0.62208,Clase_1
1.86776,-0.19404,1.09112,Clase_0
2.00283,0.44298,0.35381,Clase_1
-0.80564,1.08922,0.99288,Clase_0
0.67575,-0.4274,0.08517,Clase_1
-0.32415,0.13021,-1.02631,Clase_0
1.97823,-0.31952,0.49709,Clase_1
